"","genotype_a","genotype_b","avg_fitness_a","avg_fitness_b","fitness_sd_a","fitness_sd_b","raw_p","adj_p","starting_fitness_a","starting_fitness_b","fitness_diff"
"1",0,1,1.6085528,1.331,0.213775830810093,0,5.63087879584009e-22,3.37852727750405e-21,1.000002,1.099998,0.099996
"2",0,2,1.6085528,1.397084,0.213775830810093,0.158103891121878,1.96258514086168e-12,1.17755108451701e-11,1.000002,0,-1.000002
"3",0,4,1.6085528,1.6217696,0.213775830810093,0.209748513898589,0.671362708169583,1,1.000002,0,-1.000002
"4",0,8,1.6085528,1.617364,0.213775830810093,0.211192342185932,0.616140474566688,1,1.000002,0,-1.000002
"5",0,16,1.6085528,1.7539376,0.213775830810093,0.0867666996253677,0.999999995975284,1,1.000002,0,-1.000002
"6",0,32,1.6085528,1.77156,0.213775830810093,0,0.999999999991087,1,1.000002,1.099998,0.099996
"7",1,0,1.331,1.6085528,0,0.213775830810093,1,1,1.099998,1.000002,-0.099996
"8",1,3,1.331,1.331,0,0,1,1,1.099998,1.210002,0.110004
"9",1,5,1.331,1.331,0,0,1,1,1.099998,0,-1.099998
"10",1,9,1.331,1.3354056,0,0.044056,0.843752354978745,1,1.099998,0,-1.099998
"11",1,17,1.331,1.3354056,0,0.044056,0.843752354978745,1,1.099998,0,-1.099998
"12",1,33,1.331,1.5909304,0,0.21777368518587,1,1,1.099998,0,-1.099998
"13",2,3,1.397084,1.331,0.158103891121878,0,2.98265994279373e-05,0.000178959596567624,0,1.210002,1.210002
"14",2,0,1.397084,1.6085528,0.158103891121878,0.213775830810093,0.999999999998077,1,0,1.000002,1.000002
"15",2,6,1.397084,1.331,0.158103891121878,0,2.98265994279373e-05,0.000178959596567624,0,0,0
"16",2,10,1.397084,1.573308,0.158103891121878,0.22028,0.999999998356974,1,0,0,0
"17",2,18,1.397084,1.595336,0.158103891121878,0.216916749063419,0.999999999972674,1,0,0,0
"18",2,34,1.397084,1.77156,0.158103891121878,0,1,1,0,0,0
"19",3,2,1.331,1.397084,0,0.158103891121878,0.999970843351334,1,1.210002,0,-1.210002
"20",3,1,1.331,1.331,0,0,1,1,1.210002,1.099998,-0.110004
"21",3,7,1.331,1.331,0,0,1,1,1.210002,1.330998,0.120996
"22",3,11,1.331,1.331,0,0,1,1,1.210002,0,-1.210002
"23",3,19,1.331,1.331,0,0,1,1,1.210002,0,-1.210002
"24",3,35,1.331,1.331,0,0,1,1,1.210002,0,-1.210002
"25",4,5,1.6217696,1.331,0.209748513898589,0,2.10757862273688e-23,1.26454717364213e-22,0,0,0
"26",4,6,1.6217696,1.331,0.209748513898589,0,2.10757862273688e-23,1.26454717364213e-22,0,0,0
"27",4,0,1.6217696,1.6085528,0.209748513898589,0.213775830810093,0.329703839588464,1,0,1.000002,1.000002
"28",4,12,1.6217696,1.6526088,0.209748513898589,0.196576128853198,0.858570901425049,1,0,0,0
"29",4,20,1.6217696,1.6482032,0.209748513898589,0.198807484417372,0.820315985689899,1,0,0,0
"30",4,36,1.6217696,1.77156,0.209748513898589,0,0.999999999914947,1,0,0,0
"31",5,4,1.331,1.6217696,0,0.209748513898589,1,1,0,0,0
"32",5,7,1.331,1.331,0,0,1,1,0,1.330998,1.330998
"33",5,1,1.331,1.331,0,0,1,1,0,1.099998,1.099998
"34",5,13,1.331,1.41452,0,0.278848476286446,0.99999896243386,1,0,0,0
"35",5,21,1.331,1.449858,0,0.249881426256292,0.999999992043513,1,0,0,0
"36",5,37,1.331,1.5204408,0,0.219209373977842,0.999999999999923,1,0,0,0
"37",6,7,1.331,1.331,0,0,1,1,0,1.330998,1.330998
"38",6,4,1.331,1.6217696,0,0.209748513898589,1,1,0,0,0
"39",6,2,1.331,1.397084,0,0.158103891121878,0.999970843351334,1,0,0,0
