"","genotype_a","genotype_b","avg_fitness_a","avg_fitness_b","fitness_sd_a","fitness_sd_b","raw_p","adj_p","starting_fitness_a","starting_fitness_b","fitness_diff"
"1",0,1,1.3221656,1.331,0.0794254908617269,0,0.913050127458153,1,1.000002,1.000002,0
"2",0,2,1.3221656,1.331,0.0794254908617269,0,0.913050127458153,1,1.000002,0,-1.000002
"3",0,4,1.3221656,1.30452,0.0794254908617269,0.0902504349579602,0.0800733880012158,0.480440328007295,1.000002,0,-1.000002
"4",0,8,1.3221656,1.3287856,0.0794254908617269,0.0645673054883058,0.763056824980999,1,1.000002,0,-1.000002
"5",0,16,1.3221656,1.4003012,0.0794254908617269,0.254329449810614,0.989887783070301,1,1.000002,0,-1.000002
"6",0,32,1.3221656,1.2569916,0.0794254908617269,0.238705619864698,0.000128599273483747,0.000771595640902483,1.000002,1.000002,0
"7",1,0,1.331,1.3221656,0,0.0794254908617269,0.0883886757130079,0.530332054278047,1.000002,1.000002,0
"8",1,3,1.331,1.331,0,0,1,1,1.000002,1.000002,0
"9",1,5,1.331,1.331,0,0,1,1,1.000002,0,-1.000002
"10",1,9,1.331,1.331,0,0,1,1,1.000002,0,-1.000002
"11",1,17,1.331,1.331,0,0,1,1,1.000002,0,-1.000002
"12",1,33,1.331,1.2989956,0,0.114452405160884,0.00150556316455068,0.00903337898730409,1.000002,0,-1.000002
"13",2,3,1.331,1.331,0,0,1,1,0,1.000002,1.000002
"14",2,0,1.331,1.3221656,0,0.0794254908617269,0.0883886757130079,0.530332054278047,0,1.000002,1.000002
"15",2,6,1.331,1.331,0,0,1,1,0,0,0
"16",2,10,1.331,1.3969676,0,0.243098432917843,0.999599895291552,1,0,0,0
"17",2,18,1.331,1.3683896,0,0.202541967188446,0.895732346117932,1,0,0,0
"18",2,34,1.331,1.2261292,0,0.219062841542805,1.1537442478042e-08,6.92246548682517e-08,0,0,0
"19",3,2,1.331,1.331,0,0,1,1,1.000002,0,-1.000002
"20",3,1,1.331,1.331,0,0,1,1,1.000002,1.000002,0
"21",3,7,1.331,1.331,0,0,1,1,1.000002,1.330998,0.330996
"22",3,11,1.331,1.331,0,0,1,1,1.000002,0,-1.000002
"23",3,19,1.331,1.331,0,0,1,1,1.000002,0,-1.000002
"24",3,35,1.331,1.331,0,0,1,1,1.000002,0,-1.000002
"25",4,5,1.30452,1.331,0.0902504349579602,0,0.998031243151838,1,0,0,0
"26",4,6,1.30452,1.331,0.0902504349579602,0,0.998031243151838,1,0,0,0
"27",4,0,1.30452,1.3221656,0.0902504349579602,0.0794254908617269,0.920774349876669,1,0,1.000002,1.000002
"28",4,12,1.30452,1.5358488,0.0902504349579602,0.232233084903504,0.999999999999995,1,0,0,0
"29",4,20,1.30452,1.457504,0.0902504349579602,0.303849549799126,0.999999659490862,1,0,0,0
