"","landscape_seed","starting_index","fitness_avg","fitness_var","fitness_min","fitness_max","count","starting_fitness","x","y","frac_1","frac_2","frac_3"
"1",NA,0,1.21,0,1.21,1.21,100,1.210002,0,0.5,1,0,0
"2",NA,1,1.21,0,1.21,1.21,100,1.000002,0.166666666666667,0.142857142857143,1,0,0
"3",NA,2,1.21,0,1.21,1.21,100,1.000002,0.166666666666667,0.285714285714286,1,0,0
"4",NA,3,1.128541,0.0117677771909091,1,1.4641,100,1.000002,0.333333333333333,0.0625,0.59,0.4,0.01
"5",NA,4,1.21,0,1.21,1.21,100,1.000002,0.166666666666667,0.428571428571429,1,0,0
"6",NA,5,1.132741,0.0115502171909091,1,1.4641,100,1.000002,0.333333333333333,0.125,0.61,0.38,0.01
"7",NA,6,1.152082,0.0112796378545455,1,1.4641,100,1.000002,0.333333333333333,0.1875,0.68,0.3,0.02
"8",NA,7,1.109956,0.0301705936,1,1.4641,100,1.000002,0.5,0.0476190476190476,0.17,0.67,0.16
"9",NA,8,1.21,0,1.21,1.21,100,1.000002,0.166666666666667,0.571428571428571,1,0,0
"10",NA,9,1.145341,0.0106837190090909,1,1.4641,100,1.000002,0.333333333333333,0.25,0.67,0.32,0.01
"11",NA,10,1.1386,0.009996,1,1.21,100,1.000002,0.333333333333333,0.3125,0.66,0.34,0
"12",NA,11,1.108738,0.0325636698545454,1,1.4641,100,1.000002,0.5,0.0952380952380952,0.12,0.7,0.18
"13",NA,12,1.141582,0.0121669833090909,1,1.4641,100,1.000002,0.333333333333333,0.375,0.63,0.35,0.02
"14",NA,13,1.12012,0.03472924,1,1.4641,100,1.000002,0.5,0.142857142857143,0.13,0.67,0.2
"15",NA,14,1.097356,0.0301363826909091,1,1.4641,100,1.000002,0.5,0.19047619047619,0.11,0.73,0.16
"16",NA,15,1.408408,0.0229748064,1,1.4641,100,1.000002,0.666666666666667,0.0625,0,0.12,0.88
"17",NA,16,1.21,0,1.21,1.21,100,1.000002,0.166666666666667,0.714285714285714,1,0,0
"18",NA,17,1.145341,0.0106837190090909,1,1.4641,100,1.000002,0.333333333333333,0.4375,0.67,0.32,0.01
"19",NA,18,1.1386,0.009996,1,1.21,100,1.000002,0.333333333333333,0.5,0.66,0.34,0
"20",NA,19,1.099456,0.0301643572363636,1,1.4641,100,1.000002,0.5,0.238095238095238,0.12,0.72,0.16
"21",NA,20,1.1386,0.009996,1,1.21,100,1.000002,0.333333333333333,0.5625,0.66,0.34,0
"22",NA,21,1.078351,0.0235221110090909,1,1.4641,100,1.000002,0.5,0.285714285714286,0.13,0.76,0.11
