genotype,fitness
0,1.210002
1,1.000002
2,1.000002
3,1.000002
4,1.000002
5,1.000002
6,1.000002
7,1.000002
8,1.000002
9,1.000002
10,1.000002
11,1.000002
12,1.000002
13,1.000002
14,1.000002
15,1.000002
16,1.000002
17,1.000002
18,1.000002
19,1.000002
20,1.000002
21,1.000002
22,1.000002
23,1.000002
24,1.000002
25,1.000002
26,1.000002
27,1.000002
28,1.000002
29,1.000002
30,1.000002
31,1.000002
32,1.000002
33,1.000002
34,1.000002
35,1.000002
36,1.000002
37,1.000002
38,1.000002
39,1.000002
40,1.000002
41,1.000002
42,1.000002
43,1.000002
44,1.000002
45,1.000002
46,1.000002
47,1.000002
48,1.000002
49,1.000002
50,1.000002
51,1.000002
52,1.000002
53,1.000002
54,1.000002
55,1.000002
56,1.000002
57,1.000002
58,1.000002
59,1.000002
60,1.000002
61,1.000002
62,1.000002
63,1.464102
