"","landscape_seed","starting_index","fitness_avg","fitness_var","fitness_min","fitness_max","count","starting_fitness","x","y","frac_1","frac_2","frac_3"
"1",NA,0,1.21,0,1.21,1.21,100,1.210002,0,0.5,1,0,0
"2",NA,1,0.978164,0.244095698488889,0,1.4641,100,0,0.166666666666667,0.142857142857143,0.76,0.2,0.04
"3",NA,2,0.990264,0.234826022933333,0,1.4641,100,0,0.166666666666667,0.285714285714286,0.77,0.19,0.04
"4",NA,3,0.701679,0.431680257433333,0,1.4641,100,0,0.333333333333333,0.0625,0.35,0.46,0.19
"5",NA,4,1.024023,0.203641979566667,0,1.4641,100,0,0.166666666666667,0.428571428571429,0.81,0.16,0.03
"6",NA,5,0.524051,0.404439715655556,0,1.4641,100,0,0.333333333333333,0.125,0.3,0.59,0.11
"7",NA,6,0.674938,0.432422911066667,0,1.4641,100,0,0.333333333333333,0.1875,0.34,0.48,0.18
"8",NA,7,0.744271,0.4666234441,0,1.4641,100,0,0.5,0.0476190476190476,0.24,0.45,0.31
"9",NA,8,0.888382,0.2961214124,0,1.4641,100,0,0.166666666666667,0.571428571428571,0.71,0.27,0.02
"10",NA,9,0.762179,0.416166712988889,0,1.4641,100,0,0.333333333333333,0.25,0.4,0.41,0.19
"11",NA,10,0.747538,0.416841337733333,0,1.4641,100,0,0.333333333333333,0.3125,0.4,0.42,0.18
"12",NA,11,0.575597,0.432732516455556,0,1.4641,100,0,0.5,0.0952380952380952,0.27,0.56,0.17
"13",NA,12,0.685102,0.445913927066667,0,1.4641,100,0,0.333333333333333,0.375,0.3,0.48,0.22
"14",NA,13,0.602943,0.456148651566667,0,1.4641,100,0,0.5,0.142857142857143,0.22,0.55,0.23
"15",NA,14,0.785048,0.442197479288889,0,1.4641,100,0,0.5,0.19047619047619,0.31,0.41,0.28
"16",NA,15,0.748022,0.506890290622222,0,1.4641,100,0,0.666666666666667,0.0625,0.11,0.47,0.42
"17",NA,16,1.002364,0.2252605696,0,1.4641,100,0,0.166666666666667,0.714285714285714,0.78,0.18,0.04
"18",NA,17,0.672397,0.429017547566667,0,1.4641,100,0,0.333333333333333,0.4375,0.35,0.48,0.17
"19",NA,18,0.632951,0.410269495655556,0,1.4641,100,0,0.333333333333333,0.5,0.39,0.5,0.11
"20",NA,19,0.678084,0.454515558933333,0,1.4641,100,0,0.5,0.238095238095238,0.27,0.49,0.24
"21",NA,20,0.737979,0.4232594641,0,1.4641,100,0,0.333333333333333,0.5625,0.38,0.43,0.19
"22",NA,21,0.617584,0.4597508256,0,1.4641,100,0,0.5,0.285714285714286,0.22,0.54,0.24
"23",NA,22,0.639848,0.473715559288889,0,1.4641,100,0,0.5,0.333333333333333,0.19,0.53,0.28
"24",NA,23,0.808522,0.485712601733333,0,1.4641,100,0,0.666666666666667,0.125,0.16,0.42,0.42
"25",NA,24,0.645051,0.4094383601,0,1.4641,100,0,0.333333333333333,0.625,0.4,0.49,0.11
"26",NA,25,0.609961,0.4486123521,0,1.4641,100,0,0.5,0.380952380952381,0.25,0.54,0.21
"27",NA,26,0.530343,0.450522958233333,0,1.4641,100,0,0.5,0.428571428571429,0.16,0.61,0.23
"28",NA,27,0.73084,0.504040826666667,0,1.4641,100,0,0.666666666666667,0.1875,0.12,0.48,0.4
"29",NA,28,0.712448,0.463280519288889,0,1.4641,100,0,0.5,0.476190476190476,0.25,0.47,0.28
"30",NA,29,0.816145,0.493793235833333,0,1.4641,100,0,0.666666666666667,0.25,0.13,0.42,0.45
"31",NA,30,0.669735,0.497014255833333,0,1.4641,100,0,0.666666666666667,0.3125,0.13,0.52,0.35
"32",NA,31,1.19548,0.31816224,0,1.4641,100,0,0.833333333333333,0.142857142857143,0.02,0.18,0.8
"33",NA,32,1.085128,0.166933665066667,0,1.4641,100,0,0.166666666666667,0.857142857142857,0.8,0.12,0.08
"34",NA,33,0.69091,0.39984571,0,1.4641,100,0,0.333333333333333,0.6875,0.45,0.45,0.1
"35",NA,34,0.676874,0.417114163155556,0,1.4641,100,0,0.333333333333333,0.75,0.39,0.47,0.14
"36",NA,35,0.561561,0.446731205433333,0,1.4641,100,0,0.5,0.523809523809524,0.21,0.58,0.21
"37",NA,36,0.64251,0.405879576666667,0,1.4641,100,0,0.333333333333333,0.8125,0.41,0.49,0.1
"38",NA,37,0.629684,0.459295327822222,0,1.4641,100,0,0.5,0.571428571428571,0.23,0.53,0.24
"39",NA,38,0.612502,0.4523382204,0,1.4641,100,0,0.5,0.619047619047619,0.24,0.54,0.22
"40",NA,39,0.83974,0.464377026666667,0,1.4641,100,0,0.666666666666667,0.375,0.21,0.39,0.4
"41",NA,40,0.703615,0.4162669225,0,1.4641,100,0,0.333333333333333,0.875,0.4,0.45,0.15
"42",NA,41,0.529738,0.431642057733333,0,1.4641,100,0,0.5,0.666666666666667,0.22,0.6,0.18
"43",NA,42,0.525261,0.442214678766667,0,1.4641,100,0,0.5,0.714285714285714,0.18,0.61,0.21
"44",NA,43,0.735317,0.491608857788889,0,1.4641,100,0,0.666666666666667,0.4375,0.16,0.47,0.37
"45",NA,44,0.55902,0.44274384,0,1.4641,100,0,0.5,0.761904761904762,0.22,0.58,0.2
"46",NA,45,0.811668,0.506956249066667,0,1.4641,100,0,0.666666666666667,0.5,0.09,0.43,0.48
"47",NA,46,0.643599,0.5147737001,0,1.4641,100,0,0.666666666666667,0.5625,0.06,0.55,0.39
"48",NA,47,1.212662,0.304883533288889,0,1.4641,100,0,0.833333333333333,0.285714285714286,0.01,0.17,0.82
"49",NA,48,0.676874,0.417114163155556,0,1.4641,100,0,0.333333333333333,0.9375,0.39,0.47,0.14
"50",NA,49,0.505538,0.427371026622222,0,1.4641,100,0,0.5,0.80952380952381,0.2,0.62,0.18
"51",NA,50,0.665984,0.456154167822222,0,1.4641,100,0,0.5,0.857142857142857,0.26,0.5,0.24
"52",NA,51,0.712448,0.463280519288889,0,1.4641,100,0,0.666666666666667,0.625,0.25,0.47,0.28
"53",NA,52,0.601007,0.471168247122222,0,1.4641,100,0,0.5,0.904761904761905,0.17,0.56,0.27
"54",NA,53,0.793881,0.487757949433333,0,1.4641,100,0,0.666666666666667,0.6875,0.16,0.43,0.41
"55",NA,54,0.733381,0.507146182766667,0,1.4641,100,0,0.666666666666667,0.75,0.11,0.48,0.41
"56",NA,55,1.229239,0.272982465433333,0,1.4641,100,0,0.833333333333333,0.428571428571429,0.06,0.15,0.79
"57",NA,56,0.604274,0.422331683155556,0,1.4641,100,0,0.5,0.952380952380952,0.33,0.53,0.14
"58",NA,57,0.728299,0.500922426766667,0,1.4641,100,0,0.666666666666667,0.8125,0.13,0.48,0.39
"59",NA,58,0.730235,0.485404978055556,0,1.4641,100,0,0.666666666666667,0.875,0.18,0.47,0.35
"60",NA,59,1.07327,0.411280478888889,0,1.4641,100,0,0.833333333333333,0.571428571428571,0.04,0.26,0.7
"61",NA,60,0.611171,0.486177312988889,0,1.4641,100,0,0.666666666666667,0.9375,0.13,0.56,0.31
"62",NA,61,1.234321,0.274063237433333,0,1.4641,100,0,0.833333333333333,0.714285714285714,0.04,0.15,0.81
"63",NA,62,1.187857,0.3159233649,0,1.4641,100,0,0.833333333333333,0.857142857142857,0.05,0.18,0.77
"64",NA,63,1.4641,0,1.4641,1.4641,100,1.464102,1,0.5,0,0,1
