"","genotype_a","genotype_b","avg_fitness_a","avg_fitness_b","fitness_sd_a","fitness_sd_b","raw_p","adj_p","starting_fitness_a","starting_fitness_b","x_a","y_a","x_b","y_b","fitness_diff"
"1",0,1,1.21,1.21,0,0,1,1,1.210002,0,0,0.5,0.166666666666667,0.142857142857143,-1.210002
"2",1,0,1.21,1.21,0,0,1,1,0,1.210002,0.166666666666667,0.142857142857143,0,0.5,1.210002
"3",2,3,1.21,1.230933,0,0.151078596211817,0.999549112285497,1,0,0,0.166666666666667,0.285714285714286,0.333333333333333,0.0625,0
"4",2,6,1.21,1.225851,0,0.147340377244891,0.998523261207617,1,0,0,0.166666666666667,0.285714285714286,0.333333333333333,0.1875,0
"5",2,10,1.21,1.248115,0,0.091188938473918,0.999970843351334,1,0,0,0.166666666666667,0.285714285714286,0.333333333333333,0.3125,0
"6",2,18,1.21,1.218228,0,0.141202071750618,0.991456966767062,1,0,0,0.166666666666667,0.285714285714286,0.333333333333333,0.5,0
"7",2,34,1.21,1.208669,0,0.188270279975949,0.98493103372511,1,0,0,0.166666666666667,0.285714285714286,0.333333333333333,0.75,0
"8",3,2,1.230933,1.21,0.151078596211817,0,0.000459896997516751,0.00229948498758376,0,0,0.333333333333333,0.0625,0.166666666666667,0.285714285714286,0
"9",3,7,1.230933,1.305832,0.151078596211817,0.262686141748412,0.999999974124841,1,0,0,0.333333333333333,0.0625,0.5,0.0476190476190476,0
"10",3,11,1.230933,1.304622,0.151078596211817,0.182036008525786,0.999996248671886,1,0,0,0.333333333333333,0.0625,0.5,0.0952380952380952,0
"11",3,19,1.230933,1.284173,0.151078596211817,0.320863379735917,0.999999931242113,1,0,0,0.333333333333333,0.0625,0.5,0.238095238095238,0
"12",3,35,1.230933,1.293127,0.151078596211817,0.260844205545507,0.999999233273821,1,0,0,0.333333333333333,0.0625,0.5,0.523809523809524,0
"13",4,5,1.21,1.243638,0,0.159327851928029,0.99997850436441,1,0,0,0.166666666666667,0.428571428571429,0.333333333333333,0.125,0
"14",4,6,1.21,1.225851,0,0.147340377244891,0.998523261207617,1,0,0,0.166666666666667,0.428571428571429,0.333333333333333,0.1875,0
"15",4,12,1.21,1.21121,0,0.189995260174797,0.991304620886972,1,0,0,0.166666666666667,0.428571428571429,0.333333333333333,0.375,0
"16",4,20,1.21,1.227787,0,0.0651594728339633,0.996431680795667,1,0,0,0.166666666666667,0.428571428571429,0.333333333333333,0.5625,0
"17",4,36,1.21,1.241097,0,0.157795207679659,0.999960096266702,1,0,0,0.166666666666667,0.428571428571429,0.333333333333333,0.8125,0
"18",5,4,1.243638,1.21,0.159327851928029,0,2.19458947168433e-05,0.000109729473584216,0,0,0.333333333333333,0.125,0.166666666666667,0.428571428571429,0
"19",5,7,1.243638,1.305832,0.159327851928029,0.262686141748412,0.999998368532136,1,0,0,0.333333333333333,0.125,0.5,0.0476190476190476,0
"20",5,13,1.243638,1.283568,0.159327851928029,0.291536885716599,0.999967137320429,1,0,0,0.333333333333333,0.125,0.5,0.142857142857143,0
"21",5,21,1.243638,1.25114,0.159327851928029,0.313564106505973,0.997291051327859,1,0,0,0.333333333333333,0.125,0.5,0.285714285714286,0
"22",5,37,1.243638,1.26324,0.159327851928029,0.287019209577803,0.998248286302776,1,0,0,0.333333333333333,0.125,0.5,0.571428571428571,0
"23",6,7,1.225851,1.305832,0.147340377244891,0.262686141748412,0.999999996127768,1,0,0,0.333333333333333,0.1875,0.5,0.0476190476190476,0
"24",6,4,1.225851,1.21,0.147340377244891,0,0.00150556316455068,0.00903337898730409,0,0,0.333333333333333,0.1875,0.166666666666667,0.428571428571429,0
"25",6,2,1.225851,1.21,0.147340377244891,0,0.00150556316455068,0.00903337898730409,0,0,0.333333333333333,0.1875,0.166666666666667,0.285714285714286,0
"26",6,14,1.225851,1.310914,0.147340377244891,0.263245942545496,0.999999999149009,1,0,0,0.333333333333333,0.1875,0.5,0.19047619047619,0
"27",6,22,1.225851,1.303291,0.147340377244891,0.262368509479828,0.999999991910488,1,0,0,0.333333333333333,0.1875,0.5,0.333333333333333,0
"28",6,38,1.225851,1.280422,0.147340377244891,0.258358849406531,0.999996635825949,1,0,0,0.333333333333333,0.1875,0.5,0.619047619047619,0
"29",7,6,1.305832,1.225851,0.262686141748412,0.147340377244891,3.94122184931003e-09,2.36473310958602e-08,0,0,0.5,0.0476190476190476,0.333333333333333,0.1875,0
"30",7,5,1.305832,1.243638,0.262686141748412,0.159327851928029,1.65462575390941e-06,9.92775452345644e-06,0,0,0.5,0.0476190476190476,0.333333333333333,0.125,0
"31",7,3,1.305832,1.230933,0.262686141748412,0.151078596211817,2.63078950008609e-08,1.57847370005165e-07,0,0,0.5,0.0476190476190476,0.333333333333333,0.0625,0
"32",7,15,1.305832,1.428526,0.262686141748412,0.0886135858658253,0.999999917093998,1,0,0,0.5,0.0476190476190476,0.666666666666667,0.0625,0
"33",7,23,1.305832,1.424049,0.262686141748412,0.162954063363473,0.999999993219018,1,0,0,0.5,0.0476190476190476,0.666666666666667,0.125,0
"34",7,39,1.305832,1.429131,0.262686141748412,0.160108555153475,0.999999999230238,1,0,0,0.5,0.0476190476190476,0.666666666666667,0.375,0
"35",8,9,1.21,1.216292,0,0.193297875369136,0.997165226733999,1,0,0,0.166666666666667,0.571428571428571,0.333333333333333,0.25,0
"36",8,10,1.21,1.248115,0,0.091188938473918,0.999970843351334,1,0,0,0.166666666666667,0.571428571428571,0.333333333333333,0.3125,0
"37",8,12,1.21,1.21121,0,0.189995260174797,0.991304620886972,1,0,0,0.166666666666667,0.571428571428571,0.333333333333333,0.375,0
