"","landscape_seed","starting_index","fitness_avg","fitness_var","fitness_min","fitness_max","count","starting_fitness","x","y","frac_1","frac_2"
"1",NA,0,1,0,1,1,100,1.000002,0,0.5,1,0
"2",NA,1,1.0126,0.00251236363636364,1,1.21,100,0.949998,0.166666666666667,0.142857142857143,0.94,0.06
"3",NA,2,1.0147,0.00289990909090909,1,1.21,100,0.949998,0.166666666666667,0.285714285714286,0.93,0.07
"4",NA,3,1.1617,0.007889,1,1.21,100,0.902502,0.333333333333333,0.0625,0.23,0.77
"5",NA,4,1.0105,0.00211590909090909,1,1.21,100,0.949998,0.166666666666667,0.428571428571429,0.95,0.05
"6",NA,5,1.1617,0.007889,1,1.21,100,0.902502,0.333333333333333,0.125,0.23,0.77
"7",NA,6,1.1428,0.00969309090909091,1,1.21,100,0.902502,0.333333333333333,0.1875,0.32,0.68
"8",NA,7,1.21,0,1.21,1.21,100,0.857376,0.5,0.0476190476190476,0,1
"9",NA,8,1.0063,0.00129627272727273,1,1.21,100,0.949998,0.166666666666667,0.571428571428571,0.97,0.03
"10",NA,9,1.1617,0.007889,1,1.21,100,0.902502,0.333333333333333,0.25,0.23,0.77
"11",NA,10,1.1512,0.00898036363636363,1,1.21,100,0.902502,0.333333333333333,0.3125,0.28,0.72
"12",NA,11,1.21,0,1.21,1.21,100,0.857376,0.5,0.0952380952380952,0,1
"13",NA,12,1.1554,0.00857054545454545,1,1.21,100,0.902502,0.333333333333333,0.375,0.26,0.74
"14",NA,13,1.21,0,1.21,1.21,100,0.857376,0.5,0.142857142857143,0,1
"15",NA,14,1.21,0,1.21,1.21,100,0.857376,0.5,0.19047619047619,0,1
"16",NA,15,1.21,0,1.21,1.21,100,1.210002,0.666666666666667,0.0625,0,1
"17",NA,16,1.0126,0.00251236363636364,1,1.21,100,0.949998,0.166666666666667,0.714285714285714,0.94,0.06
"18",NA,17,1.1743,0.00628536363636363,1,1.21,100,0.902502,0.333333333333333,0.4375,0.17,0.83
"19",NA,18,1.1554,0.00857054545454545,1,1.21,100,0.902502,0.333333333333333,0.5,0.26,0.74
"20",NA,19,1.21,0,1.21,1.21,100,0.857376,0.5,0.238095238095238,0,1
"21",NA,20,1.1722,0.00657490909090909,1,1.21,100,0.902502,0.333333333333333,0.5625,0.18,0.82
"22",NA,21,1.21,0,1.21,1.21,100,0.857376,0.5,0.285714285714286,0,1
"23",NA,22,1.21,0,1.21,1.21,100,0.857376,0.5,0.333333333333333,0,1
"24",NA,23,1.21,0,1.21,1.21,100,1.210002,0.666666666666667,0.125,0,1
"25",NA,24,1.1575,0.00835227272727272,1,1.21,100,0.902502,0.333333333333333,0.625,0.25,0.75
"26",NA,25,1.21,0,1.21,1.21,100,0.857376,0.5,0.380952380952381,0,1
"27",NA,26,1.21,0,1.21,1.21,100,0.857376,0.5,0.428571428571429,0,1
"28",NA,27,1.21,0,1.21,1.21,100,1.210002,0.666666666666667,0.1875,0,1
"29",NA,28,1.21,0,1.21,1.21,100,0.857376,0.5,0.476190476190476,0,1
"30",NA,29,1.21,0,1.21,1.21,100,1.210002,0.666666666666667,0.25,0,1
"31",NA,30,1.21,0,1.21,1.21,100,1.210002,0.666666666666667,0.3125,0,1
"32",NA,31,1.21,0,1.21,1.21,100,1.210002,0.833333333333333,0.142857142857143,0,1
"33",NA,32,1.0105,0.00211590909090909,1,1.21,100,0.949998,0.166666666666667,0.857142857142857,0.95,0.05
"34",NA,33,1.1701,0.00685554545454545,1,1.21,100,0.902502,0.333333333333333,0.6875,0.19,0.81
"35",NA,34,1.168,0.00712727272727273,1,1.21,100,0.902502,0.333333333333333,0.75,0.2,0.8
"36",NA,35,1.21,0,1.21,1.21,100,0.857376,0.5,0.523809523809524,0,1
"37",NA,36,1.1617,0.007889,1,1.21,100,0.902502,0.333333333333333,0.8125,0.23,0.77
"38",NA,37,1.21,0,1.21,1.21,100,0.857376,0.5,0.571428571428571,0,1
"39",NA,38,1.21,0,1.21,1.21,100,0.857376,0.5,0.619047619047619,0,1
"40",NA,39,1.21,0,1.21,1.21,100,1.210002,0.666666666666667,0.375,0,1
"41",NA,40,1.1638,0.007644,1,1.21,100,0.902502,0.333333333333333,0.875,0.22,0.78
"42",NA,41,1.21,0,1.21,1.21,100,0.857376,0.5,0.666666666666667,0,1
"43",NA,42,1.21,0,1.21,1.21,100,0.857376,0.5,0.714285714285714,0,1
"44",NA,43,1.21,0,1.21,1.21,100,1.210002,0.666666666666667,0.4375,0,1
"45",NA,44,1.21,0,1.21,1.21,100,0.857376,0.5,0.761904761904762,0,1
"46",NA,45,1.21,0,1.21,1.21,100,1.210002,0.666666666666667,0.5,0,1
"47",NA,46,1.21,0,1.21,1.21,100,1.210002,0.666666666666667,0.5625,0,1
"48",NA,47,1.21,0,1.21,1.21,100,1.210002,0.833333333333333,0.285714285714286,0,1
"49",NA,48,1.1449,0.00952827272727272,1,1.21,100,0.902502,0.333333333333333,0.9375,0.31,0.69
"50",NA,49,1.21,0,1.21,1.21,100,0.857376,0.5,0.80952380952381,0,1
"51",NA,50,1.21,0,1.21,1.21,100,0.857376,0.5,0.857142857142857,0,1
"52",NA,51,1.21,0,1.21,1.21,100,1.210002,0.666666666666667,0.625,0,1
"53",NA,52,1.21,0,1.21,1.21,100,0.857376,0.5,0.904761904761905,0,1
"54",NA,53,1.21,0,1.21,1.21,100,1.210002,0.666666666666667,0.6875,0,1
"55",NA,54,1.21,0,1.21,1.21,100,1.210002,0.666666666666667,0.75,0,1
"56",NA,55,1.21,0,1.21,1.21,100,1.210002,0.833333333333333,0.428571428571429,0,1
"57",NA,56,1.21,0,1.21,1.21,100,0.857376,0.5,0.952380952380952,0,1
"58",NA,57,1.21,0,1.21,1.21,100,1.210002,0.666666666666667,0.8125,0,1
"59",NA,58,1.21,0,1.21,1.21,100,1.210002,0.666666666666667,0.875,0,1
"60",NA,59,1.21,0,1.21,1.21,100,1.210002,0.833333333333333,0.571428571428571,0,1
"61",NA,60,1.21,0,1.21,1.21,100,1.210002,0.666666666666667,0.9375,0,1
"62",NA,61,1.21,0,1.21,1.21,100,1.210002,0.833333333333333,0.714285714285714,0,1
"63",NA,62,1.21,0,1.21,1.21,100,1.210002,0.833333333333333,0.857142857142857,0,1
"64",NA,63,1.21,0,1.21,1.21,100,1.210002,1,0.5,0,1
