"","genotype_a","genotype_b","avg_fitness_a","avg_fitness_b","fitness_sd_a","fitness_sd_b","raw_p","adj_p","starting_fitness_a","starting_fitness_b","x_a","y_a","x_b","y_b","fitness_diff"
"1",0,1,1.21,1.21,0,0,1,1,1.000002,0.949998,0,0.5,0.166666666666667,0.142857142857143,-0.0500039999999999
"2",0,2,1.21,1.21,0,0,1,1,1.000002,0.949998,0,0.5,0.166666666666667,0.285714285714286,-0.0500039999999999
"3",0,4,1.21,1.21,0,0,1,1,1.000002,0.949998,0,0.5,0.166666666666667,0.428571428571429,-0.0500039999999999
"4",0,8,1.21,1.21,0,0,1,1,1.000002,0.949998,0,0.5,0.166666666666667,0.571428571428571,-0.0500039999999999
"5",0,16,1.21,1.21,0,0,1,1,1.000002,0.949998,0,0.5,0.166666666666667,0.714285714285714,-0.0500039999999999
"6",0,32,1.21,1.21,0,0,1,1,1.000002,0.949998,0,0.5,0.166666666666667,0.857142857142857,-0.0500039999999999
"7",1,0,1.21,1.21,0,0,1,1,0.949998,1.000002,0.166666666666667,0.142857142857143,0,0.5,0.0500039999999999
"8",1,3,1.21,1.21,0,0,1,1,0.949998,0.902502,0.166666666666667,0.142857142857143,0.333333333333333,0.0625,-0.0474960000000001
"9",1,5,1.21,1.21,0,0,1,1,0.949998,0.902502,0.166666666666667,0.142857142857143,0.333333333333333,0.125,-0.0474960000000001
"10",1,9,1.21,1.21,0,0,1,1,0.949998,0.902502,0.166666666666667,0.142857142857143,0.333333333333333,0.25,-0.0474960000000001
"11",1,17,1.21,1.21,0,0,1,1,0.949998,0.902502,0.166666666666667,0.142857142857143,0.333333333333333,0.4375,-0.0474960000000001
"12",1,33,1.21,1.21,0,0,1,1,0.949998,0.902502,0.166666666666667,0.142857142857143,0.333333333333333,0.6875,-0.0474960000000001
"13",2,3,1.21,1.21,0,0,1,1,0.949998,0.902502,0.166666666666667,0.285714285714286,0.333333333333333,0.0625,-0.0474960000000001
"14",2,0,1.21,1.21,0,0,1,1,0.949998,1.000002,0.166666666666667,0.285714285714286,0,0.5,0.0500039999999999
"15",2,6,1.21,1.21,0,0,1,1,0.949998,0.902502,0.166666666666667,0.285714285714286,0.333333333333333,0.1875,-0.0474960000000001
"16",2,10,1.21,1.21,0,0,1,1,0.949998,0.902502,0.166666666666667,0.285714285714286,0.333333333333333,0.3125,-0.0474960000000001
"17",2,18,1.21,1.21,0,0,1,1,0.949998,0.902502,0.166666666666667,0.285714285714286,0.333333333333333,0.5,-0.0474960000000001
"18",2,34,1.21,1.21,0,0,1,1,0.949998,0.902502,0.166666666666667,0.285714285714286,0.333333333333333,0.75,-0.0474960000000001
"19",3,2,1.21,1.21,0,0,1,1,0.902502,0.949998,0.333333333333333,0.0625,0.166666666666667,0.285714285714286,0.0474960000000001
"20",3,1,1.21,1.21,0,0,1,1,0.902502,0.949998,0.333333333333333,0.0625,0.166666666666667,0.142857142857143,0.0474960000000001
"21",3,7,1.21,1.21,0,0,1,1,0.902502,0.857376,0.333333333333333,0.0625,0.5,0.0476190476190476,-0.045126
"22",3,11,1.21,1.21,0,0,1,1,0.902502,0.857376,0.333333333333333,0.0625,0.5,0.0952380952380952,-0.045126
"23",3,19,1.21,1.21,0,0,1,1,0.902502,0.857376,0.333333333333333,0.0625,0.5,0.238095238095238,-0.045126
"24",3,35,1.21,1.21,0,0,1,1,0.902502,0.857376,0.333333333333333,0.0625,0.5,0.523809523809524,-0.045126
"25",4,5,1.21,1.21,0,0,1,1,0.949998,0.902502,0.166666666666667,0.428571428571429,0.333333333333333,0.125,-0.0474960000000001
"26",4,6,1.21,1.21,0,0,1,1,0.949998,0.902502,0.166666666666667,0.428571428571429,0.333333333333333,0.1875,-0.0474960000000001
"27",4,0,1.21,1.21,0,0,1,1,0.949998,1.000002,0.166666666666667,0.428571428571429,0,0.5,0.0500039999999999
"28",4,12,1.21,1.21,0,0,1,1,0.949998,0.902502,0.166666666666667,0.428571428571429,0.333333333333333,0.375,-0.0474960000000001
"29",4,20,1.21,1.21,0,0,1,1,0.949998,0.902502,0.166666666666667,0.428571428571429,0.333333333333333,0.5625,-0.0474960000000001
"30",4,36,1.21,1.21,0,0,1,1,0.949998,0.902502,0.166666666666667,0.428571428571429,0.333333333333333,0.8125,-0.0474960000000001
"31",5,4,1.21,1.21,0,0,1,1,0.902502,0.949998,0.333333333333333,0.125,0.166666666666667,0.428571428571429,0.0474960000000001
"32",5,7,1.21,1.21,0,0,1,1,0.902502,0.857376,0.333333333333333,0.125,0.5,0.0476190476190476,-0.045126
"33",5,1,1.21,1.21,0,0,1,1,0.902502,0.949998,0.333333333333333,0.125,0.166666666666667,0.142857142857143,0.0474960000000001
"34",5,13,1.21,1.21,0,0,1,1,0.902502,0.857376,0.333333333333333,0.125,0.5,0.142857142857143,-0.045126
"35",5,21,1.21,1.21,0,0,1,1,0.902502,0.857376,0.333333333333333,0.125,0.5,0.285714285714286,-0.045126
"36",5,37,1.21,1.21,0,0,1,1,0.902502,0.857376,0.333333333333333,0.125,0.5,0.571428571428571,-0.045126
"37",6,7,1.21,1.21,0,0,1,1,0.902502,0.857376,0.333333333333333,0.1875,0.5,0.0476190476190476,-0.045126
"38",6,4,1.21,1.21,0,0,1,1,0.902502,0.949998,0.333333333333333,0.1875,0.166666666666667,0.428571428571429,0.0474960000000001
"39",6,2,1.21,1.21,0,0,1,1,0.902502,0.949998,0.333333333333333,0.1875,0.166666666666667,0.285714285714286,0.0474960000000001
"40",6,14,1.21,1.21,0,0,1,1,0.902502,0.857376,0.333333333333333,0.1875,0.5,0.19047619047619,-0.045126
"41",6,22,1.21,1.21,0,0,1,1,0.902502,0.857376,0.333333333333333,0.1875,0.5,0.333333333333333,-0.045126
"42",6,38,1.21,1.21,0,0,1,1,0.902502,0.857376,0.333333333333333,0.1875,0.5,0.619047619047619,-0.045126
"43",7,6,1.21,1.21,0,0,1,1,0.857376,0.902502,0.5,0.0476190476190476,0.333333333333333,0.1875,0.045126
"44",7,5,1.21,1.21,0,0,1,1,0.857376,0.902502,0.5,0.0476190476190476,0.333333333333333,0.125,0.045126
"45",7,3,1.21,1.21,0,0,1,1,0.857376,0.902502,0.5,0.0476190476190476,0.333333333333333,0.0625,0.045126
"46",7,15,1.21,1.21,0,0,1,1,0.857376,1.210002,0.5,0.0476190476190476,0.666666666666667,0.0625,0.352626
"47",7,23,1.21,1.21,0,0,1,1,0.857376,1.210002,0.5,0.0476190476190476,0.666666666666667,0.125,0.352626
"48",7,39,1.21,1.21,0,0,1,1,0.857376,1.210002,0.5,0.0476190476190476,0.666666666666667,0.375,0.352626
"49",8,9,1.21,1.21,0,0,1,1,0.949998,0.902502,0.166666666666667,0.571428571428571,0.333333333333333,0.25,-0.0474960000000001
"50",8,10,1.21,1.21,0,0,1,1,0.949998,0.902502,0.166666666666667,0.571428571428571,0.333333333333333,0.3125,-0.0474960000000001
"51",8,12,1.21,1.21,0,0,1,1,0.949998,0.902502,0.166666666666667,0.571428571428571,0.333333333333333,0.375,-0.0474960000000001
"52",8,0,1.21,1.21,0,0,1,1,0.949998,1.000002,0.166666666666667,0.571428571428571,0,0.5,0.0500039999999999
"53",8,24,1.21,1.21,0,0,1,1,0.949998,0.902502,0.166666666666667,0.571428571428571,0.333333333333333,0.625,-0.0474960000000001
"54",8,40,1.21,1.21,0,0,1,1,0.949998,0.902502,0.166666666666667,0.571428571428571,0.333333333333333,0.875,-0.0474960000000001
"55",9,8,1.21,1.21,0,0,1,1,0.902502,0.949998,0.333333333333333,0.25,0.166666666666667,0.571428571428571,0.0474960000000001
"56",9,11,1.21,1.21,0,0,1,1,0.902502,0.857376,0.333333333333333,0.25,0.5,0.0952380952380952,-0.045126
"57",9,13,1.21,1.21,0,0,1,1,0.902502,0.857376,0.333333333333333,0.25,0.5,0.142857142857143,-0.045126
"58",9,1,1.21,1.21,0,0,1,1,0.902502,0.949998,0.333333333333333,0.25,0.166666666666667,0.142857142857143,0.0474960000000001
"59",9,25,1.21,1.21,0,0,1,1,0.902502,0.857376,0.333333333333333,0.25,0.5,0.380952380952381,-0.045126
"60",9,41,1.21,1.21,0,0,1,1,0.902502,0.857376,0.333333333333333,0.25,0.5,0.666666666666667,-0.045126
"61",10,11,1.21,1.21,0,0,1,1,0.902502,0.857376,0.333333333333333,0.3125,0.5,0.0952380952380952,-0.045126
"62",10,8,1.21,1.21,0,0,1,1,0.902502,0.949998,0.333333333333333,0.3125,0.166666666666667,0.571428571428571,0.0474960000000001
"63",10,14,1.21,1.21,0,0,1,1,0.902502,0.857376,0.333333333333333,0.3125,0.5,0.19047619047619,-0.045126
"64",10,2,1.21,1.21,0,0,1,1,0.902502,0.949998,0.333333333333333,0.3125,0.166666666666667,0.285714285714286,0.0474960000000001
"65",10,26,1.21,1.21,0,0,1,1,0.902502,0.857376,0.333333333333333,0.3125,0.5,0.428571428571429,-0.045126
"66",10,42,1.21,1.21,0,0,1,1,0.902502,0.857376,0.333333333333333,0.3125,0.5,0.714285714285714,-0.045126
"67",11,10,1.21,1.21,0,0,1,1,0.857376,0.902502,0.5,0.0952380952380952,0.333333333333333,0.3125,0.045126
"68",11,9,1.21,1.21,0,0,1,1,0.857376,0.902502,0.5,0.0952380952380952,0.333333333333333,0.25,0.045126
