"","landscape_seed","starting_index","fitness_avg","fitness_var","fitness_min","fitness_max","count","starting_fitness","x","y","frac_1","frac_2","frac_3","frac_4","frac_5"
"1",NA,0,1.027425,0.0148314968434343,0.9025,1.21,100,1.000002,0,0.5,0.24,0.29,0.21,0.26,0
"2",NA,1,1.04859875,0.0183362554592803,0.857375,1.21,100,0.949998,0.166666666666667,0.142857142857143,0.11,0.4,0.21,0.27,0.01
"3",NA,2,1.090575,0.0168836938131313,0.9025,1.21,100,0.949998,0.166666666666667,0.285714285714286,0.16,0.53,0.11,0.2,0
"4",NA,3,1.1246225,0.0161156644507576,0.857375,1.21,100,0.902502,0.333333333333333,0.0625,0.06,0.68,0.07,0.17,0.02
"5",NA,4,1.047575,0.0164187443181818,0.9025,1.21,100,0.949998,0.166666666666667,0.428571428571429,0.17,0.37,0.15,0.31,0
"6",NA,5,1.1013475,0.0178740121780303,0.857375,1.21,100,0.902502,0.333333333333333,0.125,0.11,0.59,0.12,0.16,0.02
"7",NA,6,1.09689875,0.0170612259138258,0.857375,1.21,100,0.902502,0.333333333333333,0.1875,0.13,0.56,0.09,0.21,0.01
"8",NA,7,1.1760725,0.00882689399621212,0.857375,1.21,100,0.857376,0.5,0.0476190476190476,0.03,0.88,0.05,0.02,0.02
"9",NA,8,1.0727725,0.0183230439962121,0.857375,1.21,100,0.949998,0.166666666666667,0.571428571428571,0.12,0.48,0.13,0.25,0.02
"10",NA,9,1.12672375,0.0160344798910985,0.857375,1.21,100,0.902502,0.333333333333333,0.25,0.06,0.69,0.1,0.14,0.01
"11",NA,10,1.1242,0.0147329393939394,0.9025,1.21,100,0.902502,0.333333333333333,0.3125,0.09,0.66,0.04,0.21,0
"12",NA,11,1.191225,0.00419198169191919,0.9025,1.21,100,0.857376,0.5,0.0952380952380952,0.05,0.92,0.01,0.02,0
"13",NA,12,1.11715,0.0159853560606061,0.9025,1.21,100,0.902502,0.333333333333333,0.375,0.11,0.64,0.1,0.15,0
"14",NA,13,1.18314875,0.00677792098958333,0.857375,1.21,100,0.857376,0.5,0.142857142857143,0.03,0.9,0.03,0.03,0.01
"15",NA,14,1.19135,0.00473565909090909,0.9025,1.21,100,0.857376,0.5,0.19047619047619,0.01,0.93,0.02,0.04,0
"16",NA,15,1.2079,0.000441,1,1.21,100,1.210002,0.666666666666667,0.0625,0.01,0.99,0,0,0
"17",NA,16,1.05529375,0.0180065739820076,0.857375,1.21,100,0.949998,0.166666666666667,0.714285714285714,0.19,0.41,0.13,0.22,0.05
"18",NA,17,1.126875,0.0146112847222222,0.9025,1.21,100,0.902502,0.333333333333333,0.4375,0.12,0.67,0.07,0.14,0
"19",NA,18,1.1069475,0.0173288586426768,0.857375,1.21,100,0.902502,0.333333333333333,0.5,0.08,0.61,0.08,0.21,0.02
"20",NA,19,1.1868725,0.00634097884469697,0.857375,1.21,100,0.857376,0.5,0.238095238095238,0,0.92,0.01,0.05,0.02
"21",NA,20,1.11159625,0.0187348193986742,0.857375,1.21,100,0.902502,0.333333333333333,0.5625,0.05,0.65,0.15,0.12,0.03
"22",NA,21,1.18832375,0.00563101928503788,0.857375,1.21,100,0.857376,0.5,0.285714285714286,0.02,0.92,0.02,0.03,0.01
"23",NA,22,1.189225,0.00506157765151515,0.9025,1.21,100,0.857376,0.5,0.333333333333333,0.01,0.92,0.01,0.06,0
"24",NA,23,1.21,0,1.21,1.21,100,1.210002,0.666666666666667,0.125,0,1,0,0,0
"25",NA,24,1.113525,0.0164147847222222,0.9025,1.21,100,0.902502,0.333333333333333,0.625,0.08,0.63,0.09,0.2,0
"26",NA,25,1.18267375,0.00702421208806818,0.857375,1.21,100,0.857376,0.5,0.380952380952381,0.03,0.9,0.04,0.02,0.01
"27",NA,26,1.1857,0.00616339393939394,0.9025,1.21,100,0.857376,0.5,0.428571428571429,0.02,0.91,0.04,0.03,0
"28",NA,27,1.21,0,1.21,1.21,100,1.210002,0.666666666666667,0.1875,0,1,0,0,0
"29",NA,28,1.18932375,0.00519905211332071,0.857375,1.21,100,0.857376,0.5,0.476190476190476,0.04,0.92,0.02,0.01,0.01
"30",NA,29,1.1998725,0.00336351924873737,0.857375,1.21,100,1.210002,0.666666666666667,0.25,0,0.97,0.01,0,0.02
"31",NA,30,1.2074,0.000676,0.95,1.21,100,1.210002,0.666666666666667,0.3125,0,0.99,0,0.01,0
"32",NA,31,1.2074,0.000676,0.95,1.21,100,1.210002,0.833333333333333,0.142857142857143,0,0.99,0,0.01,0
"33",NA,32,1.08347375,0.0175679817850379,0.857375,1.21,100,0.949998,0.166666666666667,0.857142857142857,0.15,0.51,0.12,0.21,0.01
"34",NA,33,1.104375,0.017516966540404,0.9025,1.21,100,0.902502,0.333333333333333,0.6875,0.11,0.6,0.15,0.14,0
"35",NA,34,1.11329875,0.0173501259138258,0.857375,1.21,100,0.902502,0.333333333333333,0.75,0.08,0.64,0.13,0.14,0.01
"36",NA,35,1.188775,0.00534968371212121,0.9025,1.21,100,0.857376,0.5,0.523809523809524,0.02,0.92,0.03,0.03,0
"37",NA,36,1.134325,0.0145690473484848,0.9025,1.21,100,0.902502,0.333333333333333,0.8125,0.08,0.71,0.09,0.12,0
"38",NA,37,1.19399875,0.00420905697443182,0.857375,1.21,100,0.857376,0.5,0.571428571428571,0.02,0.94,0.01,0.02,0.01
"39",NA,38,1.1854475,0.00708920460227273,0.857375,1.21,100,0.857376,0.5,0.619047619047619,0,0.92,0.04,0.02,0.02
"40",NA,39,1.2048,0.00133834343434343,0.95,1.21,100,1.210002,0.666666666666667,0.375,0,0.98,0,0.02,0
"41",NA,40,1.11309875,0.0166673274289773,0.857375,1.21,100,0.902502,0.333333333333333,0.875,0.09,0.63,0.09,0.18,0.01
