"","landscape_seed","starting_index","fitness_avg","fitness_var","fitness_min","fitness_max","count","starting_fitness","x","y","frac_1","frac_2","frac_3"
"1",NA,0,1,0,1,1,100,1.000002,0,0.5,1,0,0
"2",NA,1,1.0168,0.00327854545454545,1,1.21,100,0.949998,0.166666666666667,0.142857142857143,0.92,0.08,0
"3",NA,2,1.0168,0.00327854545454545,1,1.21,100,0.949998,0.166666666666667,0.285714285714286,0.92,0.08,0
"4",NA,3,1.1092,0.0111185454545455,1,1.21,100,0.902502,0.333333333333333,0.0625,0.48,0.52,0
"5",NA,4,1.0189,0.00364827272727273,1,1.21,100,0.949998,0.166666666666667,0.428571428571429,0.91,0.09,0
"6",NA,5,1.1071,0.0111319090909091,1,1.21,100,0.902502,0.333333333333333,0.125,0.49,0.51,0
"7",NA,6,1.105,0.0111363636363636,1,1.21,100,0.902502,0.333333333333333,0.1875,0.5,0.5,0
"8",NA,7,1.21,0,1.21,1.21,100,0.857376,0.5,0.0476190476190476,0,1,0
"9",NA,8,1.0147,0.00289990909090909,1,1.21,100,0.949998,0.166666666666667,0.571428571428571,0.93,0.07,0
"10",NA,9,1.105,0.0111363636363636,1,1.21,100,0.902502,0.333333333333333,0.25,0.5,0.5,0
"11",NA,10,1.1365,0.0101340909090909,1,1.21,100,0.902502,0.333333333333333,0.3125,0.35,0.65,0
"12",NA,11,1.21,0,1.21,1.21,100,0.857376,0.5,0.0952380952380952,0,1,0
"13",NA,12,1.0945,0.011025,1,1.21,100,0.902502,0.333333333333333,0.375,0.55,0.45,0
"14",NA,13,1.21,0,1.21,1.21,100,0.857376,0.5,0.142857142857143,0,1,0
"15",NA,14,1.21,0,1.21,1.21,100,0.857376,0.5,0.19047619047619,0,1,0
"16",NA,15,1.21,0,1.21,1.21,100,1.210002,0.666666666666667,0.0625,0,1,0
"17",NA,16,1.0231,0.004361,1,1.21,100,0.949998,0.166666666666667,0.714285714285714,0.89,0.11,0
"18",NA,17,1.0882,0.0108512727272727,1,1.21,100,0.902502,0.333333333333333,0.4375,0.58,0.42,0
"19",NA,18,1.1108,0.011233696969697,0.95,1.21,100,0.902502,0.333333333333333,0.5,0.46,0.53,0.01
"20",NA,19,1.21,0,1.21,1.21,100,0.857376,0.5,0.238095238095238,0,1,0
"21",NA,20,1.084,0.0106909090909091,1,1.21,100,0.902502,0.333333333333333,0.5625,0.6,0.4,0
"22",NA,21,1.2079,0.000441,1,1.21,100,0.857376,0.5,0.285714285714286,0.01,0.99,0
"23",NA,22,1.21,0,1.21,1.21,100,0.857376,0.5,0.333333333333333,0,1,0
"24",NA,23,1.21,0,1.21,1.21,100,1.210002,0.666666666666667,0.125,0,1,0
"25",NA,24,1.1071,0.0111319090909091,1,1.21,100,0.902502,0.333333333333333,0.625,0.49,0.51,0
"26",NA,25,1.2079,0.000441,1,1.21,100,0.857376,0.5,0.380952380952381,0.01,0.99,0
"27",NA,26,1.21,0,1.21,1.21,100,0.857376,0.5,0.428571428571429,0,1,0
"28",NA,27,1.21,0,1.21,1.21,100,1.210002,0.666666666666667,0.1875,0,1,0
"29",NA,28,1.21,0,1.21,1.21,100,0.857376,0.5,0.476190476190476,0,1,0
"30",NA,29,1.21,0,1.21,1.21,100,1.210002,0.666666666666667,0.25,0,1,0
"31",NA,30,1.21,0,1.21,1.21,100,1.210002,0.666666666666667,0.3125,0,1,0
"32",NA,31,1.21,0,1.21,1.21,100,1.210002,0.833333333333333,0.142857142857143,0,1,0
"33",NA,32,1.0231,0.004361,1,1.21,100,0.949998,0.166666666666667,0.857142857142857,0.89,0.11,0
"34",NA,33,1.105,0.0111363636363636,1,1.21,100,0.902502,0.333333333333333,0.6875,0.5,0.5,0
"35",NA,34,1.1134,0.0110650909090909,1,1.21,100,0.902502,0.333333333333333,0.75,0.46,0.54,0
"36",NA,35,1.2079,0.000441,1,1.21,100,0.857376,0.5,0.523809523809524,0.01,0.99,0
"37",NA,36,1.1176,0.010976,1,1.21,100,0.902502,0.333333333333333,0.8125,0.44,0.56,0
"38",NA,37,1.21,0,1.21,1.21,100,0.857376,0.5,0.571428571428571,0,1,0
"39",NA,38,1.2079,0.000441,1,1.21,100,0.857376,0.5,0.619047619047619,0.01,0.99,0
"40",NA,39,1.21,0,1.21,1.21,100,1.210002,0.666666666666667,0.375,0,1,0
"41",NA,40,1.105,0.0111363636363636,1,1.21,100,0.902502,0.333333333333333,0.875,0.5,0.5,0
"42",NA,41,1.21,0,1.21,1.21,100,0.857376,0.5,0.666666666666667,0,1,0
"43",NA,42,1.21,0,1.21,1.21,100,0.857376,0.5,0.714285714285714,0,1,0
"44",NA,43,1.21,0,1.21,1.21,100,1.210002,0.666666666666667,0.4375,0,1,0
"45",NA,44,1.21,0,1.21,1.21,100,0.857376,0.5,0.761904761904762,0,1,0
"46",NA,45,1.21,0,1.21,1.21,100,1.210002,0.666666666666667,0.5,0,1,0
"47",NA,46,1.21,0,1.21,1.21,100,1.210002,0.666666666666667,0.5625,0,1,0
"48",NA,47,1.21,0,1.21,1.21,100,1.210002,0.833333333333333,0.285714285714286,0,1,0
"49",NA,48,1.1029,0.0111319090909091,1,1.21,100,0.902502,0.333333333333333,0.9375,0.51,0.49,0
"50",NA,49,1.21,0,1.21,1.21,100,0.857376,0.5,0.80952380952381,0,1,0
"51",NA,50,1.21,0,1.21,1.21,100,0.857376,0.5,0.857142857142857,0,1,0
"52",NA,51,1.21,0,1.21,1.21,100,1.210002,0.666666666666667,0.625,0,1,0
"53",NA,52,1.21,0,1.21,1.21,100,0.857376,0.5,0.904761904761905,0,1,0
