"","landscape_seed","starting_index","fitness_avg","fitness_var","fitness_min","fitness_max","count","starting_fitness","frac_1","frac_2","frac_3","frac_4","frac_5","frac_6","frac_7","frac_8"
"1",NA,0,1.77156,0,1.77156,1.77156,100,1.000002,1,0,0,0,0,0,0,0
"2",NA,1,1.77156,0,1.77156,1.77156,100,0,1,0,0,0,0,0,0,0
"3",NA,2,1.77156,0,1.77156,1.77156,100,0,1,0,0,0,0,0,0,0
"4",NA,3,1.0421651,0.738865660861606,0,1.77156,100,0,0.53,0.4,0.03,0.03,0.01,0,0,0
"5",NA,4,1.77156,0,1.77156,1.77156,100,0,1,0,0,0,0,0,0,0
"6",NA,5,1.253595,0.60611721809596,0,1.77156,100,0,0.65,0.27,0.01,0,0,0.01,0.02,0.04
"7",NA,6,1.3386742,0.553687640955919,0,1.77156,100,0,0.72,0.23,0.01,0,0.01,0,0.02,0.01
"8",NA,7,0.9728405,0.738152194671465,0,1.77156,100,0,0.49,0.43,0.01,0.01,0.02,0,0.01,0.03
"9",NA,8,1.77156,0,1.77156,1.77156,100,0,1,0,0,0,0,0,0,0
"10",NA,9,1.2241526,0.655776228676,0,1.77156,100,0,0.66,0.3,0.03,0,0.01,0,0,0
"11",NA,10,1.3246842,0.569289675951879,0,1.77156,100,0,0.7,0.24,0.02,0.02,0.01,0,0.01,0
"12",NA,11,0.8530786,0.770253994351556,0,1.77156,100,0,0.44,0.51,0.02,0.02,0,0,0.01,0
"13",NA,12,1.5089199,0.380437386366657,0,1.77156,100,0,0.81,0.14,0.01,0.03,0.01,0,0,0
"14",NA,13,0.999088,0.763853209460606,0,1.77156,100,0,0.53,0.43,0.01,0.02,0,0,0,0.01
"15",NA,14,1.3818846,0.519976159948323,0,1.77156,100,0,0.74,0.21,0,0.02,0,0,0.01,0.02
"16",NA,15,1.0506048,0.750764603742384,0,1.77156,100,0,0.58,0.4,0,0,0.01,0,0.01,0
"17",NA,16,1.77156,0,1.77156,1.77156,100,0,1,0,0,0,0,0,0,0
"18",NA,17,1.3642536,0.537417478265697,0,1.77156,100,0,0.72,0.22,0,0.04,0.01,0,0,0.01
"19",NA,18,1.4170617,0.482483994575869,0,1.77156,100,0,0.76,0.19,0.01,0.01,0,0,0,0.03
"20",NA,19,0.9254051,0.771675235277768,0,1.77156,100,0,0.48,0.47,0.01,0.03,0,0,0.01,0
"21",NA,20,1.6273389,0.210592414965444,0,1.77156,100,0,0.88,0.07,0.01,0.01,0.01,0,0,0.02
"22",NA,21,0.8842373,0.765959662840111,0,1.77156,100,0,0.45,0.49,0,0.03,0,0,0.01,0.02
"23",NA,22,1.348848,0.553607700157576,0,1.77156,100,0,0.71,0.23,0,0.04,0,0,0,0.02
"24",NA,23,1.1254723,0.724417094308798,0,1.77156,100,0,0.62,0.36,0,0.01,0.01,0,0,0
"25",NA,24,1.77156,0,1.77156,1.77156,100,0,1,0,0,0,0,0,0,0
"26",NA,25,1.2705705,0.614265784691667,0,1.77156,100,0,0.67,0.27,0,0.03,0.02,0,0,0.01
"27",NA,26,1.5273155,0.359861260893687,0,1.77156,100,0,0.84,0.13,0,0.01,0.01,0,0.01,0
"28",NA,27,1.24696,0.644360057555556,0,1.77156,100,0,0.66,0.29,0,0.04,0,0,0,0.01
"29",NA,28,1.77156,0,1.77156,1.77156,100,0,1,0,0,0,0,0,0,0
"30",NA,29,1.3846797,0.520470089974657,0,1.77156,100,0,0.74,0.21,0,0.03,0,0,0.01,0.01
"31",NA,30,1.77156,0,1.77156,1.77156,100,0,1,0,0,0,0,0,0,0
"32",NA,31,1.7538444,0.031384248336,0,1.77156,100,0,0.99,0.01,0,0,0,0,0,0
"33",NA,32,1.77156,0,1.77156,1.77156,100,1.099998,1,0,0,0,0,0,0,0
"34",NA,33,1.77156,0,1.77156,1.77156,100,0,1,0,0,0,0,0,0,0
"35",NA,34,1.77156,0,1.77156,1.77156,100,0,1,0,0,0,0,0,0,0
"36",NA,35,1.3244532,0.568716618011879,0,1.77156,100,0,0.7,0.24,0.01,0.02,0,0,0.02,0.01
"37",NA,36,1.77156,0,1.77156,1.77156,100,0,1,0,0,0,0,0,0,0
"38",NA,37,1.2224696,0.654334249749333,0,1.77156,100,0,0.66,0.3,0,0,0,0,0,0.04
"39",NA,38,1.4958048,0.403855779984808,0,1.77156,100,0,0.83,0.15,0,0,0,0,0.01,0.01
"40",NA,39,1.2974581,0.602327671682212,0,1.77156,100,0,0.7,0.26,0.01,0.01,0,0,0,0.02
"41",NA,40,1.77156,0,1.77156,1.77156,100,0,1,0,0,0,0,0,0,0
"42",NA,41,1.4613041,0.444867794852717,0,1.77156,100,0,0.8,0.17,0.01,0.01,0,0,0,0.01
"43",NA,42,1.5412572,0.358541261293091,0,1.77156,100,0,0.87,0.13,0,0,0,0,0,0
"44",NA,43,1.2946376,0.601105017325495,0,1.77156,100,0,0.69,0.26,0.01,0.02,0,0,0.01,0.01
"45",NA,44,1.77156,0,1.77156,1.77156,100,0,1,0,0,0,0,0,0,0
"46",NA,45,1.3629359,0.537455224060798,0,1.77156,100,0,0.73,0.22,0.02,0.01,0.01,0,0,0.01
"47",NA,46,1.77156,0,1.77156,1.77156,100,0,1,0,0,0,0,0,0,0
"48",NA,47,1.77156,0,1.77156,1.77156,100,0,1,0,0,0,0,0,0,0
"49",NA,48,1.77156,0,1.77156,1.77156,100,1.210002,1,0,0,0,0,0,0,0
"50",NA,49,1.77156,0,1.77156,1.77156,100,0,1,0,0,0,0,0,0,0
"51",NA,50,1.77156,0,1.77156,1.77156,100,0,1,0,0,0,0,0,0,0
"52",NA,51,1.4352988,0.464689395077333,0,1.77156,100,0,0.78,0.18,0.02,0,0,0,0.02,0
"53",NA,52,1.77156,0,1.77156,1.77156,100,0,1,0,0,0,0,0,0,0
"54",NA,53,1.4914838,0.403323887631879,0,1.77156,100,0,0.81,0.15,0,0.02,0.01,0,0,0.01
"55",NA,54,1.77156,0,1.77156,1.77156,100,0,1,0,0,0,0,0,0,0
"56",NA,55,1.77156,0,1.77156,1.77156,100,0,1,0,0,0,0,0,0,0
"57",NA,56,1.77156,0,1.77156,1.77156,100,1.330998,1,0,0,0,0,0,0,0
"58",NA,57,1.77156,0,1.77156,1.77156,100,0,1,0,0,0,0,0,0,0
"59",NA,58,1.77156,0,1.77156,1.77156,100,0,1,0,0,0,0,0,0,0
"60",NA,59,1.77156,0,1.77156,1.77156,100,0,1,0,0,0,0,0,0,0
"61",NA,60,1.77156,0,1.77156,1.77156,100,1.464102,1,0,0,0,0,0,0,0
"62",NA,61,1.77156,0,1.77156,1.77156,100,0,1,0,0,0,0,0,0,0
"63",NA,62,1.77156,0,1.77156,1.77156,100,1.610508,1,0,0,0,0,0,0,0
"64",NA,63,1.77156,0,1.77156,1.77156,100,1.77156,1,0,0,0,0,0,0,0
