"","landscape_seed","starting_index","fitness_avg","fitness_var","fitness_min","fitness_max","count","starting_fitness","frac_1"
"1",NA,0,1.77156,0,1.77156,1.77156,100,1.000002,1
"2",NA,1,1.77156,0,1.77156,1.77156,100,0,1
"3",NA,2,1.77156,0,1.77156,1.77156,100,0,1
"4",NA,3,1.77156,0,1.77156,1.77156,100,0,1
"5",NA,4,1.77156,0,1.77156,1.77156,100,0,1
"6",NA,5,1.77156,0,1.77156,1.77156,100,0,1
"7",NA,6,1.77156,0,1.77156,1.77156,100,0,1
"8",NA,7,1.77156,0,1.77156,1.77156,100,0,1
"9",NA,8,1.77156,0,1.77156,1.77156,100,0,1
"10",NA,9,1.77156,0,1.77156,1.77156,100,0,1
"11",NA,10,1.77156,0,1.77156,1.77156,100,0,1
"12",NA,11,1.77156,0,1.77156,1.77156,100,0,1
"13",NA,12,1.77156,0,1.77156,1.77156,100,0,1
"14",NA,13,1.77156,0,1.77156,1.77156,100,0,1
"15",NA,14,1.77156,0,1.77156,1.77156,100,0,1
"16",NA,15,1.77156,0,1.77156,1.77156,100,0,1
"17",NA,16,1.77156,0,1.77156,1.77156,100,0,1
"18",NA,17,1.77156,0,1.77156,1.77156,100,0,1
"19",NA,18,1.77156,0,1.77156,1.77156,100,0,1
"20",NA,19,1.77156,0,1.77156,1.77156,100,0,1
"21",NA,20,1.77156,0,1.77156,1.77156,100,0,1
"22",NA,21,1.77156,0,1.77156,1.77156,100,0,1
"23",NA,22,1.77156,0,1.77156,1.77156,100,0,1
"24",NA,23,1.77156,0,1.77156,1.77156,100,0,1
"25",NA,24,1.77156,0,1.77156,1.77156,100,0,1
"26",NA,25,1.77156,0,1.77156,1.77156,100,0,1
"27",NA,26,1.77156,0,1.77156,1.77156,100,0,1
"28",NA,27,1.77156,0,1.77156,1.77156,100,0,1
"29",NA,28,1.77156,0,1.77156,1.77156,100,0,1
"30",NA,29,1.77156,0,1.77156,1.77156,100,0,1
"31",NA,30,1.77156,0,1.77156,1.77156,100,0,1
"32",NA,31,1.77156,0,1.77156,1.77156,100,0,1
"33",NA,32,1.77156,0,1.77156,1.77156,100,1.099998,1
"34",NA,33,1.77156,0,1.77156,1.77156,100,0,1
"35",NA,34,1.77156,0,1.77156,1.77156,100,0,1
"36",NA,35,1.77156,0,1.77156,1.77156,100,0,1
"37",NA,36,1.77156,0,1.77156,1.77156,100,0,1
"38",NA,37,1.77156,0,1.77156,1.77156,100,0,1
"39",NA,38,1.77156,0,1.77156,1.77156,100,0,1
"40",NA,39,1.77156,0,1.77156,1.77156,100,0,1
"41",NA,40,1.77156,0,1.77156,1.77156,100,0,1
"42",NA,41,1.77156,0,1.77156,1.77156,100,0,1
"43",NA,42,1.77156,0,1.77156,1.77156,100,0,1
"44",NA,43,1.77156,0,1.77156,1.77156,100,0,1
"45",NA,44,1.77156,0,1.77156,1.77156,100,0,1
"46",NA,45,1.77156,0,1.77156,1.77156,100,0,1
"47",NA,46,1.77156,0,1.77156,1.77156,100,0,1
"48",NA,47,1.77156,0,1.77156,1.77156,100,0,1
"49",NA,48,1.77156,0,1.77156,1.77156,100,1.210002,1
"50",NA,49,1.77156,0,1.77156,1.77156,100,0,1
"51",NA,50,1.77156,0,1.77156,1.77156,100,0,1
"52",NA,51,1.77156,0,1.77156,1.77156,100,0,1
"53",NA,52,1.77156,0,1.77156,1.77156,100,0,1
"54",NA,53,1.77156,0,1.77156,1.77156,100,0,1
"55",NA,54,1.77156,0,1.77156,1.77156,100,0,1
"56",NA,55,1.77156,0,1.77156,1.77156,100,0,1
"57",NA,56,1.77156,0,1.77156,1.77156,100,1.330998,1
"58",NA,57,1.77156,0,1.77156,1.77156,100,0,1
"59",NA,58,1.77156,0,1.77156,1.77156,100,0,1
"60",NA,59,1.77156,0,1.77156,1.77156,100,0,1
"61",NA,60,1.77156,0,1.77156,1.77156,100,1.464102,1
"62",NA,61,1.77156,0,1.77156,1.77156,100,0,1
"63",NA,62,1.77156,0,1.77156,1.77156,100,1.610508,1
"64",NA,63,1.77156,0,1.77156,1.77156,100,1.77156,1
