"","landscape_seed","starting_index","fitness_avg","fitness_var","fitness_min","fitness_max","count","starting_fitness","frac_1","frac_2","frac_3","frac_4","frac_5","frac_6","frac_7","frac_8"
"1",NA,0,1.211154,0.0306571810040404,1,1.77156,100,1.000002,0.18,0.36,0.13,0.07,0.02,0.03,0.21,0
"2",NA,1,1.0678999,0.176145097736354,0,1.77156,100,0,0.24,0.19,0.23,0.03,0.07,0.02,0.11,0.11
"3",NA,2,1.152359,0.126851418221212,0,1.77156,100,0,0.21,0.28,0.16,0.05,0.04,0.06,0.14,0.06
"4",NA,3,0.9634688,0.360479564671273,0,1.77156,100,0,0.18,0.13,0.14,0.07,0.02,0.11,0.1,0.25
"5",NA,4,1.1354593,0.121604385986374,0,1.77156,100,0,0.2,0.29,0.19,0.06,0.03,0.05,0.12,0.06
"6",NA,5,0.9222379,0.41276082553797,0,1.77156,100,0,0.1,0.19,0.15,0.03,0.03,0.16,0.05,0.29
"7",NA,6,1.0650409,0.380728276521404,0,1.77156,100,0,0.1,0.11,0.2,0.03,0.09,0.2,0.06,0.21
"8",NA,7,0.7866196,0.521192290951354,0,1.77156,100,0,0.05,0.14,0.07,0.05,0.06,0.15,0.05,0.43
"9",NA,8,1.1710093,0.092287327299505,0,1.77156,100,0,0.22,0.29,0.15,0.07,0.05,0.03,0.15,0.04
"10",NA,9,1.0047081,0.389125521581202,0,1.77156,100,0,0.09,0.14,0.1,0.06,0.11,0.1,0.15,0.25
"11",NA,10,1.0393206,0.402779335415798,0,1.77156,100,0,0.04,0.14,0.13,0.12,0.14,0.12,0.07,0.24
"12",NA,11,0.8517405,0.529038136045202,0,1.77156,100,0,0.05,0.06,0.14,0.03,0.05,0.2,0.08,0.39
"13",NA,12,1.14067,0.347077516959596,0,1.77156,100,0,0.15,0.12,0.08,0.09,0.14,0.16,0.08,0.18
"14",NA,13,0.8879315,0.580296567618939,0,1.77156,100,0,0.07,0.04,0.07,0.07,0.07,0.23,0.05,0.4
"15",NA,14,1.1408086,0.518487174618222,0,1.77156,100,0,0.06,0.05,0.06,0.06,0.1,0.36,0.05,0.26
"16",NA,15,0.9674032,0.691025305365414,0,1.77156,100,0,0.02,0.03,0.03,0.03,0.06,0.41,0.01,0.41
"17",NA,16,1.2971209,0.0602926373153434,0,1.77156,100,0,0.23,0.15,0.09,0.16,0.07,0.07,0.22,0.01
"18",NA,17,1.1271925,0.324572426816919,0,1.77156,100,0,0.18,0.07,0.06,0.15,0.09,0.11,0.16,0.18
"19",NA,18,1.1095362,0.327059698082384,0,1.77156,100,0,0.13,0.1,0.11,0.07,0.08,0.14,0.19,0.18
"20",NA,19,0.8716696,0.501043334294788,0,1.77156,100,0,0.08,0.11,0.07,0.04,0.04,0.17,0.12,0.37
"21",NA,20,1.2532121,0.253449408489485,0,1.77156,100,0,0.09,0.12,0.08,0.16,0.15,0.16,0.13,0.11
"22",NA,21,1.047285,0.47513612809596,0,1.77156,100,0,0.07,0.06,0.12,0.09,0.04,0.26,0.09,0.27
"23",NA,22,1.0797882,0.472809125336121,0,1.77156,100,0,0.08,0.13,0.05,0.08,0.14,0.23,0.03,0.26
"24",NA,23,1.1035648,0.557026468392889,0,1.77156,100,0,0.04,0.05,0.06,0.02,0.12,0.36,0.06,0.29
"25",NA,24,1.4786872,0.106530986543596,0,1.77156,100,0,0.05,0.02,0.02,0.25,0.22,0.25,0.16,0.03
"26",NA,25,1.108719,0.442776445190909,0,1.77156,100,0,0.08,0.04,0.07,0.15,0.08,0.22,0.12,0.24
"27",NA,26,1.200502,0.452109685006061,0,1.77156,100,0,0.06,0.03,0.02,0.08,0.16,0.29,0.14,0.22
"28",NA,27,1.1135825,0.541411603736111,0,1.77156,100,0,0.05,0.04,0.06,0.05,0.09,0.36,0.07,0.28
"29",NA,28,1.4773707,0.196083141109606,0,1.77156,100,0,0.02,0.02,0,0.22,0.21,0.36,0.1,0.07
"30",NA,29,1.1673383,0.487923722612232,0,1.77156,100,0,0.02,0.07,0.05,0.12,0.09,0.34,0.07,0.24
"31",NA,30,1.6280571,0.113773320000596,0,1.77156,100,0,0,0.01,0.03,0.1,0.13,0.68,0.02,0.03
"32",NA,31,1.5188487,0.331282958429606,0,1.77156,100,0,0.01,0,0.01,0.04,0.09,0.73,0,0.12
"33",NA,32,1.348533,0.041367876910101,1,1.77156,100,1.099998,0.21,0.13,0.05,0.18,0.14,0.06,0.23,0
"34",NA,33,1.2165706,0.167263678860242,0,1.77156,100,0,0.21,0.17,0.04,0.21,0.04,0.07,0.18,0.08
"35",NA,34,1.2457054,0.172177493287717,0,1.77156,100,0,0.21,0.17,0.07,0.07,0.12,0.12,0.17,0.07
"36",NA,35,1.016014,0.442161752014141,0,1.77156,100,0,0.12,0.12,0.07,0.07,0.06,0.19,0.1,0.27
"37",NA,36,1.2786446,0.070153479946303,0,1.77156,100,0,0.34,0.13,0.05,0.15,0.04,0.07,0.2,0.02
"38",NA,37,1.1101422,0.354135304516323,0,1.77156,100,0,0.14,0.19,0.06,0.05,0.08,0.19,0.1,0.19
"39",NA,38,1.2446773,0.400779547038091,0,1.77156,100,0,0.14,0.08,0.02,0.06,0.15,0.33,0.04,0.18
"40",NA,39,1.2034881,0.514915979918576,0,1.77156,100,0,0.06,0.09,0.01,0.05,0.05,0.46,0.04,0.24
"41",NA,40,1.3558642,0.10540866256602,0,1.77156,100,0,0.2,0.09,0.04,0.2,0.14,0.13,0.17,0.03
"42",NA,41,1.2184184,0.268508743470141,0,1.77156,100,0,0.1,0.19,0.07,0.11,0.1,0.19,0.12,0.12
"43",NA,42,1.2599116,0.338652073304485,0,1.77156,100,0,0.07,0.1,0.03,0.09,0.14,0.27,0.15,0.15
"44",NA,43,1.2189462,0.453933526007636,0,1.77156,100,0,0.05,0.05,0.05,0.08,0.1,0.37,0.09,0.21
"45",NA,44,1.501967,0.13634469369798,0,1.77156,100,0,0.07,0.01,0.03,0.1,0.34,0.31,0.1,0.04
"46",NA,45,1.3448273,0.37236742653304,0,1.77156,100,0,0.01,0.05,0.05,0.11,0.17,0.41,0.05,0.15
"47",NA,46,1.591165,0.15876966770202,0,1.77156,100,0,0.02,0.01,0,0.06,0.18,0.62,0.06,0.05
"48",NA,47,1.5002599,0.313385550344434,0,1.77156,100,0,0.01,0.01,0.04,0.04,0.13,0.66,0,0.11
"49",NA,48,1.4009168,0.0332326592381414,1,1.77156,100,1.210002,0.17,0.04,0.02,0.3,0.08,0.1,0.29,0
"50",NA,49,1.3517174,0.134079677455798,0,1.77156,100,0,0.17,0.06,0.01,0.29,0.12,0.12,0.18,0.05
