"","genotype_a","genotype_b","avg_fitness_a","avg_fitness_b","fitness_sd_a","fitness_sd_b","raw_p","adj_p","starting_fitness_a","starting_fitness_b","fitness_diff"
"1",0,1,1.77156,1.77156,0,0,1,1,1.000002,0,-1.000002
"2",0,2,1.77156,1.7538444,0,0.177156,0.161087059510831,0.966522357064985,1.000002,0,-1.000002
"3",0,4,1.77156,1.77156,0,0,1,1,1.000002,0,-1.000002
"4",0,8,1.77156,1.77156,0,0,1,1,1.000002,0,-1.000002
"5",0,16,1.77156,1.77156,0,0,1,1,1.000002,0,-1.000002
"6",0,32,1.77156,1.77156,0,0,1,1,1.000002,1.099998,0.099996
"7",1,0,1.77156,1.77156,0,0,1,1,0,1.000002,1.000002
"8",1,3,1.77156,1.3377251,0,0.725202417330506,2.43963624428885e-11,1.46378174657331e-10,0,0,0
"9",1,5,1.77156,1.5140155,0,0.563517124370984,5.31918598526107e-08,3.19151159115664e-07,0,0,0
"10",1,9,1.77156,1.4843388,0,0.615405700013127,1.01923430550366e-07,6.11540583302198e-07,0,0,0
"11",1,17,1.77156,1.4931136,0,0.616061114614812,1.95541792306366e-07,1.17325075383819e-06,0,0,0
"12",1,33,1.77156,1.77156,0,0,1,1,0,0,0
"13",2,3,1.7538444,1.3377251,0.177156,0.725202417330506,1.51283314675078e-10,9.07699888050468e-10,0,0,0
"14",2,0,1.7538444,1.77156,0.177156,0,0.843752354978745,1,0,1.000002,1.000002
"15",2,6,1.7538444,1.43554,0.177156,0.648320164125813,2.08337482567311e-08,1.25002489540387e-07,0,0,0
"16",2,10,1.7538444,1.5381173,0.177156,0.577617217885415,2.37096195113256e-05,0.000142257717067954,0,0,0
"17",2,18,1.7538444,1.5988562,0.177156,0.490215402545131,0.000149797292976455,0.000898783757858731,0,0,0
"18",2,34,1.7538444,1.77156,0.177156,0,0.843752354978745,1,0,0,0
"19",3,2,1.3377251,1.7538444,0.725202417330506,0.177156,0.999999999852203,1,0,0,0
"20",3,1,1.3377251,1.77156,0.725202417330506,0,0.999999999976195,1,0,0,0
"21",3,7,1.3377251,1.3640552,0.725202417330506,0.7159313768572,0.690950094955863,1,0,0,0
"22",3,11,1.3377251,1.3292888,0.725202417330506,0.709023506443513,0.328522884583324,1,0,0,0
"23",3,19,1.3377251,1.4128447,0.725202417330506,0.661168812753971,0.771160668351598,1,0,0,0
"24",3,35,1.3377251,1.4832575,0.725202417330506,0.618947030638415,0.972682674570187,1,0,0,0
"25",4,5,1.77156,1.5140155,0,0.563517124370984,5.31918598526107e-08,3.19151159115664e-07,0,0,0
"26",4,6,1.77156,1.43554,0,0.648320164125813,3.5668121146811e-09,2.14008726880866e-08,0,0,0
"27",4,0,1.77156,1.77156,0,0,1,1,0,1.000002,1.000002
"28",4,12,1.77156,1.6349638,0,0.430916553110936,5.56879390589938e-05,0.000334127634353963,0,0,0
"29",4,20,1.77156,1.7148728,0,0.259742708549453,0.00111493286234928,0.00668959717409566,0,0,0
"30",4,36,1.77156,1.77156,0,0,1,1,0,0,0
"31",5,4,1.5140155,1.77156,0.563517124370984,0,0.999999948036971,1,0,0,0
"32",5,7,1.5140155,1.3640552,0.563517124370984,0.7159313768572,0.101300826158461,0.607804956950768,0,0,0
"33",5,1,1.5140155,1.77156,0.563517124370984,0,0.999999948036971,1,0,0,0
"34",5,13,1.5140155,1.4466656,0.563517124370984,0.646349841610673,0.294315713315175,1,0,0,0
"35",5,21,1.5140155,1.4849306,0.563517124370984,0.613704488505468,0.526503723900945,1,0,0,0
"36",5,37,1.5140155,1.5516583,0.563517124370984,0.55719487785984,0.863187650292842,1,0,0,0
"37",6,7,1.43554,1.3640552,0.648320164125813,0.7159313768572,0.291237947391697,1,0,0,0
"38",6,4,1.43554,1.77156,0.648320164125813,0,0.999999996516977,1,0,0,0
"39",6,2,1.43554,1.7538444,0.648320164125813,0.177156,0.999999979625107,1,0,0,0
"40",6,14,1.43554,1.5429548,0.648320164125813,0.557265870848997,0.912173823910099,1,0,0,0
"41",6,22,1.43554,1.5200453,0.648320164125813,0.599473828377862,0.951710804049631,1,0,0,0
"42",6,38,1.43554,1.654213,0.648320164125813,0.398426049056367,0.998760980654889,1,0,0,0
