"X","genotype_a","genotype_b","avg_fitness_a","avg_fitness_b","fitness_sd_a","fitness_sd_b","raw_p","adj_p","starting_fitness_a","starting_fitness_b","fitness_diff","mut_prob","pop_size","condition_num","pop_size_str","pop_size_factor","genotype_a_x","genotype_b_x","starting_fitness_a_norm","starting_fitness_b_norm","avg_fitness_a_norm","avg_fitness_b_norm","sd_fitness_a_norm","sd_fitness_b_norm","is_signif","signif_marker","signif_text","text_x","x_min","x_max","y","text_y"
6,0,32,1.77156,1.77156,0,0,1,1,1.000002,1.099998,0.099996,0.001,1000,3,"1000 (base)","1000 (base)",0,1,1.000002,1.099998,1.77156,1.77156,0,0,FALSE,"","p=1",0.5,0.9,0.1,0.85,0.81
197,32,48,1.77156,1.77156,0,0,1,1,1.099998,1.210002,0.110004,0.001,1000,3,"1000 (base)","1000 (base)",1,2,1.099998,1.210002,1.77156,1.77156,0,0,FALSE,"","p=1",1.5,1.9,1.1,0.85,0.81
198,32,0,1.77156,1.77156,0,0,1,1,1.099998,1.000002,-0.099996,0.001,1000,3,"1000 (base)","1000 (base)",1,0,1.099998,1.000002,1.77156,1.77156,0,0,FALSE,"","p=1",0.5,0.1,0.9,0.85,0.81
292,48,56,1.77156,1.77156,0,0,1,1,1.210002,1.330998,0.120996,0.001,1000,3,"1000 (base)","1000 (base)",2,3,1.210002,1.330998,1.77156,1.77156,0,0,FALSE,"","p=1",2.5,2.9,2.1,0.85,0.81
293,48,32,1.77156,1.77156,0,0,1,1,1.210002,1.099998,-0.110004,0.001,1000,3,"1000 (base)","1000 (base)",2,1,1.210002,1.099998,1.77156,1.77156,0,0,FALSE,"","p=1",1.5,1.1,1.9,0.85,0.81
339,56,60,1.77156,1.77156,0,0,1,1,1.330998,1.464102,0.133104,0.001,1000,3,"1000 (base)","1000 (base)",3,4,1.330998,1.464102,1.77156,1.77156,0,0,FALSE,"","p=1",3.5,3.9,3.1,0.85,0.81
340,56,48,1.77156,1.77156,0,0,1,1,1.330998,1.210002,-0.120996,0.001,1000,3,"1000 (base)","1000 (base)",3,2,1.330998,1.210002,1.77156,1.77156,0,0,FALSE,"","p=1",2.5,2.1,2.9,0.85,0.81
362,60,62,1.77156,1.77156,0,0,1,1,1.464102,1.610508,0.146406,0.001,1000,3,"1000 (base)","1000 (base)",4,5,1.464102,1.610508,1.77156,1.77156,0,0,FALSE,"","p=1",4.5,4.9,4.1,0.85,0.81
363,60,56,1.77156,1.77156,0,0,1,1,1.464102,1.330998,-0.133104,0.001,1000,3,"1000 (base)","1000 (base)",4,3,1.464102,1.330998,1.77156,1.77156,0,0,FALSE,"","p=1",3.5,3.1,3.9,0.85,0.81
373,62,63,1.77156,1.77156,0,0,1,1,1.610508,1.77156,0.161052,0.001,1000,3,"1000 (base)","1000 (base)",5,6,1.610508,1.77156,1.77156,1.77156,0,0,FALSE,"","p=1",5.5,5.9,5.1,0.85,0.81
374,62,60,1.77156,1.77156,0,0,1,1,1.610508,1.464102,-0.146406,0.001,1000,3,"1000 (base)","1000 (base)",5,4,1.610508,1.464102,1.77156,1.77156,0,0,FALSE,"","p=1",4.5,4.1,4.9,0.85,0.81
379,63,62,1.77156,1.77156,0,0,1,1,1.77156,1.610508,-0.161052,0.001,1000,3,"1000 (base)","1000 (base)",6,5,1.77156,1.610508,1.77156,1.77156,0,0,FALSE,"","p=1",5.5,5.1,5.9,0.85,0.81
6,0,32,1.211154,1.348533,0.175091921584179,0.20339094598851,0.999999746052195,1,1.000002,1.099998,0.099996,0.001,10,1,"10","10",0,1,1.000002,1.099998,1.211154,1.348533,0.175091921584179,0.20339094598851,FALSE,"","p=1",0.5,0.9,0.1,0.95,0.91
197,32,48,1.348533,1.4009168,0.20339094598851,0.182298269981208,0.976541643790579,1,1.099998,1.210002,0.110004,0.001,10,1,"10","10",1,2,1.099998,1.210002,1.348533,1.4009168,0.20339094598851,0.182298269981208,FALSE,"","p=1",1.5,1.9,1.1,0.95,0.91
198,32,0,1.348533,1.211154,0.20339094598851,0.175091921584179,2.57260495538986e-07,1.54356297323392e-06,1.099998,1.000002,-0.099996,0.001,10,1,"10","10",1,0,1.099998,1.000002,1.348533,1.211154,0.20339094598851,0.175091921584179,TRUE,"***","p < 0.001",0.5,0.1,0.9,0.95,0.91
292,48,56,1.4009168,1.5169451,0.182298269981208,0.176865376804255,0.99999646220158,1,1.210002,1.330998,0.120996,0.001,10,1,"10","10",2,3,1.210002,1.330998,1.4009168,1.5169451,0.182298269981208,0.176865376804255,FALSE,"","p=1",2.5,2.9,2.1,0.95,0.91
293,48,32,1.4009168,1.348533,0.182298269981208,0.20339094598851,0.0235969141811843,0.141581485087106,1.210002,1.099998,-0.110004,0.001,10,1,"10","10",2,1,1.210002,1.099998,1.4009168,1.348533,0.182298269981208,0.20339094598851,FALSE,"","p=0.142",1.5,1.1,1.9,0.95,0.91
339,56,60,1.5169451,1.6493093,0.176865376804255,0.156234419397761,0.999999920665829,1,1.330998,1.464102,0.133104,0.001,10,1,"10","10",3,4,1.330998,1.464102,1.5169451,1.6493093,0.176865376804255,0.156234419397761,FALSE,"","p=1",3.5,3.9,3.1,0.95,0.91
340,56,48,1.5169451,1.4009168,0.176865376804255,0.182298269981208,3.57977959725845e-06,2.14786775835507e-05,1.330998,1.210002,-0.120996,0.001,10,1,"10","10",3,2,1.330998,1.210002,1.5169451,1.4009168,0.176865376804255,0.182298269981208,TRUE,"***","p < 0.001",2.5,2.1,2.9,0.95,0.91
