"","genotype_a","genotype_b","avg_fitness_a","avg_fitness_b","fitness_sd_a","fitness_sd_b","raw_p","adj_p","starting_fitness_a","starting_fitness_b","fitness_diff"
"1",0,1,1.573308,1.331,0.22028,0,1.86885578502812e-18,1.12131347101687e-17,1.000002,1.099998,0.099996
"2",0,2,1.573308,1.3838672,0.22028,0.143886293477408,6.6206992631127e-11,3.97241955786762e-10,1.000002,0,-1.000002
"3",0,4,1.573308,1.617364,0.22028,0.211192342185932,0.925236255259636,1,1.000002,0,-1.000002
"4",0,8,1.573308,1.6305808,0.22028,0.206546058451813,0.970342054668389,1,1.000002,0,-1.000002
"5",0,16,1.573308,1.7407208,0.22028,0.112973858133534,0.999999999508419,1,1.000002,0,-1.000002
"6",0,32,1.573308,1.77156,0.22028,0,0.999999999999985,1,1.000002,1.099998,0.099996
"7",1,0,1.331,1.573308,0,0.22028,1,1,1.099998,1.000002,-0.099996
"8",1,3,1.331,1.331,0,0,1,1,1.099998,1.210002,0.110004
"9",1,5,1.331,1.331,0,0,1,1,1.099998,0,-1.099998
"10",1,9,1.331,1.331,0,0,1,1,1.099998,0,-1.099998
"11",1,17,1.331,1.331,0,0,1,1,1.099998,0,-1.099998
"12",1,33,1.331,1.573308,0,0.22028,1,1,1.099998,0,-1.099998
"13",2,3,1.3838672,1.331,0.143886293477408,0,0.000184698312697355,0.00110818987618413,0,1.210002,1.210002
"14",2,0,1.3838672,1.573308,0.143886293477408,0.22028,0.999999999935081,1,0,1.000002,1.000002
"15",2,6,1.3838672,1.331,0.143886293477408,0,0.000184698312697355,0.00110818987618413,0,0,0
"16",2,10,1.3838672,1.4938208,0.143886293477408,0.30547304917634,0.999997461250708,1,0,0,0
"17",2,18,1.3838672,1.5423756,0.143886293477408,0.269723864894406,0.999999995764146,1,0,0,0
"18",2,34,1.3838672,1.7671544,0.143886293477408,0.044056,1,1,0,0,0
"19",3,2,1.331,1.3838672,0,0.143886293477408,0.999819436659065,1,1.210002,0,-1.210002
"20",3,1,1.331,1.331,0,0,1,1,1.210002,1.099998,-0.110004
"21",3,7,1.331,1.331,0,0,1,1,1.210002,1.330998,0.120996
"22",3,11,1.331,1.3354056,0,0.044056,0.843752354978745,1,1.210002,0,-1.210002
"23",3,19,1.331,1.331,0,0,1,1,1.210002,0,-1.210002
"24",3,35,1.331,1.3354056,0,0.044056,0.843752354978745,1,1.210002,0,-1.210002
"25",4,5,1.617364,1.331,0.211192342185932,0,6.40203175507115e-23,3.84121905304269e-22,0,0,0
"26",4,6,1.617364,1.331,0.211192342185932,0,6.40203175507115e-23,3.84121905304269e-22,0,0,0
"27",4,0,1.617364,1.573308,0.211192342185932,0.22028,0.0751712216551767,0.45102732993106,0,1.000002,1.000002
"28",4,12,1.617364,1.6305808,0.211192342185932,0.206546058451813,0.673576540194518,1,0,0,0
"29",4,20,1.617364,1.6746368,0.211192342185932,0.18341975454496,0.978964517170695,1,0,0,0
"30",4,36,1.617364,1.7671544,0.211192342185932,0.044056,1,1,0,0,0
"31",5,4,1.331,1.617364,0,0.211192342185932,1,1,0,0,0
"32",5,7,1.331,1.331,0,0,1,1,0,1.330998,1.330998
"33",5,1,1.331,1.331,0,0,1,1,0,1.099998,1.099998
"34",5,13,1.331,1.4323288,0,0.186335990707348,0.999999818460397,1,0,0,0
"35",5,21,1.331,1.4630748,0,0.254896660964138,0.99999999905871,1,0,0,0
"36",5,37,1.331,1.573308,0,0.22028,1,1,0,0,0
"37",6,7,1.331,1.331,0,0,1,1,0,1.330998,1.330998
"38",6,4,1.331,1.617364,0,0.211192342185932,1,1,0,0,0
"39",6,2,1.331,1.3838672,0,0.143886293477408,0.999819436659065,1,0,0,0
"40",6,14,1.331,1.5380632,0,0.220990869133007,0.999999999999997,1,0,0,0
"41",6,22,1.331,1.5689024,0,0.220680145652233,1,1,0,0,0
"42",6,38,1.331,1.639392,0,0.202907039112033,1,1,0,0,0
"43",7,6,1.331,1.331,0,0,1,1,1.330998,0,-1.330998
"44",7,5,1.331,1.331,0,0,1,1,1.330998,0,-1.330998
"45",7,3,1.331,1.331,0,0,1,1,1.330998,1.210002,-0.120996
"46",7,15,1.331,1.331,0,0,1,1,1.330998,0,-1.330998
"47",7,23,1.331,1.3354056,0,0.044056,0.843752354978745,1,1.330998,0,-1.330998
"48",7,39,1.331,1.331,0,0,1,1,1.330998,0,-1.330998
"49",8,9,1.6305808,1.331,0.206546058451813,0,2.17322911121046e-24,1.30393746672627e-23,0,0,0
"50",8,10,1.6305808,1.4938208,0.206546058451813,0.30547304917634,0.000145344788683262,0.000872068732099574,0,0,0
"51",8,12,1.6305808,1.6305808,0.206546058451813,0.206546058451813,0.500603221757117,1,0,0,0
"52",8,0,1.6305808,1.573308,0.206546058451813,0.22028,0.029853870921048,0.179123225526288,0,1.000002,1.000002
"53",8,24,1.6305808,1.77156,0.206546058451813,0,0.999999999633065,1,0,0,0
"54",8,40,1.6305808,1.77156,0.206546058451813,0,0.999999999633065,1,0,0,0
"55",9,8,1.331,1.6305808,0,0.206546058451813,1,1,0,0,0
"56",9,11,1.331,1.3354056,0,0.044056,0.843752354978745,1,0,0,0
"57",9,13,1.331,1.4323288,0,0.186335990707348,0.999999818460397,1,0,0,0
"58",9,1,1.331,1.331,0,0,1,1,0,1.099998,1.099998
"59",9,25,1.331,1.5160352,0,0.218537569229197,0.999999999999827,1,0,0,0
"60",9,41,1.331,1.66142,0,0.191729130269606,1,1,0,0,0
"61",10,11,1.4938208,1.3354056,0.30547304917634,0.044056,1.06865834207852e-11,6.41195005247111e-11,0,0,0
"62",10,8,1.4938208,1.6305808,0.30547304917634,0.206546058451813,0.999856236702504,1,0,0,0
"63",10,14,1.4938208,1.5380632,0.30547304917634,0.220990869133007,0.762553384474302,1,0,0,0
"64",10,2,1.4938208,1.3838672,0.30547304917634,0.143886293477408,2.57673825243514e-06,1.54604295146108e-05,0,0,0
"65",10,26,1.4938208,1.683448,0.30547304917634,0.177111783956239,0.999999967821371,1,0,0,0
"66",10,42,1.4938208,1.727504,0.30547304917634,0.13283383796718,0.999999999999024,1,0,0,0
"67",11,10,1.3354056,1.4938208,0.044056,0.30547304917634,0.999999999989555,1,0,0,0
"68",11,9,1.3354056,1.331,0.044056,0,0.161087059510831,0.966522357064985,0,0,0
"69",11,15,1.3354056,1.331,0.044056,0,0.161087059510831,0.966522357064985,0,0,0
"70",11,3,1.3354056,1.331,0.044056,0,0.161087059510831,0.966522357064985,0,1.210002,1.210002
"71",11,27,1.3354056,1.5732148,0.044056,0.268970364761922,1,1,0,0,0
