"","landscape_seed","starting_index","fitness_avg","fitness_var","fitness_min","fitness_max","count","starting_fitness","frac_1","frac_2","frac_3","frac_4","frac_5","frac_6","frac_7","frac_8"
"1",NA,0,1.2367364,0.0182228019384242,1,1.61051,100,1.000002,0.31,0.3,0.27,0.06,0.02,0.04,0,0
"2",NA,1,1.2623766,0.0108345214226667,1.1,1.77156,100,1.099998,0.29,0.17,0.52,0.01,0,0,0.01,0
"3",NA,2,1.2783817,0.039141301668798,0,1.77156,100,0,0.3,0.12,0.44,0.04,0.02,0.03,0.04,0.01
"4",NA,3,1.29162,0.00452999555555555,1.1,1.331,100,1.210002,0.23,0.05,0.72,0,0,0,0,0
"5",NA,4,1.2588305,0.0485131249037879,0,1.77156,100,0,0.28,0.29,0.24,0.07,0.01,0.05,0.05,0.01
"6",NA,5,1.2782627,0.0277426049754646,0,1.77156,100,0,0.17,0.11,0.66,0.02,0.01,0.01,0.01,0.01
"7",NA,6,1.2931346,0.052166671746303,0,1.77156,100,0,0.17,0,0.68,0.02,0.05,0.02,0.04,0.02
"8",NA,7,1.31538,0.00191932888888889,1.1,1.331,100,1.330998,0.11,0.01,0.88,0,0,0,0,0
"9",NA,8,1.2686657,0.0766294749904141,0,1.77156,100,0,0.29,0.25,0.19,0.05,0.03,0.09,0.08,0.02
"10",NA,9,1.2522183,0.076039298109202,0,1.77156,100,0,0.21,0.19,0.42,0.05,0.02,0.03,0.05,0.03
"11",NA,10,1.272085,0.159423168631313,0,1.77156,100,0,0.19,0.11,0.35,0.08,0,0.1,0.1,0.07
"12",NA,11,1.3127097,0.0363605214574848,0,1.77156,100,0,0.19,0.04,0.67,0.01,0.01,0.01,0.06,0.01
"13",NA,12,1.2725607,0.222445432133848,0,1.77156,100,0,0.12,0.18,0.17,0.08,0.04,0.13,0.19,0.09
"14",NA,13,1.270935,0.16763666470202,0,1.77156,100,0,0.17,0.15,0.36,0.05,0,0.04,0.16,0.07
"15",NA,14,1.3654068,0.165812580759354,0,1.77156,100,0,0.07,0.04,0.41,0.07,0.02,0.1,0.23,0.06
"16",NA,15,1.3705661,0.0706618390321111,0,1.77156,100,0,0.1,0.01,0.63,0.02,0.01,0.07,0.14,0.02
"17",NA,16,1.2946862,0.0546300886076364,0,1.77156,100,0,0.25,0.19,0.29,0.11,0.03,0.04,0.08,0.01
"18",NA,17,1.2852987,0.0619122082477879,0,1.77156,100,0,0.3,0.12,0.38,0.05,0.01,0.07,0.05,0.02
"19",NA,18,1.2342618,0.147927174594707,0,1.77156,100,0,0.19,0.14,0.31,0.13,0.03,0.08,0.05,0.07
"20",NA,19,1.2586246,0.0801985107584242,0,1.77156,100,0,0.28,0.04,0.55,0.03,0,0.04,0.02,0.04
"21",NA,20,1.3819018,0.0611362137219798,1,1.77156,100,0,0.13,0.17,0.28,0.09,0.05,0.08,0.2,0
"22",NA,21,1.2131504,0.222182070993778,0,1.77156,100,0,0.17,0.14,0.31,0.08,0,0.08,0.11,0.11
"23",NA,22,1.3093902,0.220561305197939,0,1.77156,100,0,0.09,0.06,0.35,0.06,0.03,0.1,0.22,0.09
"24",NA,23,1.3623687,0.0255017856134444,1.1,1.77156,100,0,0.11,0.04,0.71,0.02,0,0.01,0.11,0
"25",NA,24,1.4320428,0.103809588895111,0,1.77156,100,0,0.08,0.04,0.29,0.23,0,0.1,0.23,0.03
"26",NA,25,1.2607517,0.204691378579909,0,1.77156,100,0,0.14,0.14,0.26,0.08,0.02,0.15,0.12,0.09
"27",NA,26,1.313936,0.267371890862626,0,1.77156,100,0,0.12,0.08,0.19,0.09,0.01,0.14,0.26,0.11
"28",NA,27,1.4136773,0.205307053442131,0,1.77156,100,0,0.08,0.03,0.28,0.04,0.02,0.11,0.37,0.07
"29",NA,28,1.557649,0.0872389629585859,0,1.77156,100,0,0.03,0.05,0.07,0.18,0,0.26,0.39,0.02
"30",NA,29,1.3855387,0.312028127908394,0,1.77156,100,0,0.07,0.03,0.12,0.07,0.02,0.15,0.42,0.12
"31",NA,30,1.6179605,0.0843583674896465,0,1.77156,100,0,0.04,0.01,0.09,0.04,0,0.23,0.57,0.02
"32",NA,31,1.6857519,0.0480182279044343,0,1.77156,100,0,0.01,0,0.08,0.01,0,0.15,0.74,0.01
"33",NA,32,1.3236658,0.0361644600690505,1,1.77156,100,1.099998,0.24,0.19,0.27,0.16,0.01,0.06,0.07,0
"34",NA,33,1.2549569,0.0331729392741313,0,1.77156,100,0,0.33,0.16,0.38,0.06,0.02,0.03,0.01,0.01
"35",NA,34,1.318081,0.0310305389484848,1,1.77156,100,0,0.31,0.14,0.27,0.17,0.01,0.04,0.06,0
"36",NA,35,1.2820461,0.0690698667230202,0,1.77156,100,0,0.16,0.08,0.64,0.03,0,0.01,0.05,0.03
"37",NA,36,1.3693701,0.0678409548252424,0,1.77156,100,0,0.25,0.11,0.24,0.06,0.02,0.19,0.12,0.01
"38",NA,37,1.3176878,0.0944790205749091,0,1.77156,100,0,0.19,0.13,0.36,0.1,0.01,0.06,0.12,0.03
"39",NA,38,1.4038231,0.0976045558054445,0,1.77156,100,0,0.15,0.09,0.27,0.08,0.03,0.13,0.23,0.02
"40",NA,39,1.3832484,0.0539204536479192,0,1.77156,100,0,0.08,0.04,0.65,0.03,0,0.02,0.17,0.01
"41",NA,40,1.3980811,0.0435347018523131,1,1.77156,100,0,0.2,0.1,0.19,0.23,0.02,0.15,0.11,0
"42",NA,41,1.3518828,0.122743132173899,0,1.77156,100,0,0.18,0.09,0.28,0.12,0.01,0.12,0.16,0.04
"43",NA,42,1.4330587,0.14863310446597,0,1.77156,100,0,0.06,0.12,0.15,0.13,0.03,0.15,0.32,0.04
"44",NA,43,1.3572153,0.155599515948394,0,1.77156,100,0,0.17,0.07,0.31,0.04,0.03,0.07,0.26,0.05
"45",NA,44,1.5889157,0.0394662512429394,1.1,1.77156,100,0,0.08,0.02,0.1,0.13,0,0.25,0.42,0
"46",NA,45,1.4494161,0.215105908678576,0,1.77156,100,0,0.09,0.06,0.13,0.08,0.01,0.11,0.45,0.07
"47",NA,46,1.6488929,0.0554074050995859,0,1.77156,100,0,0.04,0.01,0.06,0.04,0,0.23,0.61,0.01
"48",NA,47,1.6402462,0.0422065237753131,1.1,1.77156,100,0,0.08,0.01,0.13,0.01,0,0.12,0.65,0
"49",NA,48,1.43205,0.0433190086464647,1.1,1.77156,100,1.210002,0.2,0.05,0.27,0.18,0,0.12,0.18,0
"50",NA,49,1.38742,0.0363539083535354,1.1,1.77156,100,0,0.21,0.09,0.27,0.23,0,0.1,0.1,0
"51",NA,50,1.4272075,0.0406861047462121,1.1,1.77156,100,0,0.17,0.06,0.3,0.17,0,0.15,0.15,0
"52",NA,51,1.3932192,0.110683941064,0,1.77156,100,0,0.23,0.05,0.21,0.15,0.01,0.1,0.22,0.03
"53",NA,52,1.5367888,0.0621465140429899,0,1.77156,100,0,0.05,0.04,0.14,0.18,0,0.28,0.3,0.01
"54",NA,53,1.4109238,0.164449097466222,0,1.77156,100,0,0.1,0.11,0.23,0.08,0,0.1,0.33,0.05
"55",NA,54,1.5945332,0.0868564349391515,0,1.77156,100,0,0.04,0,0.11,0.1,0.01,0.2,0.52,0.02
"56",NA,55,1.6796025,0.0284131484128788,1.1,1.77156,100,0,0.02,0.02,0.07,0.04,0,0.15,0.7,0
"57",NA,56,1.5494531,0.0333780347488788,1.21,1.77156,100,1.330998,0.08,0,0.13,0.28,0,0.21,0.3,0
"58",NA,57,1.4541268,0.13568770782804,0,1.77156,100,0,0.08,0.06,0.15,0.18,0.01,0.2,0.28,0.04
"59",NA,58,1.5907067,0.0764858318001111,0,1.77156,100,0,0.02,0,0.06,0.23,0,0.23,0.44,0.02
"60",NA,59,1.6739809,0.0550903975193838,0,1.77156,100,0,0.03,0.01,0.06,0.05,0,0.09,0.75,0.01
"61",NA,60,1.6358566,0.0256013784772121,1.21,1.77156,100,1.464102,0.04,0,0.05,0.15,0,0.28,0.48,0
"62",NA,61,1.6533414,0.0345286470000404,1,1.77156,100,0,0.03,0.01,0.09,0.07,0.01,0.16,0.63,0
"63",NA,62,1.7238306,0.0072821545349899,1.4641,1.77156,100,1.610508,0,0,0,0.04,0,0.22,0.74,0
"64",NA,63,1.7530604,0.00493558518771717,1.21,1.77156,100,1.77156,0.01,0,0,0,0,0.08,0.91,0
