"","genotype_a","genotype_b","avg_fitness_a","avg_fitness_b","fitness_sd_a","fitness_sd_b","raw_p","adj_p","starting_fitness_a","starting_fitness_b","fitness_diff"
"1",0,1,1.5336576,1.331,0.220680145652233,0,6.38227665923597e-15,3.82936599554158e-14,1.000002,1.099998,0.099996
"2",0,2,1.5336576,1.463168,0.220680145652233,0.202907039112033,0.0100740459302588,0.0604442755815528,1.000002,0,-1.000002
"3",0,4,1.5336576,1.5702334,0.220680145652233,0.219629664811225,0.885541208713451,1,1.000002,0,-1.000002
"4",0,8,1.5336576,1.5380632,0.220680145652233,0.220990869133007,0.556787143571748,1,1.000002,0,-1.000002
"5",0,16,1.5336576,1.670138,0.220680145652233,0.241994068372084,0.999999476574455,1,1.000002,0,-1.000002
"6",0,32,1.5336576,1.77156,0.220680145652233,0,1,1,1.000002,1.099998,0.099996
"7",1,0,1.331,1.5336576,0,0.220680145652233,0.999999999999994,1,1.099998,1.000002,-0.099996
"8",1,3,1.331,1.331,0,0,1,1,1.099998,1.210002,0.110004
"9",1,5,1.331,1.3354056,0,0.044056,0.843752354978745,1,1.099998,0,-1.099998
"10",1,9,1.331,1.3442168,0,0.0755325176194955,0.959648663953616,1,1.099998,0,-1.099998
"11",1,17,1.331,1.3354056,0,0.044056,0.843752354978745,1,1.099998,0,-1.099998
"12",1,33,1.331,1.5777136,0,0.219789943775617,1,1,1.099998,0,-1.099998
"13",2,3,1.463168,1.331,0.202907039112033,0,1.57064362579997e-09,9.42386175479979e-09,0,1.210002,1.210002
"14",2,0,1.463168,1.5336576,0.202907039112033,0.220680145652233,0.990003650497492,1,0,1.000002,1.000002
"15",2,6,1.463168,1.3398112,0.202907039112033,0.0619891243846838,3.61871342762676e-08,2.17122805657605e-07,0,0,0
"16",2,10,1.463168,1.52466,0.202907039112033,0.309730383241668,0.996091271064313,1,0,0,0
"17",2,18,1.463168,1.5451707,0.202907039112033,0.268958461736955,0.998637841644726,1,0,0,0
"18",2,34,1.463168,1.7627488,0.202907039112033,0.0619891243846838,1,1,0,0,0
"19",3,2,1.331,1.463168,0,0.202907039112033,0.999999998466672,1,1.210002,0,-1.210002
"20",3,1,1.331,1.331,0,0,1,1,1.210002,1.099998,-0.110004
"21",3,7,1.331,1.331,0,0,1,1,1.210002,1.330998,0.120996
"22",3,11,1.331,1.331,0,0,1,1,1.210002,0,-1.210002
"23",3,19,1.331,1.3398112,0,0.0619891243846838,0.922902494644706,1,1.210002,0,-1.210002
"24",3,35,1.331,1.31769,0,0.1331,0.161087059510831,0.966522357064985,1.210002,0,-1.210002
"25",4,5,1.5702334,1.3354056,0.219629664811225,0.044056,1.20932932576885e-17,7.25597595461308e-17,0,0,0
"26",4,6,1.5702334,1.3398112,0.219629664811225,0.0619891243846838,6.78321513622723e-17,4.06992908173634e-16,0,0,0
"27",4,0,1.5702334,1.5336576,0.219629664811225,0.220680145652233,0.115004162914418,0.690024977486509,0,1.000002,1.000002
"28",4,12,1.5702334,1.5631004,0.219629664811225,0.311759379086377,0.676894172465554,1,0,0,0
"29",4,20,1.5702334,1.611562,0.219629664811225,0.30604643088026,0.980992561019852,1,0,0,0
"30",4,36,1.5702334,1.77156,0.219629664811225,0,0.999999999999993,1,0,0,0
"31",5,4,1.3354056,1.5702334,0.044056,0.219629664811225,1,1,0,0,0
"32",5,7,1.3354056,1.331,0.044056,0,0.161087059510831,0.966522357064985,0,1.330998,1.330998
"33",5,1,1.3354056,1.331,0.044056,0,0.161087059510831,0.966522357064985,0,1.099998,1.099998
"34",5,13,1.3354056,1.4673872,0.044056,0.299231682321929,0.99999999897339,1,0,0,0
"35",5,21,1.3354056,1.4279423,0.044056,0.392234676331503,0.999999912372555,1,0,0,0
"36",5,37,1.3354056,1.5124414,0.044056,0.376630990855463,0.999999999999977,1,0,0,0
"37",6,7,1.3398112,1.331,0.0619891243846838,0,0.0791678125549835,0.475006875329901,0,1.330998,1.330998
"38",6,4,1.3398112,1.5702334,0.0619891243846838,0.219629664811225,1,1,0,0,0
"39",6,2,1.3398112,1.463168,0.0619891243846838,0.202907039112033,0.999999964579081,1,0,0,0
"40",6,14,1.3398112,1.5510004,0.0619891243846838,0.347082488119805,1,1,0,0,0
"41",6,22,1.3398112,1.5304836,0.0619891243846838,0.345886225538416,0.999999999999985,1,0,0,0
"42",6,38,1.3398112,1.5932996,0.0619891243846838,0.213098896270623,1,1,0,0,0
"43",7,6,1.331,1.3398112,0,0.0619891243846838,0.922902494644706,1,1.330998,0,-1.330998
"44",7,5,1.331,1.3354056,0,0.044056,0.843752354978745,1,1.330998,0,-1.330998
"45",7,3,1.331,1.331,0,0,1,1,1.330998,1.210002,-0.120996
"46",7,15,1.331,1.3398112,0,0.0619891243846838,0.922902494644706,1,1.330998,0,-1.330998
"47",7,23,1.331,1.3486224,0,0.0867666996253677,0.978323141000339,1,1.330998,0,-1.330998
"48",7,39,1.331,1.3354056,0,0.044056,0.843752354978745,1,1.330998,0,-1.330998
"49",8,9,1.5380632,1.3442168,0.220990869133007,0.0755325176194955,3.8735860889387e-13,2.32415165336322e-12,0,0,0
"50",8,10,1.5380632,1.52466,0.220990869133007,0.309730383241668,0.60787451511303,1,0,0,0
"51",8,12,1.5380632,1.5631004,0.220990869133007,0.311759379086377,0.928291194166582,1,0,0,0
"52",8,0,1.5380632,1.5336576,0.220990869133007,0.220680145652233,0.444329952658715,1,0,1.000002,1.000002
"53",8,24,1.5380632,1.7583432,0.220990869133007,0.0755325176194955,0.999999999999998,1,0,0,0
"54",8,40,1.5380632,1.77156,0.220990869133007,0,1,1,0,0,0
"55",9,8,1.3442168,1.5380632,0.0755325176194955,0.220990869133007,0.999999999999622,1,0,0,0
"56",9,11,1.3442168,1.331,0.0755325176194955,0,0.0413688080390578,0.248212848234347,0,0,0
"57",9,13,1.3442168,1.4673872,0.0755325176194955,0.299231682321929,0.999999985432286,1,0,0,0
"58",9,1,1.3442168,1.331,0.0755325176194955,0,0.0413688080390578,0.248212848234347,0,1.099998,1.099998
"59",9,25,1.3442168,1.5804155,0.0755325176194955,0.267430183062568,1,1,0,0,0
"60",9,41,1.3442168,1.6111615,0.0755325176194955,0.30425643872863,1,1,0,0,0
"61",10,11,1.52466,1.331,0.309730383241668,0,6.5971509032474e-15,3.95829054194844e-14,0,0,0
"62",10,8,1.52466,1.5380632,0.309730383241668,0.220990869133007,0.393204934500304,1,0,0,0
"63",10,14,1.52466,1.5510004,0.309730383241668,0.347082488119805,0.878679746503346,1,0,0,0
"64",10,2,1.52466,1.463168,0.309730383241668,0.202907039112033,0.00394202744648109,0.0236521646788866,0,0,0
"65",10,26,1.52466,1.552145,0.309730383241668,0.409496634727974,0.973050140560124,1,0,0,0
"66",10,42,1.52466,1.6697653,0.309730383241668,0.285657241754127,0.999999124412048,1,0,0,0
"67",11,10,1.331,1.52466,0,0.309730383241668,0.999999999999994,1,0,0,0
"68",11,9,1.331,1.3442168,0,0.0755325176194955,0.959648663953616,1,0,0,0
"69",11,15,1.331,1.3398112,0,0.0619891243846838,0.922902494644706,1,0,0,0
"70",11,3,1.331,1.331,0,0,1,1,0,1.210002,1.210002
"71",11,27,1.331,1.5428607,0,0.271793538198714,0.999999999999999,1,0,0,0
"72",11,43,1.331,1.5335644,0,0.269284310563757,0.999999999999997,1,0,0,0
"73",12,13,1.5631004,1.4673872,0.311759379086377,0.299231682321929,0.00175626059345345,0.0105375635607207,0,0,0
"74",12,14,1.5631004,1.5510004,0.311759379086377,0.347082488119805,0.498866662974446,1,0,0,0
"75",12,8,1.5631004,1.5380632,0.311759379086377,0.220990869133007,0.0720937270914245,0.432562362548547,0,0,0
"76",12,4,1.5631004,1.5702334,0.311759379086377,0.219629664811225,0.324120731666582,1,0,0,0
"77",12,28,1.5631004,1.77156,0.311759379086377,0,0.999999999999573,1,0,0,0
"78",12,44,1.5631004,1.7671544,0.311759379086377,0.044056,0.999999999997756,1,0,0,0
