"X","genotype_a","genotype_b","avg_fitness_a","avg_fitness_b","fitness_sd_a","fitness_sd_b","raw_p","adj_p","starting_fitness_a","starting_fitness_b","fitness_diff","mut_prob","pop_size","condition_num","pop_size_str","pop_size_factor","genotype_a_x","genotype_b_x","starting_fitness_a_norm","starting_fitness_b_norm","avg_fitness_a_norm","avg_fitness_b_norm","sd_fitness_a_norm","sd_fitness_b_norm","is_signif","signif_marker","signif_text","text_x","x_min","x_max","y","text_y"
1,0,1,1.573308,1.331,0.22028,0,1.86885578502812e-18,1.12131347101687e-17,1.000002,1.099998,0.099996,0.001,1000,3,"1000 (base)","1000 (base)",0,-1,1.000002,1.099998,1.573308,1.331,0.22028,0,TRUE,"***","p < 0.001",-0.5,-0.9,-0.1,0.85,0.81
6,0,32,1.573308,1.77156,0.22028,0,0.999999999999985,1,1.000002,1.099998,0.099996,0.001,1000,3,"1000 (base)","1000 (base)",0,1,1.000002,1.099998,1.573308,1.77156,0.22028,0,FALSE,"","p=1",0.5,0.9,0.1,0.85,0.81
7,1,0,1.331,1.573308,0,0.22028,1,1,1.099998,1.000002,-0.099996,0.001,1000,3,"1000 (base)","1000 (base)",-1,0,1.099998,1.000002,1.331,1.573308,0,0.22028,FALSE,"","p=1",-0.5,-0.1,-0.9,0.85,0.81
8,1,3,1.331,1.331,0,0,1,1,1.099998,1.210002,0.110004,0.001,1000,3,"1000 (base)","1000 (base)",-1,-2,1.099998,1.210002,1.331,1.331,0,0,FALSE,"","p=1",-1.5,-1.9,-1.1,0.85,0.81
20,3,1,1.331,1.331,0,0,1,1,1.210002,1.099998,-0.110004,0.001,1000,3,"1000 (base)","1000 (base)",-2,-1,1.210002,1.099998,1.331,1.331,0,0,FALSE,"","p=1",-1.5,-1.1,-1.9,0.85,0.81
21,3,7,1.331,1.331,0,0,1,1,1.210002,1.330998,0.120996,0.001,1000,3,"1000 (base)","1000 (base)",-2,-3,1.210002,1.330998,1.331,1.331,0,0,FALSE,"","p=1",-2.5,-2.9,-2.1,0.85,0.81
45,7,3,1.331,1.331,0,0,1,1,1.330998,1.210002,-0.120996,0.001,1000,3,"1000 (base)","1000 (base)",-3,-2,1.330998,1.210002,1.331,1.331,0,0,FALSE,"","p=1",-2.5,-2.1,-2.9,0.85,0.81
197,32,48,1.77156,1.77156,0,0,1,1,1.099998,1.210002,0.110004,0.001,1000,3,"1000 (base)","1000 (base)",1,2,1.099998,1.210002,1.77156,1.77156,0,0,FALSE,"","p=1",1.5,1.9,1.1,0.85,0.81
198,32,0,1.77156,1.573308,0,0.22028,1.48932119153857e-14,8.93592714923145e-14,1.099998,1.000002,-0.099996,0.001,1000,3,"1000 (base)","1000 (base)",1,0,1.099998,1.000002,1.77156,1.573308,0,0.22028,TRUE,"***","p < 0.001",0.5,0.1,0.9,0.85,0.81
292,48,56,1.77156,1.77156,0,0,1,1,1.210002,1.330998,0.120996,0.001,1000,3,"1000 (base)","1000 (base)",2,3,1.210002,1.330998,1.77156,1.77156,0,0,FALSE,"","p=1",2.5,2.9,2.1,0.85,0.81
293,48,32,1.77156,1.77156,0,0,1,1,1.210002,1.099998,-0.110004,0.001,1000,3,"1000 (base)","1000 (base)",2,1,1.210002,1.099998,1.77156,1.77156,0,0,FALSE,"","p=1",1.5,1.1,1.9,0.85,0.81
339,56,60,1.77156,1.77156,0,0,1,1,1.330998,1.464102,0.133104,0.001,1000,3,"1000 (base)","1000 (base)",3,4,1.330998,1.464102,1.77156,1.77156,0,0,FALSE,"","p=1",3.5,3.9,3.1,0.85,0.81
340,56,48,1.77156,1.77156,0,0,1,1,1.330998,1.210002,-0.120996,0.001,1000,3,"1000 (base)","1000 (base)",3,2,1.330998,1.210002,1.77156,1.77156,0,0,FALSE,"","p=1",2.5,2.1,2.9,0.85,0.81
