"","landscape_seed","starting_index","fitness_avg","fitness_var","fitness_min","fitness_max","count","starting_fitness","frac_1","frac_2","frac_3","frac_4"
"1",NA,0,1.21846,0.0248338266666667,1,1.331,100,1.000002,0.66,0.34,0,0
"2",NA,1,1.331,0,1.331,1.331,100,1.000002,1,0,0,0
"3",NA,2,1.28135,0.0141101287878788,1,1.331,100,0,0.85,0.15,0,0
"4",NA,3,1.331,0,1.331,1.331,100,1.000002,1,0,0,0
"5",NA,4,1.2195556,0.0281489160046869,1,1.77156,100,0,0.64,0.35,0.01,0
"6",NA,5,1.331,0,1.331,1.331,100,0,1,0,0,0
"7",NA,6,1.331,0,1.331,1.331,100,0,1,0,0,0
"8",NA,7,1.331,0,1.331,1.331,100,1.330998,1,0,0,0
"9",NA,8,1.22177,0.0244686233333333,1,1.331,100,0,0.67,0.33,0,0
"10",NA,9,1.331,0,1.331,1.331,100,0,1,0,0,0
"11",NA,10,1.1923528,0.192574321919354,0,1.77156,100,0,0.55,0.23,0.13,0.09
"12",NA,11,1.331,0,1.331,1.331,100,0,1,0,0,0
"13",NA,12,1.3179472,0.252232259034505,0,1.77156,100,0,0.37,0.17,0.37,0.09
"14",NA,13,1.2549632,0.256453181856323,0,1.77156,100,0,0.62,0.04,0.22,0.12
"15",NA,14,1.3644504,0.198536635721051,0,1.77156,100,0,0.52,0.07,0.34,0.07
"16",NA,15,1.331,0,1.331,1.331,100,0,1,0,0,0
"17",NA,16,1.1665492,0.0517004467993535,1,1.77156,100,0,0.34,0.59,0.07,0
"18",NA,17,1.331,0,1.331,1.331,100,0,1,0,0,0
"19",NA,18,1.1395092,0.158574769158949,0,1.77156,100,0,0.5,0.35,0.07,0.08
"20",NA,19,1.331,0,1.331,1.331,100,0,1,0,0,0
"21",NA,20,1.3149172,0.199378369268848,0,1.77156,100,0,0.24,0.34,0.37,0.05
"22",NA,21,1.2818164,0.17334874250004,0,1.77156,100,0,0.62,0.12,0.19,0.07
"23",NA,22,1.2858492,0.270798213748848,0,1.77156,100,0,0.45,0.12,0.32,0.11
"24",NA,23,1.331,0,1.331,1.331,100,0,1,0,0,0
"25",NA,24,1.540092,0.126276782884849,1,1.77156,100,0,0,0.3,0.7,0
"26",NA,25,1.271304,0.328477932347475,0,1.77156,100,0,0.28,0.19,0.4,0.13
"27",NA,26,1.314078,0.395878776157576,0,1.77156,100,0,0.12,0.18,0.55,0.15
"28",NA,27,1.4616532,0.154227489617939,0,1.77156,100,0,0.42,0.07,0.47,0.04
"29",NA,28,1.77156,0,1.77156,1.77156,100,0,0,0,1,0
"30",NA,29,1.4545904,0.266827161668525,0,1.77156,100,0,0.27,0.05,0.59,0.09
"31",NA,30,1.7671544,0.001940931136,1.331,1.77156,100,0,0.01,0,0.99,0
"32",NA,31,1.77156,0,1.77156,1.77156,100,0,0,0,1,0
"33",NA,32,1.0717012,0.025646873323798,1,1.77156,100,1.000002,0.17,0.81,0.02,0
"34",NA,33,1.2063156,0.0294176985178182,1,1.77156,100,0,0.6,0.39,0.01,0
"35",NA,34,1.0617712,0.0236656116389495,1,1.77156,100,0,0.14,0.84,0.02,0
"36",NA,35,1.331,0,1.331,1.331,100,0,1,0,0,0
"37",NA,36,1.0628668,0.0273275055209697,1,1.77156,100,0,0.12,0.85,0.03,0
"38",NA,37,1.2003948,0.121127354364606,0,1.77156,100,0,0.57,0.3,0.08,0.05
"39",NA,38,1.3714204,0.128463959482667,0,1.77156,100,0,0.39,0.25,0.34,0.02
"40",NA,39,1.3398112,0.0038426515419798,1.331,1.77156,100,0,0.98,0,0.02,0
"41",NA,40,1.2855004,0.129861045478626,1,1.77156,100,0,0.07,0.59,0.34,0
"42",NA,41,1.20888,0.21915964040404,0,1.77156,100,0,0.29,0.38,0.25,0.08
"43",NA,42,1.3237752,0.200348454522182,0,1.77156,100,0,0.12,0.42,0.42,0.04
"44",NA,43,1.416292,0.199310036218182,0,1.77156,100,0,0.39,0.1,0.45,0.06
"45",NA,44,1.77156,0,1.77156,1.77156,100,0,0,0,1,0
"46",NA,45,1.4037048,0.317385290853495,0,1.77156,100,0,0.2,0.11,0.58,0.11
"47",NA,46,1.77156,0,1.77156,1.77156,100,0,0,0,1,0
"48",NA,47,1.77156,0,1.77156,1.77156,100,0,0,0,1,0
"49",NA,48,1.1532164,0.0927513870252929,1,1.77156,100,1.000002,0.02,0.79,0.19,0
"50",NA,49,1.125664,0.0775667819636364,1,1.77156,100,0,0.03,0.82,0.15,0
"51",NA,50,1.1455008,0.0890662699468283,1,1.77156,100,0,0.02,0.8,0.18,0
"52",NA,51,1.3403016,0.187631617306505,0,1.77156,100,0,0.34,0.25,0.36,0.05
"53",NA,52,1.4860828,0.140167229002182,1,1.77156,100,0,0,0.37,0.63,0
"54",NA,53,1.4227492,0.250643059647838,0,1.77156,100,0,0.16,0.2,0.57,0.07
"55",NA,54,1.7671544,0.001940931136,1.331,1.77156,100,0,0.01,0,0.99,0
"56",NA,55,1.77156,0,1.77156,1.77156,100,0,0,0,1,0
"57",NA,56,1.4706516,0.143053555468121,1,1.77156,100,1.000002,0,0.39,0.61,0
"58",NA,57,1.5169452,0.132951412837333,1,1.77156,100,0,0,0.33,0.67,0
"59",NA,58,1.6789728,0.0634991822506667,1,1.77156,100,0,0,0.12,0.88,0
"60",NA,59,1.77156,0,1.77156,1.77156,100,0,0,0,1,0
"61",NA,60,1.77156,0,1.77156,1.77156,100,1.000002,0,0,1,0
"62",NA,61,1.77156,0,1.77156,1.77156,100,0,0,0,1,0
"63",NA,62,1.77156,0,1.77156,1.77156,100,1.000002,0,0,1,0
"64",NA,63,1.77156,0,1.77156,1.77156,100,1.77156,0,0,1,0
