"","genotype_a","genotype_b","avg_fitness_a","avg_fitness_b","fitness_sd_a","fitness_sd_b","raw_p","adj_p","starting_fitness_a","starting_fitness_b","fitness_diff"
"1",0,1,1.4763848,1.4675736,0.208200533230185,0.204782508424441,0.381745907279706,1,1.000002,1.000002,0
"2",0,2,1.4763848,1.4940072,0.208200533230185,0.213775830810093,0.723407377562782,1,1.000002,0,-1.000002
"3",0,4,1.4763848,1.485196,0.208200533230185,0.211192342185932,0.61763770774494,1,1.000002,0,-1.000002
"4",0,8,1.4763848,1.4984128,0.208200533230185,0.214919147503888,0.769889364799892,1,1.000002,0,-1.000002
"5",0,16,1.4763848,1.5909304,0.208200533230185,0.21777368518587,0.999883821274135,1,1.000002,0,-1.000002
"6",0,32,1.4763848,1.55128,0.208200533230185,0.221389729945299,0.992554094674049,1,1.000002,1.000002,0
"7",1,0,1.4675736,1.4763848,0.204782508424441,0.208200533230185,0.619406612570124,1,1.000002,1.000002,0
"8",1,3,1.4675736,1.4896016,0.204782508424441,0.212534140747487,0.772977449286704,1,1.000002,1.000002,0
"9",1,5,1.4675736,1.4719792,0.204782508424441,0.206546058451813,0.560943537960708,1,1.000002,0,-1.000002
"10",1,9,1.4675736,1.4763848,0.204782508424441,0.208200533230185,0.619406612570124,1,1.000002,0,-1.000002
"11",1,17,1.4675736,1.4587624,0.204782508424441,0.200916516383791,0.379690005674211,1,1.000002,0,-1.000002
"12",1,33,1.4675736,1.5028184,0.204782508424441,0.215965653192887,0.881894178477401,1,1.000002,0,-1.000002
"13",2,3,1.4940072,1.4896016,0.213775830810093,0.212534140747487,0.442338240863666,1,0,1.000002,1.000002
"14",2,0,1.4940072,1.4763848,0.213775830810093,0.208200533230185,0.27758315356656,1,0,1.000002,1.000002
"15",2,6,1.4940072,1.4984128,0.213775830810093,0.214919147503888,0.558493455869627,1,0,0,0
"16",2,10,1.4940072,1.5028184,0.213775830810093,0.215965653192887,0.614888077535134,1,0,0,0
"17",2,18,1.4940072,1.5468744,0.213775830810093,0.22134544757063,0.956465946963587,1,0,0,0
"18",2,34,1.4940072,1.5644968,0.213775830810093,0.220990869133007,0.988392151138065,1,0,0,0
"19",3,2,1.4896016,1.4940072,0.212534140747487,0.213775830810093,0.55881824982056,1,1.000002,0,-1.000002
"20",3,1,1.4896016,1.4675736,0.212534140747487,0.204782508424441,0.227924475406179,1,1.000002,1.000002,0
"21",3,7,1.4896016,1.4807904,0.212534140747487,0.209748513898589,0.384272450485449,1,1.000002,1.330998,0.330996
"22",3,11,1.4896016,1.4323288,0.212534140747487,0.186335990707348,0.0222636146960391,0.133581688176234,1.000002,0,-1.000002
"23",3,19,1.4896016,1.4587624,0.212534140747487,0.200916516383791,0.146252851725564,0.877517110353383,1.000002,0,-1.000002
