"","landscape_seed","starting_index","fitness_avg","fitness_var","fitness_min","fitness_max","count","starting_fitness","frac_1","frac_2"
"1",NA,0,1.4763848,0.0433474620373333,1.331,1.77156,100,1.000002,0.67,0.33
"2",NA,1,1.4675736,0.0419358757566061,1.331,1.77156,100,1.000002,0.69,0.31
"3",NA,2,1.4940072,0.0457001058385455,1.331,1.77156,100,0,0.63,0.37
"4",NA,3,1.4896016,0.0451707609832727,1.331,1.77156,100,1.000002,0.64,0.36
"5",NA,4,1.485196,0.0446022053979798,1.331,1.77156,100,0,0.65,0.35
"6",NA,5,1.4719792,0.0426612742619798,1.331,1.77156,100,0,0.68,0.32
"7",NA,6,1.4984128,0.046190239963798,1.331,1.77156,100,0,0.62,0.38
"8",NA,7,1.4807904,0.0439944390826667,1.331,1.77156,100,1.330998,0.66,0.34
"9",NA,8,1.4984128,0.046190239963798,1.331,1.77156,100,0,0.62,0.38
"10",NA,9,1.4763848,0.0433474620373333,1.331,1.77156,100,0,0.67,0.33
"11",NA,10,1.5028184,0.0466411633590303,1.331,1.77156,100,0,0.61,0.39
"12",NA,11,1.4323288,0.0347211014328889,1.331,1.77156,100,0,0.77,0.23
"13",NA,12,1.6349864,0.0419358757566061,1.331,1.77156,100,0,0.31,0.69
"14",NA,13,1.4896016,0.0451707609832727,1.331,1.77156,100,0,0.64,0.36
"15",NA,14,1.5821192,0.0480527496397576,1.331,1.77156,100,0,0.43,0.57
"16",NA,15,1.55128,0.0490134125252525,1.331,1.77156,100,0,0.5,0.5
"17",NA,16,1.5909304,0.0474253779594344,1.331,1.77156,100,0,0.41,0.59
"18",NA,17,1.4587624,0.040367446555798,1.331,1.77156,100,0,0.71,0.29
"19",NA,18,1.5468744,0.0489938071602424,1.331,1.77156,100,0,0.51,0.49
"20",NA,19,1.4587624,0.040367446555798,1.331,1.77156,100,0,0.71,0.29
"21",NA,20,1.6746368,0.0336428063573333,1.331,1.77156,100,0,0.22,0.78
"22",NA,21,1.5424688,0.0489349910652121,1.331,1.77156,100,0,0.52,0.48
"23",NA,22,1.6482032,0.0395244158603636,1.331,1.77156,100,0,0.28,0.72
"24",NA,23,1.507224,0.0470528760242424,1.331,1.77156,100,0,0.6,0.4
"25",NA,24,1.77156,0,1.77156,1.77156,100,0,0,1
"26",NA,25,1.6349864,0.0419358757566061,1.331,1.77156,100,0,0.31,0.69
"27",NA,26,1.727504,0.0176448285090909,1.331,1.77156,100,0,0.1,0.9
"28",NA,27,1.6702312,0.0347211014328889,1.331,1.77156,100,0,0.23,0.77
"29",NA,28,1.77156,0,1.77156,1.77156,100,0,0,1
"30",NA,29,1.7451264,0.011057425865697,1.331,1.77156,100,0,0.06,0.94
"31",NA,30,1.77156,0,1.77156,1.77156,100,0,0,1
"32",NA,31,1.77156,0,1.77156,1.77156,100,0,0,1
"33",NA,32,1.55128,0.0490134125252525,1.331,1.77156,100,1.000002,0.5,0.5
"34",NA,33,1.5028184,0.0466411633590303,1.331,1.77156,100,0,0.61,0.39
"35",NA,34,1.5644968,0.0488369642401616,1.331,1.77156,100,0,0.47,0.53
"36",NA,35,1.529252,0.0485232784,1.331,1.77156,100,0,0.55,0.45
"37",NA,36,1.639392,0.0411712665212121,1.331,1.77156,100,0,0.3,0.7
"38",NA,37,1.4984128,0.046190239963798,1.331,1.77156,100,0,0.62,0.38
"39",NA,38,1.6085528,0.0457001058385455,1.331,1.77156,100,0,0.37,0.63
"40",NA,39,1.529252,0.0485232784,1.331,1.77156,100,0,0.55,0.45
"41",NA,40,1.7583432,0.0057051612179394,1.331,1.77156,100,0,0.03,0.97
"42",NA,41,1.6305808,0.0426612742619798,1.331,1.77156,100,0,0.32,0.68
"43",NA,42,1.705476,0.0249968403878788,1.331,1.77156,100,0,0.15,0.85
"44",NA,43,1.5865248,0.0477586691646061,1.331,1.77156,100,0,0.42,0.58
"45",NA,44,1.77156,0,1.77156,1.77156,100,0,0,1
"46",NA,45,1.7539376,0.00752846016387879,1.331,1.77156,100,0,0.04,0.96
"47",NA,46,1.77156,0,1.77156,1.77156,100,0,0,1
"48",NA,47,1.77156,0,1.77156,1.77156,100,0,0,1
"49",NA,48,1.749532,0.00931254837979798,1.331,1.77156,100,1.000002,0.05,0.95
"50",NA,49,1.7539376,0.00752846016387879,1.331,1.77156,100,0,0.04,0.96
"51",NA,50,1.77156,0,1.77156,1.77156,100,0,0,1
"52",NA,51,1.6305808,0.0426612742619798,1.331,1.77156,100,0,0.32,0.68
"53",NA,52,1.77156,0,1.77156,1.77156,100,0,0,1
"54",NA,53,1.7407208,0.0127630926215758,1.331,1.77156,100,0,0.07,0.93
"55",NA,54,1.77156,0,1.77156,1.77156,100,0,0,1
"56",NA,55,1.77156,0,1.77156,1.77156,100,0,0,1
"57",NA,56,1.77156,0,1.77156,1.77156,100,1.000002,0,1
"58",NA,57,1.77156,0,1.77156,1.77156,100,0,0,1
"59",NA,58,1.77156,0,1.77156,1.77156,100,0,0,1
"60",NA,59,1.77156,0,1.77156,1.77156,100,0,0,1
"61",NA,60,1.77156,0,1.77156,1.77156,100,1.000002,0,1
"62",NA,61,1.77156,0,1.77156,1.77156,100,0,0,1
"63",NA,62,1.77156,0,1.77156,1.77156,100,1.000002,0,1
"64",NA,63,1.77156,0,1.77156,1.77156,100,1.77156,0,1
