rep_id,trial_id,starting_index,landscape_seed,avg_fitness,max_fitness,dom_fitness
001,1,0,,1,1,1
001,2,0,,0.99,1,1
001,3,0,,1,1,1
001,4,0,,0.99,1,1
001,5,0,,1,1,1
001,6,0,,1,1,1
001,7,0,,1.331,1.331,1.331
001,8,0,,1.331,1.331,1.331
001,9,0,,0.99,1,1
001,10,0,,1,1,1
001,11,0,,1.331,1.331,1.331
001,12,0,,0.99,1,1
001,13,0,,1.331,1.331,1.331
001,14,0,,1.331,1.331,1.331
001,15,0,,1.31769,1.331,1.331
001,16,0,,1.31769,1.331,1.331
001,17,0,,1.32107,1.331,1.331
001,18,0,,1.31769,1.331,1.331
001,19,0,,1,1,1
001,20,0,,1,1,1
001,21,0,,1,1,1
001,22,0,,1,1,1
001,23,0,,1.331,1.331,1.331
001,24,0,,0.98,1,1
001,25,0,,1.30776,1.331,1.331
001,26,0,,1,1,1
001,27,0,,1,1,1
001,28,0,,1,1,1
001,29,0,,0.99,1,1
001,30,0,,1,1,1
001,31,0,,1,1,1
001,32,0,,1,1,1
001,33,0,,1,1,1
001,34,0,,1,1,1
001,35,0,,1,1,1
001,36,0,,0.99,1,1
001,37,0,,1.29107,1.331,1.331
001,38,0,,1,1,1
001,39,0,,1,1,1
001,40,0,,0.99,1,1
001,41,0,,1.31769,1.331,1.331
001,42,0,,1,1,1
001,43,0,,1,1,1
001,44,0,,0.99,1,1
001,45,0,,1,1,1
001,46,0,,1,1,1
001,47,0,,0.99,1,1
001,48,0,,1,1,1
001,49,0,,1,1,1
001,50,0,,1,1,1
001,51,0,,0.99,1,1
001,52,0,,1.32438,1.331,1.331
001,53,0,,0.99,1,1
001,54,0,,1.30438,1.331,1.331
001,55,0,,0.99,1,1
001,56,0,,1,1,1
001,57,0,,0.99,1,1
001,58,0,,0.99,1,1
001,59,0,,1.331,1.331,1.331
001,60,0,,1.331,1.331,1.331
001,61,0,,1,1,1
001,62,0,,1.31438,1.331,1.331
001,63,0,,1,1,1
001,64,0,,1,1,1
001,65,0,,1.331,1.331,1.331
001,66,0,,1,1,1
001,67,0,,1.31769,1.331,1.331
001,68,0,,1,1,1
001,69,0,,1,1,1
001,70,0,,0.98,1,1
001,71,0,,0.98,1,1
001,72,0,,1.331,1.331,1.331
001,73,0,,1,1,1
001,74,0,,1.31769,1.331,1.331
001,75,0,,1.31769,1.331,1.331
001,76,0,,1.31769,1.331,1.331
001,77,0,,1,1,1
001,78,0,,1,1,1
001,79,0,,1,1,1
001,80,0,,1,1,1
001,81,0,,0.99,1,1
001,82,0,,1,1,1
001,83,0,,1,1,1
001,84,0,,1,1,1
001,85,0,,1.32438,1.331,1.331
001,86,0,,0.99,1,1
001,87,0,,1,1,1
001,88,0,,0.99,1,1
001,89,0,,1,1,1
001,90,0,,1,1,1
001,91,0,,1.32769,1.331,1.331
001,92,0,,1,1,1
001,93,0,,1,1,1
001,94,0,,1,1,1
001,95,0,,1,1,1
001,96,0,,1.331,1.331,1.331
001,97,0,,0.99,1,1
001,98,0,,1,1,1
001,99,0,,0.98,1,1
001,100,0,,1,1,1
002,1,1,,1.31769,1.331,1.331
002,2,1,,1.331,1.331,1.331
002,3,1,,1.31769,1.331,1.331
002,4,1,,1.32438,1.331,1.331
002,5,1,,1.331,1.331,1.331
002,6,1,,1,1,1
002,7,1,,1,1,1
002,8,1,,1.331,1.331,1.331
002,9,1,,1,1,1
002,10,1,,1.331,1.331,1.331
002,11,1,,1.31107,1.331,1.331
002,12,1,,1.331,1.331,1.331
002,13,1,,1.31769,1.331,1.331
002,14,1,,1.31769,1.331,1.331
002,15,1,,1.331,1.331,1.331
002,16,1,,1.331,1.331,1.331
002,17,1,,1.32769,1.331,1.331
002,18,1,,1.331,1.331,1.331
002,19,1,,1.331,1.331,1.331
002,20,1,,1,1,1
002,21,1,,1.331,1.331,1.331
002,22,1,,1.31769,1.331,1.331
002,23,1,,1.331,1.331,1.331
002,24,1,,1.31776,1.331,1.331
002,25,1,,1.331,1.331,1.331
002,26,1,,1.331,1.331,1.331
002,27,1,,1.31769,1.331,1.331
002,28,1,,1.331,1.331,1.331
002,29,1,,1.331,1.331,1.331
002,30,1,,1.331,1.331,1.331
002,31,1,,1.331,1.331,1.331
002,32,1,,1.331,1.331,1.331
002,33,1,,1.331,1.331,1.331
002,34,1,,1.31438,1.331,1.331
002,35,1,,1.31769,1.331,1.331
002,36,1,,0.99,1,1
002,37,1,,1.331,1.331,1.331
002,38,1,,1,1,1
002,39,1,,1.31769,1.331,1.331
002,40,1,,1.31769,1.331,1.331
002,41,1,,1.331,1.331,1.331
002,42,1,,1.31769,1.331,1.331
002,43,1,,0.99,1,1
002,44,1,,1.31769,1.331,1.331
002,45,1,,0.99,1,1
002,46,1,,1.32769,1.331,1.331
002,47,1,,1.331,1.331,1.331
002,48,1,,1.331,1.331,1.331
002,49,1,,1.331,1.331,1.331
002,50,1,,1.331,1.331,1.331
002,51,1,,1,1,1
002,52,1,,1.31769,1.331,1.331
002,53,1,,1.31769,1.331,1.331
002,54,1,,1.32769,1.331,1.331
002,55,1,,1.31438,1.331,1.331
002,56,1,,1.331,1.331,1.331
002,57,1,,1.331,1.331,1.331
002,58,1,,1,1,1
002,59,1,,1.331,1.331,1.331
002,60,1,,1,1,1
002,61,1,,1.29776,1.331,1.331
002,62,1,,1,1,1
002,63,1,,1.31769,1.331,1.331
002,64,1,,1,1,1
002,65,1,,0.99,1,1
002,66,1,,1.331,1.331,1.331
002,67,1,,1,1,1
002,68,1,,1.32769,1.331,1.331
002,69,1,,1.30776,1.331,1.331
002,70,1,,1.30438,1.331,1.331
002,71,1,,1.31769,1.331,1.331
002,72,1,,1.331,1.331,1.331
002,73,1,,1.331,1.331,1.331
002,74,1,,1.32438,1.331,1.331
002,75,1,,1.331,1.331,1.331
002,76,1,,1.331,1.331,1.331
002,77,1,,1.331,1.331,1.331
002,78,1,,1.30114,1.331,1.331
002,79,1,,0.99,1,1
002,80,1,,1.331,1.331,1.331
002,81,1,,1.331,1.331,1.331
002,82,1,,1.31438,1.331,1.331
002,83,1,,1.331,1.331,1.331
002,84,1,,1.331,1.331,1.331
002,85,1,,1.331,1.331,1.331
002,86,1,,1.331,1.331,1.331
002,87,1,,1.30438,1.331,1.331
002,88,1,,1.331,1.331,1.331
002,89,1,,1.331,1.331,1.331
002,90,1,,1.331,1.331,1.331
002,91,1,,1.331,1.331,1.331
002,92,1,,1,1,1
002,93,1,,1.32107,1.331,1.331
002,94,1,,1.30107,1.331,1.331
002,95,1,,1.31769,1.331,1.331
002,96,1,,1.31769,1.331,1.331
002,97,1,,1.331,1.331,1.331
002,98,1,,1.32769,1.331,1.331
002,99,1,,0.99,1,1
002,100,1,,1.331,1.331,1.331
003,1,2,,1.31769,1.331,1.331
003,2,2,,1.31769,1.331,1.331
003,3,2,,1.32438,1.331,1.331
003,4,2,,1.331,1.331,1.331
003,5,2,,1.30438,1.331,1.331
003,6,2,,1.331,1.331,1.331
003,7,2,,0.98,1,1
003,8,2,,1,1,1
003,9,2,,0.98,1,1
003,10,2,,1.331,1.331,1.331
003,11,2,,0.99,1,1
003,12,2,,1.331,1.331,1.331
003,13,2,,1.31769,1.331,1.331
003,14,2,,0.99,1,1
003,15,2,,1.331,1.331,1.331
003,16,2,,1.31769,1.331,1.331
003,17,2,,0.99,1,1
003,18,2,,1,1,1
003,19,2,,1,1,1
003,20,2,,1.331,1.331,1.331
003,21,2,,1,1,1
003,22,2,,0.99,1,1
003,23,2,,1.331,1.331,1.331
003,24,2,,1.31769,1.331,1.331
003,25,2,,1.31769,1.331,1.331
003,26,2,,1.30438,1.331,1.331
003,27,2,,1,1,1
003,28,2,,1.12909,1.331,1
003,29,2,,1,1,1
003,30,2,,1.331,1.331,1.331
003,31,2,,1.331,1.331,1.331
003,32,2,,1.32769,1.331,1.331
003,33,2,,1.31107,1.331,1.331
003,34,2,,1,1,1
003,35,2,,1.331,1.331,1.331
003,36,2,,1,1,1
003,37,2,,1.31769,1.331,1.331
003,38,2,,1.331,1.331,1.331
003,39,2,,1.331,1.331,1.331
003,40,2,,1.31769,1.331,1.331
003,41,2,,1.32769,1.331,1.331
003,42,2,,1.331,1.331,1.331
003,43,2,,0.99,1,1
003,44,2,,1.331,1.331,1.331
003,45,2,,1,1,1
003,46,2,,1,1,1
003,47,2,,1,1,1
003,48,2,,1.331,1.331,1.331
003,49,2,,1.331,1.331,1.331
003,50,2,,1,1,1
003,51,2,,1.331,1.331,1.331
003,52,2,,1,1,1
003,53,2,,1.331,1.331,1.331
003,54,2,,1.32107,1.331,1.331
003,55,2,,1.32769,1.331,1.331
003,56,2,,1.331,1.331,1.331
003,57,2,,1.331,1.331,1.331
003,58,2,,1.31438,1.331,1.331
003,59,2,,1.31776,1.331,1.331
003,60,2,,1.31438,1.331,1.331
003,61,2,,0.99,1,1
003,62,2,,1.31769,1.331,1.331
003,63,2,,1.32438,1.331,1.331
003,64,2,,1,1,1
003,65,2,,1.31107,1.331,1.331
003,66,2,,1.30438,1.331,1.331
003,67,2,,1.331,1.331,1.331
003,68,2,,1.331,1.331,1.331
003,69,2,,1.31769,1.331,1.331
003,70,2,,1.31769,1.331,1.331
003,71,2,,1.331,1.331,1.331
003,72,2,,1.331,1.331,1.331
003,73,2,,1.331,1.331,1.331
003,74,2,,1.331,1.331,1.331
003,75,2,,0.99,1,1
003,76,2,,0.99,1,1
003,77,2,,1.31438,1.331,1.331
003,78,2,,1,1,1
003,79,2,,1,1,1
003,80,2,,0.99,1,1
003,81,2,,1.31769,1.331,1.331
003,82,2,,1.331,1.331,1.331
003,83,2,,1.30438,1.331,1.331
003,84,2,,1,1,1
003,85,2,,1.30438,1.331,1.331
003,86,2,,1.31438,1.331,1.331
003,87,2,,0.99,1,1
003,88,2,,1.331,1.331,1.331
003,89,2,,0.99,1,1
003,90,2,,1.331,1.331,1.331
003,91,2,,1.31438,1.331,1.331
003,92,2,,1,1,1
003,93,2,,1.331,1.331,1.331
003,94,2,,1.31769,1.331,1.331
003,95,2,,1.331,1.331,1.331
003,96,2,,1.31769,1.331,1.331
003,97,2,,1,1,1
003,98,2,,1.331,1.331,1.331
003,99,2,,1.30438,1.331,1.331
003,100,2,,1.31769,1.331,1.331
004,1,3,,1.331,1.331,1.331
004,2,3,,1.31438,1.331,1.331
004,3,3,,1.31438,1.331,1.331
004,4,3,,1.31769,1.331,1.331
004,5,3,,1.32107,1.331,1.331
004,6,3,,1.30445,1.331,1.331
004,7,3,,1.31769,1.331,1.331
004,8,3,,1.31769,1.331,1.331
004,9,3,,1.31107,1.331,1.331
004,10,3,,1.331,1.331,1.331
004,11,3,,1.331,1.331,1.331
004,12,3,,1.32769,1.331,1.331
004,13,3,,1.31769,1.331,1.331
004,14,3,,1.331,1.331,1.331
004,15,3,,1.331,1.331,1.331
004,16,3,,1.331,1.331,1.331
004,17,3,,1.331,1.331,1.331
004,18,3,,1.331,1.331,1.331
004,19,3,,1.331,1.331,1.331
004,20,3,,1.31769,1.331,1.331
004,21,3,,1.31107,1.331,1.331
004,22,3,,1.331,1.331,1.331
004,23,3,,1.31769,1.331,1.331
004,24,3,,1.31438,1.331,1.331
004,25,3,,1.331,1.331,1.331
004,26,3,,1.331,1.331,1.331
004,27,3,,1.28445,1.331,1.331
004,28,3,,1.31769,1.331,1.331
004,29,3,,1.31769,1.331,1.331
004,30,3,,1.331,1.331,1.331
004,31,3,,1.32438,1.331,1.331
004,32,3,,1.331,1.331,1.331
004,33,3,,1.331,1.331,1.331
004,34,3,,1.331,1.331,1.331
004,35,3,,1.31769,1.331,1.331
004,36,3,,1.31769,1.331,1.331
004,37,3,,1.331,1.331,1.331
004,38,3,,1.31769,1.331,1.331
004,39,3,,1.331,1.331,1.331
004,40,3,,1.29107,1.331,1.331
004,41,3,,1.31769,1.331,1.331
004,42,3,,1.331,1.331,1.331
004,43,3,,1.30438,1.331,1.331
004,44,3,,1.31769,1.331,1.331
004,45,3,,1.331,1.331,1.331
004,46,3,,1.31769,1.331,1.331
004,47,3,,1.31769,1.331,1.331
004,48,3,,1.331,1.331,1.331
004,49,3,,1.331,1.331,1.331
004,50,3,,1.331,1.331,1.331
004,51,3,,1.32438,1.331,1.331
004,52,3,,1.31769,1.331,1.331
004,53,3,,1.32769,1.331,1.331
004,54,3,,1.31769,1.331,1.331
004,55,3,,1.31769,1.331,1.331
004,56,3,,1.32438,1.331,1.331
004,57,3,,1.32769,1.331,1.331
004,58,3,,1.32107,1.331,1.331
004,59,3,,1.331,1.331,1.331
004,60,3,,1.30107,1.331,1.331
004,61,3,,1.331,1.331,1.331
004,62,3,,1.31769,1.331,1.331
004,63,3,,1.30438,1.331,1.331
004,64,3,,1.31769,1.331,1.331
004,65,3,,1.31769,1.331,1.331
004,66,3,,1.31769,1.331,1.331
004,67,3,,1.32769,1.331,1.331
004,68,3,,1.331,1.331,1.331
004,69,3,,1.331,1.331,1.331
004,70,3,,1.31769,1.331,1.331
004,71,3,,1.31769,1.331,1.331
004,72,3,,1.32769,1.331,1.331
004,73,3,,1.331,1.331,1.331
004,74,3,,1.331,1.331,1.331
004,75,3,,1.331,1.331,1.331
004,76,3,,1.31769,1.331,1.331
004,77,3,,1.32438,1.331,1.331
004,78,3,,1.331,1.331,1.331
004,79,3,,1.331,1.331,1.331
004,80,3,,1.331,1.331,1.331
004,81,3,,1.331,1.331,1.331
004,82,3,,1.31769,1.331,1.331
004,83,3,,1.32438,1.331,1.331
004,84,3,,1.331,1.331,1.331
004,85,3,,1.31769,1.331,1.331
004,86,3,,1.31769,1.331,1.331
004,87,3,,1.331,1.331,1.331
004,88,3,,1.30438,1.331,1.331
004,89,3,,1.31769,1.331,1.331
004,90,3,,1.331,1.331,1.331
004,91,3,,1.331,1.331,1.331
004,92,3,,1.31769,1.331,1.331
004,93,3,,1.31769,1.331,1.331
004,94,3,,1.331,1.331,1.331
004,95,3,,1.331,1.331,1.331
004,96,3,,1.331,1.331,1.331
004,97,3,,1.31769,1.331,1.331
004,98,3,,1.331,1.331,1.331
004,99,3,,1.29107,1.331,1.331
004,100,3,,1.31769,1.331,1.331
005,1,4,,1,1,1
005,2,4,,1.331,1.331,1.331
005,3,4,,1.32107,1.331,1.331
005,4,4,,1,1,1
005,5,4,,1,1,1
005,6,4,,0.99,1,1
005,7,4,,1,1,1
005,8,4,,0.99,1,1
005,9,4,,1,1,1
005,10,4,,1.331,1.331,1.331
005,11,4,,1.31769,1.331,1.331
005,12,4,,1,1,1
005,13,4,,1,1,1
005,14,4,,1,1,1
005,15,4,,1.331,1.331,1.331
005,16,4,,1,1,1
005,17,4,,1.32769,1.331,1.331
005,18,4,,0.99,1,1
005,19,4,,1.331,1.331,1.331
005,20,4,,1,1,1
005,21,4,,1.31769,1.331,1.331
005,22,4,,1,1,1
005,23,4,,1.331,1.331,1.331
005,24,4,,1,1,1
005,25,4,,1.32769,1.331,1.331
005,26,4,,0.99,1,1
005,27,4,,1,1,1
005,28,4,,1,1,1
005,29,4,,1.331,1.331,1.331
005,30,4,,1.331,1.331,1.331
005,31,4,,1.331,1.331,1.331
005,32,4,,1,1,1
005,33,4,,0.99,1,1
005,34,4,,1,1,1
005,35,4,,0.98,1,1
005,36,4,,0.98,1,1
005,37,4,,1,1,1
005,38,4,,1,1,1
005,39,4,,1,1,1
005,40,4,,1,1,1
005,41,4,,1.331,1.331,1.331
005,42,4,,1,1,1
005,43,4,,0.99,1,1
005,44,4,,0.99,1,1
005,45,4,,0.98,1,1
005,46,4,,1.331,1.331,1.331
005,47,4,,1.331,1.331,1.331
005,48,4,,1.331,1.331,1.331
005,49,4,,1,1,1
005,50,4,,1,1,1
005,51,4,,1,1,1
005,52,4,,1,1,1
005,53,4,,1,1,1
005,54,4,,1,1,1
005,55,4,,0.99,1,1
005,56,4,,1.00331,1.331,1
005,57,4,,1.331,1.331,1.331
005,58,4,,1.31769,1.331,1.331
005,59,4,,1,1,1
005,60,4,,1,1,1
005,61,4,,1,1,1
005,62,4,,1,1,1
005,63,4,,0.99,1,1
005,64,4,,1,1,1
005,65,4,,1,1,1
005,66,4,,1.331,1.331,1.331
005,67,4,,1.31769,1.331,1.331
005,68,4,,1.331,1.331,1.331
005,69,4,,1.31769,1.331,1.331
005,70,4,,1,1,1
005,71,4,,1,1,1
005,72,4,,1,1,1
005,73,4,,0.99,1,1
005,74,4,,1.77156,1.77156,1.77156
005,75,4,,0.98,1,1
005,76,4,,1.32769,1.331,1.331
005,77,4,,1.331,1.331,1.331
005,78,4,,1,1,1
005,79,4,,1.331,1.331,1.331
005,80,4,,1.331,1.331,1.331
005,81,4,,0.99,1,1
005,82,4,,1.31769,1.331,1.331
005,83,4,,1,1,1
005,84,4,,0.96,1,1
005,85,4,,1.331,1.331,1.331
005,86,4,,0.99,1,1
005,87,4,,1,1,1
005,88,4,,0.99,1,1
005,89,4,,1,1,1
005,90,4,,0.99,1,1
005,91,4,,1,1,1
005,92,4,,1.331,1.331,1.331
005,93,4,,1,1,1
005,94,4,,1.32769,1.331,1.331
005,95,4,,1,1,1
005,96,4,,0.99,1,1
005,97,4,,1,1,1
005,98,4,,1.31769,1.331,1.331
005,99,4,,1,1,1
005,100,4,,1,1,1
006,1,5,,1.331,1.331,1.331
006,2,5,,1.31776,1.331,1.331
006,3,5,,1.331,1.331,1.331
006,4,5,,1.331,1.331,1.331
006,5,5,,1.31769,1.331,1.331
006,6,5,,1.331,1.331,1.331
006,7,5,,1.31769,1.331,1.331
006,8,5,,1.331,1.331,1.331
006,9,5,,1.331,1.331,1.331
006,10,5,,1.31776,1.331,1.331
006,11,5,,0.99,1,1
006,12,5,,1.331,1.331,1.331
006,13,5,,1.331,1.331,1.331
006,14,5,,1.32438,1.331,1.331
006,15,5,,1.331,1.331,1.331
006,16,5,,1.331,1.331,1.331
006,17,5,,1.331,1.331,1.331
