"","landscape_seed","starting_index","fitness_avg","fitness_var","fitness_min","fitness_max","count","starting_fitness","frac_1","frac_2","frac_3","frac_4"
"1",NA,0,1.08937,0.0218125990909091,1,1.331,100,1.000002,0.73,0.27,0,0
"2",NA,1,1.27142,0.0163345490909091,1,1.331,100,1.000002,0.18,0.82,0,0
"3",NA,2,1.22508,0.0240812864646465,1,1.331,100,0,0.32,0.68,0,0
"4",NA,3,1.331,0,1.331,1.331,100,1.000002,0,1,0,0
"5",NA,4,1.1169456,0.028719095936,1,1.77156,100,0,0.66,0.33,0.01,0
"6",NA,5,1.30121,0.00906368272727272,1,1.331,100,0,0.09,0.91,0,0
"7",NA,6,1.3442168,0.0057051612179394,1.331,1.77156,100,0,0,0.97,0.03,0
"8",NA,7,1.331,0,1.331,1.331,100,1.330998,0,1,0,0
"9",NA,8,1.10261,0.0236718160606061,1,1.331,100,0,0.69,0.31,0,0
"10",NA,9,1.2648,0.0177068282828283,1,1.331,100,0,0.2,0.8,0,0
"11",NA,10,1.2358496,0.104493070258424,0,1.77156,100,0,0.42,0.4,0.16,0.02
"12",NA,11,1.3354056,0.001940931136,1.331,1.77156,100,0,0,0.99,0.01,0
"13",NA,12,1.3858496,0.11939684642004,1,1.77156,100,0,0.38,0.21,0.41,0
"14",NA,13,1.2985532,0.139100161779556,0,1.77156,100,0,0.23,0.51,0.22,0.04
"15",NA,14,1.4685064,0.0994459595384243,0,1.77156,100,0,0.13,0.42,0.44,0.01
"16",NA,15,1.3398112,0.0038426515419798,1.331,1.77156,100,0,0,0.98,0.02,0
"17",NA,16,1.0816312,0.0274289331904646,1,1.77156,100,0,0.78,0.2,0.02,0
"18",NA,17,1.2592756,0.0222177490713535,1,1.77156,100,0,0.23,0.76,0.01,0
"19",NA,18,1.2435652,0.10676991420299,0,1.77156,100,0,0.41,0.4,0.17,0.02
"20",NA,19,1.331,0,1.331,1.331,100,0,0,1,0,0
"21",NA,20,1.3813508,0.141690531098343,0,1.77156,100,0,0.38,0.18,0.43,0.01
"22",NA,21,1.3560588,0.0968473158288485,0,1.77156,100,0,0.15,0.6,0.23,0.02
"23",NA,22,1.4519796,0.0989861242018586,0,1.77156,100,0,0.14,0.44,0.41,0.01
"24",NA,23,1.3309068,0.0237761562846061,0,1.77156,100,0,0,0.96,0.03,0.01
"25",NA,24,1.3813744,0.14883691463499,1,1.77156,100,0,0.5,0.01,0.49,0
"26",NA,25,1.330698,0.11655092209697,0,1.77156,100,0,0.36,0.33,0.3,0.01
"27",NA,26,1.351444,0.170416634650505,0,1.77156,100,0,0.35,0.22,0.4,0.03
"28",NA,27,1.4795088,0.10632281904097,0,1.77156,100,0,0.15,0.36,0.48,0.01
"29",NA,28,1.6712572,0.068009067353697,1,1.77156,100,0,0.13,0,0.87,0
"30",NA,29,1.5621428,0.0985084621981414,0,1.77156,100,0,0.1,0.26,0.63,0.01
"31",NA,30,1.77156,0,1.77156,1.77156,100,0,0,0,1,0
"32",NA,31,1.749532,0.00931254837979798,1.331,1.77156,100,0,0,0.05,0.95,0
"33",NA,32,1.0375056,0.0145523922269091,1,1.77156,100,1.000002,0.9,0.09,0.01,0
"34",NA,33,1.1500456,0.0308591881380202,1,1.77156,100,0,0.56,0.43,0.01,0
"35",NA,34,1.0761068,0.0298956161633939,1,1.77156,100,0,0.81,0.16,0.03,0
"36",NA,35,1.31445,0.00525671464646464,1,1.331,100,0,0.05,0.95,0,0
