"","genotype_a","genotype_b","avg_fitness_a","avg_fitness_b","fitness_sd_a","fitness_sd_b","raw_p","adj_p","starting_fitness_a","starting_fitness_b","fitness_diff"
"1",0,1,1.3398112,1.3442168,0.0619891243846838,0.0755325176194955,0.67591103059073,1,1.000002,1.000002,0
"2",0,2,1.3398112,1.331,0.0619891243846838,0,0.0791678125549835,0.475006875329901,1.000002,0,-1.000002
"3",0,4,1.3398112,1.331,0.0619891243846838,0,0.0791678125549835,0.475006875329901,1.000002,0,-1.000002
"4",0,8,1.3398112,1.3354056,0.0619891243846838,0.044056,0.2828246122434,1,1.000002,0,-1.000002
"5",0,16,1.3398112,1.3926784,0.0619891243846838,0.153638730377993,0.999103349958476,1,1.000002,0,-1.000002
"6",0,32,1.3398112,1.4147064,0.0619891243846838,0.173702782794478,0.999954565867754,1,1.000002,1.000002,0
"7",1,0,1.3442168,1.3398112,0.0755325176194955,0.0619891243846838,0.327343908059907,1,1.000002,1.000002,0
"8",1,3,1.3442168,1.331,0.0755325176194955,0,0.0413688080390578,0.248212848234347,1.000002,1.000002,0
"9",1,5,1.3442168,1.331,0.0755325176194955,0,0.0413688080390578,0.248212848234347,1.000002,0,-1.000002
"10",1,9,1.3442168,1.3354056,0.0755325176194955,0.044056,0.158030356024163,0.948182136144978,1.000002,0,-1.000002
"11",1,17,1.3442168,1.3354056,0.0755325176194955,0.044056,0.158030356024163,0.948182136144978,1.000002,0,-1.000002
"12",1,33,1.3442168,1.331,0.0755325176194955,0,0.0413688080390578,0.248212848234347,1.000002,0,-1.000002
"13",2,3,1.331,1.331,0,0,1,1,0,1.000002,1.000002
"14",2,0,1.331,1.3398112,0,0.0619891243846838,0.922902494644706,1,0,1.000002,1.000002
"15",2,6,1.331,1.331,0,0,1,1,0,0,0
"16",2,10,1.331,1.3618392,0,0.112973858133534,0.996431680795667,1,0,0,0
"17",2,18,1.331,1.4940072,0,0.213775830810093,0.999999999991087,1,0,0,0
"18",2,34,1.331,1.4058952,0,0.166322488044319,0.999991540784678,1,0,0,0
"19",3,2,1.331,1.331,0,0,1,1,1.000002,0,-1.000002
"20",3,1,1.331,1.3442168,0,0.0755325176194955,0.959648663953616,1,1.000002,1.000002,0
"21",3,7,1.331,1.331,0,0,1,1,1.000002,1.330998,0.330996
"22",3,11,1.331,1.331,0,0,1,1,1.000002,0,-1.000002
"23",3,19,1.331,1.331,0,0,1,1,1.000002,0,-1.000002
"24",3,35,1.331,1.331,0,0,1,1,1.000002,0,-1.000002
"25",4,5,1.331,1.331,0,0,1,1,0,0,0
"26",4,6,1.331,1.331,0,0,1,1,0,0,0
"27",4,0,1.331,1.3398112,0,0.0619891243846838,0.922902494644706,1,0,1.000002,1.000002
"28",4,12,1.331,1.5028184,0,0.215965653192887,0.999999999998105,1,0,0,0
"29",4,20,1.331,1.6305808,0,0.206546058451813,1,1,0,0,0
"30",4,36,1.331,1.4014896,0,0.162325631289626,0.99998425740382,1,0,0,0
"31",5,4,1.331,1.331,0,0,1,1,0,0,0
"32",5,7,1.331,1.331,0,0,1,1,0,1.330998,1.330998
"33",5,1,1.331,1.3442168,0,0.0755325176194955,0.959648663953616,1,0,1.000002,1.000002
"34",5,13,1.331,1.375056,0,0.13283383796718,0.999401393971989,1,0,0,0
"35",5,21,1.331,1.3706504,0,0.126715405311559,0.998913777641469,1,0,0,0
"36",5,37,1.331,1.397084,0,0.158103891121878,0.999970843351334,1,0,0,0
"37",6,7,1.331,1.331,0,0,1,1,0,1.330998,1.330998
"38",6,4,1.331,1.331,0,0,1,1,0,0,0
"39",6,2,1.331,1.331,0,0,1,1,0,0,0
"40",6,14,1.331,1.5600912,0,0.221212547259897,1,1,0,0,0
