"","landscape_seed","starting_index","fitness_avg","fitness_var","fitness_min","fitness_max","count","starting_fitness","frac_1","frac_2"
"1",NA,0,1.3398112,0.0038426515419798,1.331,1.77156,100,1.000002,0.98,0.02
"2",NA,1,1.3442168,0.0057051612179394,1.331,1.77156,100,1.000002,0.97,0.03
"3",NA,2,1.331,0,1.331,1.331,100,0,1,0
"4",NA,3,1.331,0,1.331,1.331,100,1.000002,1,0
"5",NA,4,1.331,0,1.331,1.331,100,0,1,0
"6",NA,5,1.331,0,1.331,1.331,100,0,1,0
"7",NA,6,1.331,0,1.331,1.331,100,0,1,0
"8",NA,7,1.331,0,1.331,1.331,100,1.330998,1,0
"9",NA,8,1.3354056,0.001940931136,1.331,1.77156,100,0,0.99,0.01
"10",NA,9,1.3354056,0.001940931136,1.331,1.77156,100,0,0.99,0.01
"11",NA,10,1.3618392,0.0127630926215758,1.331,1.77156,100,0,0.93,0.07
"12",NA,11,1.331,0,1.331,1.331,100,0,1,0
"13",NA,12,1.5028184,0.0466411633590303,1.331,1.77156,100,0,0.61,0.39
"14",NA,13,1.375056,0.0176448285090909,1.331,1.77156,100,0,0.9,0.1
"15",NA,14,1.5600912,0.0489349910652121,1.331,1.77156,100,0,0.48,0.52
"16",NA,15,1.3398112,0.0038426515419798,1.331,1.77156,100,0,0.98,0.02
"17",NA,16,1.3926784,0.0236048594721616,1.331,1.77156,100,0,0.86,0.14
"18",NA,17,1.3354056,0.001940931136,1.331,1.77156,100,0,0.99,0.01
"19",NA,18,1.4940072,0.0457001058385455,1.331,1.77156,100,0,0.63,0.37
"20",NA,19,1.331,0,1.331,1.331,100,0,1,0
"21",NA,20,1.6305808,0.0426612742619798,1.331,1.77156,100,0,0.32,0.68
"22",NA,21,1.3706504,0.0160567939432727,1.331,1.77156,100,0,0.91,0.09
"23",NA,22,1.5689024,0.0486997266850909,1.331,1.77156,100,0,0.46,0.54
"24",NA,23,1.3398112,0.0038426515419798,1.331,1.77156,100,0,0.98,0.02
"25",NA,24,1.77156,0,1.77156,1.77156,100,0,0,1
"26",NA,25,1.5424688,0.0489349910652121,1.331,1.77156,100,0,0.52,0.48
"27",NA,26,1.7451264,0.011057425865697,1.331,1.77156,100,0,0.06,0.94
"28",NA,27,1.6041472,0.046190239963798,1.331,1.77156,100,0,0.38,0.62
"29",NA,28,1.77156,0,1.77156,1.77156,100,0,0,1
"30",NA,29,1.7451264,0.011057425865697,1.331,1.77156,100,0,0.06,0.94
"31",NA,30,1.77156,0,1.77156,1.77156,100,0,0,1
"32",NA,31,1.77156,0,1.77156,1.77156,100,0,0,1
"33",NA,32,1.4147064,0.0301726567505455,1.331,1.77156,100,1.000002,0.81,0.19
"34",NA,33,1.331,0,1.331,1.331,100,0,1,0
"35",NA,34,1.4058952,0.0276631700292525,1.331,1.77156,100,0,0.83,0.17
"36",NA,35,1.331,0,1.331,1.331,100,0,1,0
"37",NA,36,1.4014896,0.0263496105735758,1.331,1.77156,100,0,0.84,0.16
"38",NA,37,1.397084,0.0249968403878788,1.331,1.77156,100,0,0.85,0.15
"39",NA,38,1.4984128,0.046190239963798,1.331,1.77156,100,0,0.62,0.38
"40",NA,39,1.3354056,0.001940931136,1.331,1.77156,100,0,0.99,0.01
"41",NA,40,1.7671544,0.001940931136,1.331,1.77156,100,0,0.01,0.99
"42",NA,41,1.4984128,0.046190239963798,1.331,1.77156,100,0,0.62,0.38
"43",NA,42,1.6305808,0.0426612742619798,1.331,1.77156,100,0,0.32,0.68
"44",NA,43,1.5689024,0.0486997266850909,1.331,1.77156,100,0,0.46,0.54
"45",NA,44,1.77156,0,1.77156,1.77156,100,0,0,1
"46",NA,45,1.7319096,0.0160567939432727,1.331,1.77156,100,0,0.09,0.91
"47",NA,46,1.77156,0,1.77156,1.77156,100,0,0,1
"48",NA,47,1.77156,0,1.77156,1.77156,100,0,0,1
"49",NA,48,1.7451264,0.011057425865697,1.331,1.77156,100,1.000002,0.06,0.94
"50",NA,49,1.7451264,0.011057425865697,1.331,1.77156,100,0,0.06,0.94
"51",NA,50,1.7583432,0.0057051612179394,1.331,1.77156,100,0,0.03,0.97
"52",NA,51,1.6482032,0.0395244158603636,1.331,1.77156,100,0,0.28,0.72
"53",NA,52,1.77156,0,1.77156,1.77156,100,0,0,1
"54",NA,53,1.7451264,0.011057425865697,1.331,1.77156,100,0,0.06,0.94
"55",NA,54,1.77156,0,1.77156,1.77156,100,0,0,1
"56",NA,55,1.77156,0,1.77156,1.77156,100,0,0,1
"57",NA,56,1.77156,0,1.77156,1.77156,100,1.000002,0,1
"58",NA,57,1.77156,0,1.77156,1.77156,100,0,0,1
"59",NA,58,1.77156,0,1.77156,1.77156,100,0,0,1
"60",NA,59,1.77156,0,1.77156,1.77156,100,0,0,1
"61",NA,60,1.77156,0,1.77156,1.77156,100,1.000002,0,1
"62",NA,61,1.77156,0,1.77156,1.77156,100,0,0,1
"63",NA,62,1.77156,0,1.77156,1.77156,100,1.000002,0,1
"64",NA,63,1.77156,0,1.77156,1.77156,100,1.77156,0,1
