"","landscape_seed","starting_index","fitness_avg","fitness_var","fitness_min","fitness_max","count","starting_fitness","frac_1","frac_2","frac_3","frac_4"
"1",NA,0,1,0,1,1,100,1.000002,1,0,0,0
"2",NA,1,1,0,1,1,100,0,1,0,0,0
"3",NA,2,1,0,1,1,100,0,1,0,0,0
"4",NA,3,0.87641,0.178044841313131,0,1.4641,100,0,0.73,0.17,0.1,0
"5",NA,4,1,0,1,1,100,0,1,0,0,0
"6",NA,5,0.855692,0.20709278619798,0,1.4641,100,0,0.68,0.2,0.12,0
"7",NA,6,0.927461,0.212090650079798,0,1.4641,100,0,0.62,0.17,0.21,0
"8",NA,7,0.774256,0.286365511175758,0,1.4641,100,0,0.54,0.3,0.16,0
"9",NA,8,1,0,1,1,100,0,1,0,0,0
"10",NA,9,0.943538,0.17735558419798,0,1.4641,100,0,0.68,0.14,0.18,0
"11",NA,10,0.919615,0.177622801287879,0,1.4641,100,0,0.7,0.15,0.15,0
"12",NA,11,0.913871,0.292275077231313,0,1.4641,100,0,0.46,0.23,0.31,0
"13",NA,12,1.118845,0.174546293409091,0,1.4641,100,0,0.46,0.09,0.45,0
"14",NA,13,0.885858,0.362469042056566,0,1.4641,100,0,0.32,0.29,0.38,0.01
"15",NA,14,0.954422,0.3317282284,0,1.4641,100,0,0.33,0.24,0.42,0.01
"16",NA,15,0.861935,0.359948625530303,0,1.4641,100,0,0.34,0.3,0.35,0.01
"17",NA,16,1.064974,0.0261947603272727,1,1.4641,100,0,0.86,0,0.14,0
"18",NA,17,1.092435,0.138224095227273,0,1.4641,100,0,0.58,0.07,0.35,0
"19",NA,18,0.991384,0.173352604993939,0,1.4641,100,0,0.64,0.12,0.24,0
"20",NA,19,0.896743,0.251391331566667,0,1.4641,100,0,0.56,0.21,0.23,0
"21",NA,20,1.147627,0.150973747041414,0,1.4641,100,0,0.45,0.07,0.47,0.01
"22",NA,21,1.010281,0.270912841554545,0,1.4641,100,0,0.41,0.18,0.41,0
"23",NA,22,1.097627,0.21386536320303,0,1.4641,100,0,0.4,0.12,0.47,0.01
"24",NA,23,0.820717,0.401617642031313,0,1.4641,100,0,0.26,0.35,0.37,0.02
"25",NA,24,1.4641,0,1.4641,1.4641,100,0,0,0,1,0
"26",NA,25,1.244152,0.187343175854545,0,1.4641,100,0,0.19,0.09,0.72,0
"27",NA,26,1.087024,0.343712789721212,0,1.4641,100,0,0.15,0.21,0.64,0
"28",NA,27,0.945973,0.41539106320303,0,1.4641,100,0,0.17,0.3,0.53,0
"29",NA,28,1.4641,0,1.4641,1.4641,100,0,0,0,1,0
"30",NA,29,1.122383,0.293653890516162,0,1.4641,100,0,0.2,0.17,0.63,0
"31",NA,30,1.218793,0.231680257021212,0,1.4641,100,0,0.15,0.12,0.73,0
"32",NA,31,0.86205,0.463297174242424,0,1.4641,100,0,0.13,0.37,0.5,0
"33",NA,32,1,0,1,1,100,0.949998,1,0,0,0
"34",NA,33,1.004641,0.0021538881,1,1.4641,100,0,0.99,0,0.01,0
"35",NA,34,1,0,1,1,100,0,1,0,0,0
"36",NA,35,0.939615,0.160264619469697,0,1.4641,100,0,0.72,0.13,0.15,0
"37",NA,36,1.009282,0.00426426330909091,1,1.4641,100,0,0.98,0,0.02,0
"38",NA,37,0.929833,0.154648623647475,0,1.4641,100,0,0.73,0.13,0.13,0.01
"39",NA,38,0.990884,0.173368901963636,0,1.4641,100,0,0.63,0.12,0.24,0.01
"40",NA,39,0.901384,0.254513332266667,0,1.4641,100,0,0.55,0.21,0.24,0
"41",NA,40,1.348075,0.0407933352272727,1,1.4641,100,0,0.25,0,0.75,0
"42",NA,41,1.118127,0.189170457142424,0,1.4641,100,0,0.43,0.1,0.47,0
"43",NA,42,1.178845,0.0958984146212121,0,1.4641,100,0,0.52,0.03,0.45,0
"44",NA,43,0.808512,0.3760169344,0,1.4641,100,0,0.34,0.34,0.32,0
"45",NA,44,1.4641,0,1.4641,1.4641,100,0,0,0,1,0
"46",NA,45,1.166306,0.257069625216162,0,1.4641,100,0,0.2,0.14,0.66,0
"47",NA,46,1.190947,0.230151258475758,0,1.4641,100,0,0.21,0.12,0.67,0
"48",NA,47,0.899563,0.386393532657576,0,1.4641,100,0,0.27,0.3,0.43,0
"49",NA,48,1.199563,0.0533250478090909,1,1.4641,100,0.902502,0.57,0,0.43,0
"50",NA,49,1.208845,0.0538472025,1,1.4641,100,0,0.55,0,0.45,0
"51",NA,50,1.250614,0.0540430105090909,1,1.4641,100,0,0.46,0,0.54,0
"52",NA,51,1.030281,0.249891387009091,0,1.4641,100,0,0.43,0.16,0.41,0
"53",NA,52,1.399126,0.0261947603272727,1,1.4641,100,0,0.14,0,0.86,0
"54",NA,53,1.169178,0.198287185975758,0,1.4641,100,0,0.32,0.1,0.58,0
"55",NA,54,1.196306,0.215778352488889,0,1.4641,100,0,0.23,0.11,0.66,0
