"","genotype_a","genotype_b","avg_fitness_a","avg_fitness_b","fitness_sd_a","fitness_sd_b","raw_p","adj_p","starting_fitness_a","starting_fitness_b","fitness_diff"
"1",0,1,1,1,0,0,1,1,1.000002,0,-1.000002
"2",0,2,1,1,0,0,1,1,1.000002,0,-1.000002
"3",0,4,1,1,0,0,1,1,1.000002,0,-1.000002
"4",0,8,1,1,0,0,1,1,1.000002,0,-1.000002
"5",0,16,1,1.041769,0,0.133486062295929,0.998913777641469,1,1.000002,0,-1.000002
"6",0,32,1,1,0,0,1,1,1.000002,0.949998,-0.0500039999999999
"7",1,0,1,1,0,0,1,1,0,1.000002,1.000002
"8",1,3,1,0.602487,0,0.538479557522565,2.71805242455751e-09,1.6308314547345e-08,0,0,0
"9",1,5,1,0.547128,0,0.55244000215024,1.00054679533188e-10,6.00328077199131e-10,0,0,0
"10",1,9,1,0.736025,0,0.606500478298878,0.0262435827112006,0.157461496267204,0,0,0
"11",1,17,1,0.764474,0,0.526765369274278,0.00219313046408841,0.0131587827845304,0,0,0
"12",1,33,1,1,0,0,1,1,0,0,0
"13",2,3,1,0.602487,0,0.538479557522565,2.71805242455751e-09,1.6308314547345e-08,0,0,0
"14",2,0,1,1,0,0,1,1,0,1.000002,1.000002
"15",2,6,1,0.581269,0,0.554207362405485,1.60357897688591e-09,9.62147386131546e-09,0,0,0
"16",2,10,1,0.723538,0,0.570609056455548,0.00234967969694919,0.0140980781816951,0,0,0
"17",2,18,1,0.788179,0,0.546851167921927,0.0370842675166835,0.222505605100101,0,0,0
"18",2,34,1,1,0,0,1,1,0,0,0
"19",3,2,0.602487,1,0.538479557522565,0,0.999999997334279,1,0,0,0
"20",3,1,0.602487,1,0.538479557522565,0,0.999999997334279,1,0,0,0
"21",3,7,0.602487,0.339282,0.538479557522565,0.490062355005911,0.000224505678451202,0.00134703407070721,0,0,0
"22",3,11,0.602487,0.318564,0.538479557522565,0.496717030499135,8.99334076995525e-05,0.000539600446197315,0,0,0
"23",3,19,0.602487,0.494256,0.538479557522565,0.601920508916705,0.116562763410898,0.699376580465387,0,0,0
"24",3,35,0.602487,0.657846,0.538479557522565,0.518207837174517,0.755924901600486,1,0,0,0
"25",4,5,1,0.547128,0,0.55244000215024,1.00054679533188e-10,6.00328077199131e-10,0,0,0
"26",4,6,1,0.581269,0,0.554207362405485,1.60357897688591e-09,9.62147386131546e-09,0,0,0
"27",4,0,1,1,0,0,1,1,0,1.000002,1.000002
"28",4,12,1,0.990999,0,0.526010924627305,0.998931832999956,1,0,0,0
"29",4,20,1,0.987794,0,0.495518511171007,0.996798020842198,1,0,0,0
"30",4,36,1,1,0,0,1,1,0,0,0
"31",5,4,0.547128,1,0.55244000215024,0,0.999999999901948,1,0,0,0
"32",5,7,0.547128,0.339282,0.55244000215024,0.490062355005911,0.00290085949941596,0.0174051569964957,0,0,0
"33",5,1,0.547128,1,0.55244000215024,0,0.999999999901948,1,0,0,0
"34",5,13,0.547128,0.496743,0.55244000215024,0.640605630626916,0.322596019310029,1,0,0,0
"35",5,21,0.547128,0.547679,0.55244000215024,0.616568040318686,0.531723734208583,1,0,0,0
"36",5,37,0.547128,0.671051,0.55244000215024,0.546324102293194,0.942926385073965,1,0,0,0
"37",6,7,0.581269,0.339282,0.554207362405485,0.490062355005911,0.000819296151478423,0.00491577690887054,0,0,0
"38",6,4,0.581269,1,0.554207362405485,0,0.999999998426537,1,0,0,0
"39",6,2,0.581269,1,0.554207362405485,0,0.999999998426537,1,0,0,0
"40",6,14,0.581269,0.53282,0.554207362405485,0.623464262379686,0.347749680403403,1,0,0,0
"41",6,22,0.581269,0.532102,0.554207362405485,0.634414547418135,0.354763580632162,1,0,0,0
"42",6,38,0.581269,0.692487,0.554207362405485,0.512976038122522,0.92320451220603,1,0,0,0
"43",7,6,0.339282,0.581269,0.490062355005911,0.554207362405485,0.999188492494554,1,0,0,0
"44",7,5,0.339282,0.547128,0.490062355005911,0.55244000215024,0.997124018384487,1,0,0,0
"45",7,3,0.339282,0.602487,0.490062355005911,0.538479557522565,0.999777837941235,1,0,0,0
"46",7,15,0.339282,0.241769,0.490062355005911,0.496930724537021,0.0492278012432104,0.295366807459262,0,0,0
"47",7,23,0.339282,0.251987,0.490062355005911,0.487809749852865,0.0696844263188362,0.418106557913017,0,0,0
"48",7,39,0.339282,0.338564,0.490062355005911,0.503641256708171,0.481503459300884,1,0,0,0
"49",8,9,1,0.736025,0,0.606500478298878,0.0262435827112006,0.157461496267204,0,0,0
"50",8,10,1,0.723538,0,0.570609056455548,0.00234967969694919,0.0140980781816951,0,0,0
"51",8,12,1,0.990999,0,0.526010924627305,0.998931832999956,1,0,0,0
"52",8,0,1,1,0,0,1,1,0,1.000002,1.000002
"53",8,24,1,1.4641,0,0,1,1,0,0,0
"54",8,40,1,1.269178,0,0.230214467675845,1,1,0,0,0
"55",9,8,0.736025,1,0.606500478298878,0,0.973937620773575,1,0,0,0
"56",9,11,0.736025,0.318564,0.606500478298878,0.496717030499135,2.46124551083772e-07,1.47674730650263e-06,0,0,0
"57",9,13,0.736025,0.496743,0.606500478298878,0.640605630626916,0.00706076424096085,0.0423645854457651,0,0,0
"58",9,1,0.736025,1,0.606500478298878,0,0.973937620773575,1,0,0,0
"59",9,25,0.736025,0.833486,0.606500478298878,0.675211856318542,0.954981494495418,1,0,0,0
"60",9,41,0.736025,1.003486,0.606500478298878,0.558738388037431,0.999588041176772,1,0,0,0
"61",10,11,0.723538,0.318564,0.570609056455548,0.496717030499135,2.57416482995387e-07,1.54449889797232e-06,0,0,0
"62",10,8,0.723538,1,0.570609056455548,0,0.997673278301467,1,0,0,0
"63",10,14,0.723538,0.53282,0.570609056455548,0.623464262379686,0.0228160952829673,0.136896571697804,0,0,0
"64",10,2,0.723538,1,0.570609056455548,0,0.997673278301467,1,0,0,0
"65",10,26,0.723538,0.800999,0.570609056455548,0.654742017124981,0.937431780973555,1,0,0,0
"66",10,42,0.723538,0.931717,0.570609056455548,0.56410409134281,0.997972515561138,1,0,0,0
"67",11,10,0.318564,0.723538,0.496717030499135,0.570609056455548,0.999999746212691,1,0,0,0
"68",11,9,0.318564,0.736025,0.496717030499135,0.606500478298878,0.999999757340037,1,0,0,0
