"","landscape_seed","starting_index","fitness_avg","fitness_var","fitness_min","fitness_max","count","starting_fitness","frac_1","frac_2"
"1",NA,0,1.4641,0,1.4641,1.4641,100,1.000002,1,0
"2",NA,1,1.459459,0.0021538881,1,1.4641,100,0,0.99,0.01
"3",NA,2,1.459459,0.0021538881,1,1.4641,100,0,0.99,0.01
"4",NA,3,1.4641,0,1.4641,1.4641,100,0,1,0
"5",NA,4,1.4641,0,1.4641,1.4641,100,0,1,0
"6",NA,5,1.459459,0.0021538881,1,1.4641,100,0,0.99,0.01
"7",NA,6,1.4641,0,1.4641,1.4641,100,0,1,0
"8",NA,7,1.4641,0,1.4641,1.4641,100,0,1,0
"9",NA,8,1.459459,0.0021538881,1,1.4641,100,0,0.99,0.01
"10",NA,9,1.459459,0.0021538881,1,1.4641,100,0,0.99,0.01
"11",NA,10,1.454818,0.00426426330909091,1,1.4641,100,0,0.98,0.02
"12",NA,11,1.4641,0,1.4641,1.4641,100,0,1,0
"13",NA,12,1.4641,0,1.4641,1.4641,100,0,1,0
"14",NA,13,1.459459,0.0021538881,1,1.4641,100,0,0.99,0.01
"15",NA,14,1.4641,0,1.4641,1.4641,100,0,1,0
"16",NA,15,1.459459,0.0021538881,1,1.4641,100,0,0.99,0.01
"17",NA,16,1.4641,0,1.4641,1.4641,100,0,1,0
"18",NA,17,1.4641,0,1.4641,1.4641,100,0,1,0
"19",NA,18,1.4641,0,1.4641,1.4641,100,0,1,0
"20",NA,19,1.4641,0,1.4641,1.4641,100,0,1,0
"21",NA,20,1.4641,0,1.4641,1.4641,100,0,1,0
"22",NA,21,1.4641,0,1.4641,1.4641,100,0,1,0
"23",NA,22,1.4641,0,1.4641,1.4641,100,0,1,0
"24",NA,23,1.4641,0,1.4641,1.4641,100,0,1,0
"25",NA,24,1.4641,0,1.4641,1.4641,100,0,1,0
"26",NA,25,1.4641,0,1.4641,1.4641,100,0,1,0
"27",NA,26,1.4641,0,1.4641,1.4641,100,0,1,0
"28",NA,27,1.4641,0,1.4641,1.4641,100,0,1,0
"29",NA,28,1.4641,0,1.4641,1.4641,100,0,1,0
"30",NA,29,1.4641,0,1.4641,1.4641,100,0,1,0
"31",NA,30,1.4641,0,1.4641,1.4641,100,0,1,0
"32",NA,31,1.4641,0,1.4641,1.4641,100,0,1,0
"33",NA,32,1.4641,0,1.4641,1.4641,100,0.949998,1,0
"34",NA,33,1.4641,0,1.4641,1.4641,100,0,1,0
"35",NA,34,1.4641,0,1.4641,1.4641,100,0,1,0
"36",NA,35,1.4641,0,1.4641,1.4641,100,0,1,0
"37",NA,36,1.4641,0,1.4641,1.4641,100,0,1,0
"38",NA,37,1.4641,0,1.4641,1.4641,100,0,1,0
"39",NA,38,1.4641,0,1.4641,1.4641,100,0,1,0
"40",NA,39,1.4641,0,1.4641,1.4641,100,0,1,0
"41",NA,40,1.4641,0,1.4641,1.4641,100,0,1,0
"42",NA,41,1.459459,0.0021538881,1,1.4641,100,0,0.99,0.01
"43",NA,42,1.4641,0,1.4641,1.4641,100,0,1,0
"44",NA,43,1.4641,0,1.4641,1.4641,100,0,1,0
"45",NA,44,1.4641,0,1.4641,1.4641,100,0,1,0
"46",NA,45,1.4641,0,1.4641,1.4641,100,0,1,0
"47",NA,46,1.4641,0,1.4641,1.4641,100,0,1,0
"48",NA,47,1.4641,0,1.4641,1.4641,100,0,1,0
"49",NA,48,1.4641,0,1.4641,1.4641,100,0.902502,1,0
"50",NA,49,1.4641,0,1.4641,1.4641,100,0,1,0
"51",NA,50,1.4641,0,1.4641,1.4641,100,0,1,0
"52",NA,51,1.4641,0,1.4641,1.4641,100,0,1,0
"53",NA,52,1.4641,0,1.4641,1.4641,100,0,1,0
"54",NA,53,1.4641,0,1.4641,1.4641,100,0,1,0
"55",NA,54,1.4641,0,1.4641,1.4641,100,0,1,0
"56",NA,55,1.4641,0,1.4641,1.4641,100,0,1,0
"57",NA,56,1.4641,0,1.4641,1.4641,100,0.857376,1,0
"58",NA,57,1.4641,0,1.4641,1.4641,100,0,1,0
"59",NA,58,1.4641,0,1.4641,1.4641,100,0,1,0
"60",NA,59,1.4641,0,1.4641,1.4641,100,0,1,0
"61",NA,60,1.4641,0,1.4641,1.4641,100,1.464102,1,0
"62",NA,61,1.4641,0,1.4641,1.4641,100,0,1,0
"63",NA,62,1.4641,0,1.4641,1.4641,100,0,1,0
"64",NA,63,1.4641,0,1.4641,1.4641,100,0,1,0
