"","landscape_seed","starting_index","fitness_avg","fitness_var","fitness_min","fitness_max","count","starting_fitness","frac_1","frac_2","frac_3"
"1",NA,0,1.004641,0.0021538881,1,1.4641,100,1.000002,0.99,0.01,0
"2",NA,1,1,0,1,1,100,0,1,0,0
"3",NA,2,1,0,1,1,100,0,1,0,0
"4",NA,3,0.993205,0.0411346146212121,0,1.4641,100,0,0.92,0.05,0.03
"5",NA,4,1,0,1,1,100,0,1,0,0
"6",NA,5,1.064974,0.0261947603272727,1,1.4641,100,0,0.86,0.14,0
"7",NA,6,1.035692,0.0450229680161616,0,1.4641,100,0,0.86,0.12,0.02
"8",NA,7,0.933538,0.186214937733333,0,1.4641,100,0,0.67,0.18,0.15
"9",NA,8,1.009282,0.00426426330909091,1,1.4641,100,0,0.98,0.02,0
"10",NA,9,1.045692,0.0340998973090909,0,1.4641,100,0,0.87,0.12,0.01
"11",NA,10,1.054974,0.0375073663878788,0,1.4641,100,0,0.85,0.14,0.01
"12",NA,11,0.995307,0.190033287324242,0,1.4641,100,0,0.6,0.27,0.13
"13",NA,12,1.249896,0.0688583058424242,0,1.4641,100,0,0.43,0.56,0.01
"14",NA,13,1.100999,0.155354381716162,0,1.4641,100,0,0.53,0.39,0.08
"15",NA,14,1.124922,0.146321004157576,0,1.4641,100,0,0.51,0.42,0.07
"16",NA,15,0.996358,0.2644792764,0,1.4641,100,0,0.44,0.38,0.18
"17",NA,16,1.097461,0.0360939430090909,1,1.4641,100,0,0.79,0.21,0
"18",NA,17,1.259896,0.0536078816,1,1.4641,100,0,0.44,0.56,0
"19",NA,18,1.180281,0.0664729021606061,0,1.4641,100,0,0.58,0.41,0.01
"20",NA,19,1.175973,0.154736941990909,0,1.4641,100,0,0.4,0.53,0.07
"21",NA,20,1.306306,0.0488214636,1,1.4641,100,0,0.34,0.66,0
"22",NA,21,1.189178,0.170845650622222,0,1.4641,100,0,0.34,0.58,0.08
"23",NA,22,1.260947,0.127492086758586,0,1.4641,100,0,0.28,0.67,0.05
"24",NA,23,1.038127,0.282605123809091,0,1.4641,100,0,0.35,0.47,0.18
"25",NA,24,1.4641,0,1.4641,1.4641,100,0,0,1,0
"26",NA,25,1.384485,0.0457088618939394,0,1.4641,100,0,0.14,0.85,0.01
"27",NA,26,1.393767,0.0427634489,0,1.4641,100,0,0.12,0.87,0.01
"28",NA,27,1.190229,0.244880006524242,0,1.4641,100,0,0.18,0.69,0.13
"29",NA,28,1.4641,0,1.4641,1.4641,100,0,0,1,0
"30",NA,29,1.436254,0.0122706352363636,1,1.4641,100,0,0.06,0.94,0
"31",NA,30,1.421613,0.0328829005363636,0,1.4641,100,0,0.06,0.93,0.01
"32",NA,31,1.175588,0.258215399046465,0,1.4641,100,0,0.18,0.68,0.14
"33",NA,32,1.04641,0.0195808009090909,1,1.4641,100,0.949998,0.9,0.1,0
"34",NA,33,1.04641,0.0195808009090909,1,1.4641,100,0,0.9,0.1,0
"35",NA,34,1.037128,0.0160127438545455,1,1.4641,100,0,0.92,0.08,0
"36",NA,35,1.106743,0.0385306649,1,1.4641,100,0,0.77,0.23,0
"37",NA,36,1.023205,0.0103343115909091,1,1.4641,100,0,0.95,0.05,0
"38",NA,37,1.054256,0.0520388849131313,0,1.4641,100,0,0.82,0.16,0.02
"39",NA,38,1.025692,0.0557440185212121,0,1.4641,100,0,0.85,0.12,0.03
"40",NA,39,1.10923,0.0835206566666667,0,1.4641,100,0,0.67,0.3,0.03
"41",NA,40,1.4641,0,1.4641,1.4641,100,0,0,1,0
"42",NA,41,1.207409,0.0833555794131313,0,1.4641,100,0,0.49,0.49,0.02
"43",NA,42,1.221332,0.0838528555313131,0,1.4641,100,0,0.46,0.52,0.02
"44",NA,43,1.153486,0.136889798387879,0,1.4641,100,0,0.48,0.46,0.06
"45",NA,44,1.4641,0,1.4641,1.4641,100,0,0,1,0
"46",NA,45,1.365203,0.066060081910101,0,1.4641,100,0,0.15,0.83,0.02
"47",NA,46,1.398408,0.0412254730666667,0,1.4641,100,0,0.11,0.88,0.01
"48",NA,47,1.13205,0.192178992424242,0,1.4641,100,0,0.4,0.5,0.1
"49",NA,48,1.4641,0,1.4641,1.4641,100,0.902502,0,1,0
"50",NA,49,1.4641,0,1.4641,1.4641,100,0,0,1,0
"51",NA,50,1.4641,0,1.4641,1.4641,100,0,0,1,0
"52",NA,51,1.393767,0.0427634489,0,1.4641,100,0,0.12,0.87,0.01
"53",NA,52,1.4641,0,1.4641,1.4641,100,0,0,1,0
"54",NA,53,1.445536,0.00835447505454545,1,1.4641,100,0,0.04,0.96,0
"55",NA,54,1.450177,0.00633112562727273,1,1.4641,100,0,0.03,0.97,0
"56",NA,55,1.281998,0.170182222016162,0,1.4641,100,0,0.14,0.78,0.08
"57",NA,56,1.4641,0,1.4641,1.4641,100,0.857376,0,1,0
"58",NA,57,1.4641,0,1.4641,1.4641,100,0,0,1,0
"59",NA,58,1.4641,0,1.4641,1.4641,100,0,0,1,0
"60",NA,59,1.37769,0.092121406969697,0,1.4641,100,0,0.06,0.9,0.04
"61",NA,60,1.4641,0,1.4641,1.4641,100,1.464102,0,1,0
"62",NA,61,1.4641,0,1.4641,1.4641,100,0,0,1,0
"63",NA,62,1.4641,0,1.4641,1.4641,100,0,0,1,0
"64",NA,63,1.392331,0.0728082864030303,0,1.4641,100,0,0.06,0.91,0.03
