"X","genotype_a","genotype_b","avg_fitness_a","avg_fitness_b","fitness_sd_a","fitness_sd_b","raw_p","adj_p","starting_fitness_a","starting_fitness_b","fitness_diff","mut_prob","pop_size","condition_num","genotype_a_x","genotype_b_x","starting_fitness_a_norm","starting_fitness_b_norm","avg_fitness_a_norm","avg_fitness_b_norm","sd_fitness_a_norm","sd_fitness_b_norm","is_signif","signif_marker","signif_text","text_x","x_min","x_max","y","text_y","mut_str","mut_factor"
6,0,32,1,1,0,0,1,1,1.000002,0.949998,-0.0500039999999999,0.001,1000,3,0,1,1.000002,0.949998,1,1,0,0,FALSE,"","p=1",0.5,0.9,0.1,0.7,0.66,"0.001 (base)","0.001 (base)"
197,32,48,1,1.199563,0,0.230922168292892,0.999999999999923,1,0.949998,0.902502,-0.0474960000000001,0.001,1000,3,1,2,0.949998,0.902502,1,1.199563,0,0.230922168292892,FALSE,"","p=1",1.5,1.9,1.1,0.7,0.66,"0.001 (base)","0.001 (base)"
198,32,0,1,1,0,0,1,1,0.949998,1.000002,0.0500039999999999,0.001,1000,3,1,0,0.949998,1.000002,1,1,0,0,FALSE,"","p=1",0.5,0.1,0.9,0.7,0.66,"0.001 (base)","0.001 (base)"
292,48,56,1.199563,1.4641,0.230922168292892,0,1,1,0.902502,0.857376,-0.045126,0.001,1000,3,2,3,0.902502,0.857376,1.199563,1.4641,0.230922168292892,0,FALSE,"","p=1",2.5,2.9,2.1,0.7,0.66,"0.001 (base)","0.001 (base)"
293,48,32,1.199563,1,0.230922168292892,0,7.86054319377793e-14,4.71632591626676e-13,0.902502,0.949998,0.0474960000000001,0.001,1000,3,2,1,0.902502,0.949998,1.199563,1,0.230922168292892,0,TRUE,"***","p < 0.001",1.5,1.1,1.9,0.7,0.66,"0.001 (base)","0.001 (base)"
339,56,60,1.4641,1.4641,0,0,1,1,0.857376,1.464102,0.606726,0.001,1000,3,3,4,0.857376,1.464102,1.4641,1.4641,0,0,FALSE,"","p=1",3.5,3.9,3.1,0.7,0.66,"0.001 (base)","0.001 (base)"
340,56,48,1.4641,1.199563,0,0.230922168292892,2.6763052879176e-19,1.60578317275056e-18,0.857376,0.902502,0.045126,0.001,1000,3,3,2,0.857376,0.902502,1.4641,1.199563,0,0.230922168292892,TRUE,"***","p < 0.001",2.5,2.1,2.9,0.7,0.66,"0.001 (base)","0.001 (base)"
363,60,56,1.4641,1.4641,0,0,1,1,1.464102,0.857376,-0.606726,0.001,1000,3,4,3,1.464102,0.857376,1.4641,1.4641,0,0,FALSE,"","p=1",3.5,3.1,3.9,0.7,0.66,"0.001 (base)","0.001 (base)"
6,0,32,1,1,0,0,1,1,1.000002,0.949998,-0.0500039999999999,5e-04,1000,2,0,1,1.000002,0.949998,1,1,0,0,FALSE,"","p=1",0.5,0.9,0.1,0.75,0.71,"0.0005","0.0005"
197,32,48,1,1.088179,0,0.18298406912774,0.99999759500559,1,0.949998,0.902502,-0.0474960000000001,5e-04,1000,2,1,2,0.949998,0.902502,1,1.088179,0,0.18298406912774,FALSE,"","p=1",1.5,1.9,1.1,0.75,0.71,"0.0005","0.0005"
