genotype,fitness
0,2.4079889
1,4.299219
2,1.5764858000000002
3,2.7583421
4,2.5386519
5,3.629752
6,2.5520367000000004
7,3.3647139999999993
8,1.8450452
9,3.7362753
10,1.3575736
11,2.5394299
12,2.6349009000000003
13,3.726001
14,2.1039319
15,2.9166092
16,3.047488
17,4.009835900000001
18,2.2159849
19,2.4689589999999995
20,3.1142700000000003
21,3.2764879000000002
22,3.1276548
23,3.0114499
24,2.4959882999999996
25,3.4583362000000006
26,2.0085167
27,2.2614908
28,3.132448
29,3.2946659
30,2.601479
31,2.4852740999999994
32,2.5122789999999995
33,3.6284620000000003
34,1.8558640999999998
35,3.1246561
36,2.6429419999999997
37,2.9589950000000003
38,2.831415
39,3.7310279999999993
40,1.2205143
41,2.3366973
42,0.9081309
43,2.1769229
44,2.01037
45,2.326423
46,1.6544892
47,2.5541022
48,3.1827680000000003
49,3.253263
50,2.5263530999999997
51,2.7494571
52,3.24955
53,2.519915
54,3.4380230000000003
55,3.2919479999999997
56,2.5217713
57,2.5922663000000004
58,2.2093879
59,2.4324918999999996
60,3.158231
61,2.428596
62,2.8023502
63,2.6562751999999996
