"","genotype_a","genotype_b","avg_fitness_a","avg_fitness_b","fitness_sd_a","fitness_sd_b","raw_p","adj_p","starting_fitness_a","starting_fitness_b","x_a","y_a","x_b","y_b","fitness_diff"
"1",0,1,5.15454,5.15454,0,0,1,1,2.1770689,1.879384,0,0.5,0.166666666666667,0.142857142857143,-0.2976849
"2",0,2,5.15454,5.15454,0,0,1,1,2.1770689,2.606379,0,0.5,0.166666666666667,0.285714285714286,0.4293101
"3",0,4,5.15454,5.15454,0,0,1,1,2.1770689,2.4353654,0,0.5,0.166666666666667,0.428571428571429,0.2582965
"4",0,8,5.15454,5.15454,0,0,1,1,2.1770689,1.9687137,0,0.5,0.166666666666667,0.571428571428571,-0.2083552
"5",0,16,5.15454,5.15454,0,0,1,1,2.1770689,2.6541122,0,0.5,0.166666666666667,0.714285714285714,0.4770433
"6",0,32,5.15454,5.1449201,0,0.096199,0.161087059510831,0.966522357064985,2.1770689,2.5170482,0,0.5,0.166666666666667,0.857142857142857,0.3399793
"7",1,0,5.15454,5.15454,0,0,1,1,1.879384,2.1770689,0.166666666666667,0.142857142857143,0,0.5,0.2976849
"8",1,3,5.15454,5.15454,0,0,1,1,1.879384,2.918632,0.166666666666667,0.142857142857143,0.333333333333333,0.0625,1.039248
"9",1,5,5.15454,5.15454,0,0,1,1,1.879384,2.5008865,0.166666666666667,0.142857142857143,0.333333333333333,0.125,0.6215025
"10",1,9,5.15454,5.15454,0,0,1,1,1.879384,2.6519708,0.166666666666667,0.142857142857143,0.333333333333333,0.25,0.7725868
"11",1,17,5.15454,5.15454,0,0,1,1,1.879384,2.2231394,0.166666666666667,0.142857142857143,0.333333333333333,0.4375,0.3437554
"12",1,33,5.15454,5.091461,0,0.28089896317381,0.0120923331040147,0.072553998624088,1.879384,2.509221,0.166666666666667,0.142857142857143,0.333333333333333,0.6875,0.629837
"13",2,3,5.15454,5.15454,0,0,1,1,2.606379,2.918632,0.166666666666667,0.285714285714286,0.333333333333333,0.0625,0.312253
"14",2,0,5.15454,5.15454,0,0,1,1,2.606379,2.1770689,0.166666666666667,0.285714285714286,0,0.5,-0.4293101
"15",2,6,5.15454,5.15454,0,0,1,1,2.606379,2.588763,0.166666666666667,0.285714285714286,0.333333333333333,0.1875,-0.0176160000000003
"16",2,10,5.15454,5.15454,0,0,1,1,2.606379,3.3204938,0.166666666666667,0.285714285714286,0.333333333333333,0.3125,0.7141148
"17",2,18,5.15454,5.15454,0,0,1,1,2.606379,2.3403504,0.166666666666667,0.285714285714286,0.333333333333333,0.5,-0.2660286
"18",2,34,5.15454,5.15454,0,0,1,1,2.606379,3.096004,0.166666666666667,0.285714285714286,0.333333333333333,0.75,0.489625
"19",3,2,5.15454,5.15454,0,0,1,1,2.918632,2.606379,0.333333333333333,0.0625,0.166666666666667,0.285714285714286,-0.312253
"20",3,1,5.15454,5.15454,0,0,1,1,2.918632,1.879384,0.333333333333333,0.0625,0.166666666666667,0.142857142857143,-1.039248
"21",3,7,5.15454,5.15454,0,0,1,1,2.918632,3.5358245,0.333333333333333,0.0625,0.5,0.0476190476190476,0.617192499999999
"22",3,11,5.15454,5.15454,0,0,1,1,2.918632,2.7002958,0.333333333333333,0.0625,0.5,0.0952380952380952,-0.2183362
"23",3,19,5.15454,5.15454,0,0,1,1,2.918632,2.7987504,0.333333333333333,0.0625,0.5,0.238095238095238,-0.1198816
"24",3,35,5.15454,5.15454,0,0,1,1,2.918632,2.713259,0.333333333333333,0.0625,0.5,0.523809523809524,-0.205373
"25",4,5,5.15454,5.15454,0,0,1,1,2.4353654,2.5008865,0.166666666666667,0.428571428571429,0.333333333333333,0.125,0.0655211000000002
"26",4,6,5.15454,5.15454,0,0,1,1,2.4353654,2.588763,0.166666666666667,0.428571428571429,0.333333333333333,0.1875,0.1533976
"27",4,0,5.15454,5.15454,0,0,1,1,2.4353654,2.1770689,0.166666666666667,0.428571428571429,0,0.5,-0.2582965
"28",4,12,5.15454,5.15454,0,0,1,1,2.4353654,2.8530159,0.166666666666667,0.428571428571429,0.333333333333333,0.375,0.4176505
"29",4,20,5.15454,5.15454,0,0,1,1,2.4353654,2.4548338,0.166666666666667,0.428571428571429,0.333333333333333,0.5625,0.0194683999999996
"30",4,36,5.15454,5.15454,0,0,1,1,2.4353654,4.1925542,0.166666666666667,0.428571428571429,0.333333333333333,0.8125,1.7571888
"31",5,4,5.15454,5.15454,0,0,1,1,2.5008865,2.4353654,0.333333333333333,0.125,0.166666666666667,0.428571428571429,-0.0655211000000002
"32",5,7,5.15454,5.15454,0,0,1,1,2.5008865,3.5358245,0.333333333333333,0.125,0.5,0.0476190476190476,1.034938
"33",5,1,5.15454,5.15454,0,0,1,1,2.5008865,1.879384,0.333333333333333,0.125,0.166666666666667,0.142857142857143,-0.6215025
"34",5,13,5.15454,5.15454,0,0,1,1,2.5008865,3.153392,0.333333333333333,0.125,0.5,0.142857142857143,0.6525055
"35",5,21,5.15454,5.15454,0,0,1,1,2.5008865,2.387067,0.333333333333333,0.125,0.5,0.285714285714286,-0.1138195
"36",5,37,5.15454,5.15454,0,0,1,1,2.5008865,3.505556,0.333333333333333,0.125,0.5,0.571428571428571,1.0046695
"37",6,7,5.15454,5.15454,0,0,1,1,2.588763,3.5358245,0.333333333333333,0.1875,0.5,0.0476190476190476,0.947061499999999
"38",6,4,5.15454,5.15454,0,0,1,1,2.588763,2.4353654,0.333333333333333,0.1875,0.166666666666667,0.428571428571429,-0.1533976
"39",6,2,5.15454,5.15454,0,0,1,1,2.588763,2.606379,0.333333333333333,0.1875,0.166666666666667,0.285714285714286,0.0176160000000003
"40",6,14,5.15454,5.15454,0,0,1,1,2.588763,4.867638,0.333333333333333,0.1875,0.5,0.19047619047619,2.278875
