genotype,fitness
0,1.45545
1,2.33125
2,2.19115
3,3.32973
4,1.43231
5,2.06787
6,2.80527
7,2.97575
8,2.87405
9,3.74986
10,2.79141
11,3.92999
12,2.56361
13,3.19916
14,2.67951
15,2.84999
16,2.67023
17,2.76987
18,3.40593
19,3.76835
20,2.34354
21,2.20294
22,3.7165
23,3.11082
24,2.93092
25,3.03056
26,2.84828
27,3.2107
28,2.99098
29,2.85037
30,3.10688
31,2.5012
32,2.3679
33,2.53182
34,2.27381
35,3.83475
36,2.34476
37,2.26844
38,2.88793
39,3.48077
40,3.13013
41,3.29405
42,2.21769
43,3.77863
44,2.81968
45,2.74335
46,2.10579
47,2.69862
48,1.96231
49,2.58896
50,1.86822
51,3.89189
52,1.63562
53,2.02203
54,2.17879
55,3.23436
56,2.2805
57,2.90715
58,1.36806
59,3.39173
60,2.34055
61,2.72696
62,1.62666
63,2.68223
